damp grass with the effect 54
dark hills and the glassy 60
dark lines with the bright 58
dark rather than the bright 67
dark space and the cathode 68
dark space near the cathode 91
dark spots near the center 55
dark waiting for the blamed 83
dark woods with the dazzling 60
data agree with the findings 80
data could not be fitted 175
data could not be linked 42
data could not be readily 41
data exist for the united 42
data files can be created 172
data files can be stored 111
data items can be stored 78
data model and the object 61
data model for the entire 41
data model for the system 91
data rather than the actual 168
data rather than the entire 55
data reveal that the number 134
data sheet for the device 83
data showing that the amount 44
data showing that the number 139
data shows that the amount 73
data shows that the effect 82
data shows that the number 337
data taken near the planet 127
data types can be created 106
data types can be passed 63
data types can be stored 87
data types for the fields 97
data which are the result 66
data which can be called 50
data which can be fitted 54
data which can be gleaned 56
data which can be placed 57
data which can be readily 131
data which can be stored 335
data which can be tested 52
data which can be treated 91
data which can be useful 130
data which may be copied 127
data which may be needed 121
data which may be stored 100
data which may be useful 387
data would not be useful 68
date could not be changed 99
date could not be earlier 68
date fixed for the annual 128
date fixed for the attack 107
date fixed for the course 57
date fixed for the public 95
date fixed for the return 479
date fixed for the second 76
date given for the founding 139
date later than the actual 200
date later than the middle 176
date later than the normal 64
date later than the second 114
date later than the seventh 43
date rather than the actual 111
date shall not be deemed 95
date shall not be earlier 857
date shall pay or tender 478
date thereof and the reasons 46
dawn shall see the mighty 50
days after death the spirit 50
days after that he called 43
days after this he writes 42
days after this the indians 48
days after this we reached 51
days later and is buried 54
days later for the second 51
days later than it should 104
days later than the actual 56
days later than the former 96
days later than the letter 79
days later than the normal 62
days later than the vernal 58
days later that he became 42
days later that he learned 63
days later that he thought 55
days later that the french 45
days later that the united 202
days later that we learned 65
days later was the result 55
days later with no better 90
days longer than it should 84
days longer than the entire 138
days longer than the nights 72
days longer than the normal 56
days longer than the summer 156
days longer than the winter 140
days looking out the window 44
days rather than the normal 83
days staring out the window 59
days waiting for the return 44
days which are to follow 69
days would not be enough 272
dealing fully with the handling 53
deals first with the nature 46
deals fully with the various 52
deals rather with the various 40
dealt first with the common 57
dearth which was to follow 81
debt could not be proved 97
debt could not be repaid 112
debt shall not be funded 70
debt shall not be treated 44
debt which can be repaid 74
debt which may be created 66
debt would not be repaid 59
debt would not be treated 51
deed could not be undone 205
deed might not be deemed 71
deed named may be placed 73
deed sealed with the common 126
deed shall not be deemed 49
deed which was in itself 53
deep caves they do thicken 46
deep fascia and is joined 41
deep fascia and the serous 45
deep feeling and an ardent 48
deep feeling and of inward 47
deep notes with the solemn 59
deep seabed are the common 119
deep water and the bottom 42
deep water for the winter 46
deep water off the coasts 89
deep water off the island 50
deny funding for the entire 52
depth below that is seldom 42
depth rather than in extent 42
depth which can be reached 74
desk looking out the window 172
desk staring out the window 143
desk stood near the window 46
died after being in office 50
died sighing that he should 48
diet shows that the actual 42
dining every day in public 41
dirt would not be washed 59
dish which can be served 40
disk rather than in memory 65
disk space and the amount 97
disk space and the number 73
dogs barking and the pounding 47
done about all the damage 67
done anything bad to anyone 57
done anything for the common 45
done anything with the future 53
done badly all the winter 50
done could not be changed 42
done could not be helped 175
done could not be undone 4379
done easily and of course 106
done either with or without 970
done nearly all the fighting 45
done never can be undone 61
done rather than the actual 42
done since then is pretty 297
done spread wings of rustling 79
done today may be undone 43
done under and by virtue 223
done under and in virtue 75
done which has the effect 61
door could not be closed 328
door could not be forced 99
door could not be locked 241
door could not be opened 1284
door could not be pushed 41
door could then be opened 46
door looking out the window 42
door might not be opened 45
door opening out of another 110
door opens and the doctor 69
door posts and the lintel 50
door shall not be opened 55
door which can be closed 109
door which can be locked 97
door which can be opened 320
door which can be raised 56
door which led to another 102
door which may be opened 118
door would not be closed 80
door would not be locked 216
door would not be opened 194
door would then be opened 48
door would thus be opened 43
dose limit for the public 64
down above him to strike 87
down again for the second 51
down again with the sexton 43
down arrow key to scroll 151
down arrow key to select 437
down below lay the gritty 48
down daily with the family 69
down every law in england 239
down every ten or twelve 491
down flush with the ground 94
down level with the ground 550
down lower than the calves 50
down lower than the middle 94
down nearly all the houses 50
down plans for the future 167
down rather than the bottom 247
down rules for the better 47
down rules for the future 410
down rules for the proper 359
down under them at niagara 42
down which can be proved 57
down which earth is washed 47
drag after them the entire 88
draw bills for the amount 57
draw stone for the building 56
draw sword for the edicts 49
draw water for the camels 115
draw water for the family 51
draw water for thy camels 419
dray horse nor the modern 100
dream might not be broken 57
dream rather than the reality 53
drew about him the mantle 51
drew after him to listen 46
drew anything but in pencil 48
drew water for the camels 61
drug shall bear my patron 43
drug shall not be deemed 91
drug users are the second 49
drug which has no effect 42
dual rather than the primal 45
duct joins with the common 159
duel which was to settle 66
dull people sat on chairs 53
dull piety and the sickly 54
dull sight for the artist 100
duly filed with the proper 53
duly given you in charge 73
during every act of sexual 52
during first year of therapy 67
during which all the changes 47
during which all the forces 76
during which all the powers 66
during which and the manner 47
during which both the clergy 49
during which man is tested 143
during which men of genius 41
during which one or another 72
during which she is unable 46
during world war ii almost 111
during world war ii appears 58
during world war ii became 464
during world war ii before 478
during world war ii bombings 55
during world war ii called 154
during world war ii caused 531
during world war ii changed 127
during world war ii clearly 111
during world war ii created 392
during world war ii except 66
during world war ii failed 94
during world war ii fighting 55
during world war ii forced 273
during world war ii formed 48
during world war ii fought 59
during world war ii further 338
during world war ii german 115
during world war ii greatly 153
during world war ii helped 450
during world war ii itself 119
during world war ii killed 43
during world war ii mainly 51
during world war ii marked 93
during world war ii needed 40
during world war ii offers 47
during world war ii opened 106
during world war ii placed 53
during world war ii played 108
during world war ii proved 251
during world war ii raised 86
during world war ii reached 113
during world war ii remain 46
during world war ii reveals 56
during world war ii seemed 158
during world war ii served 676
during world war ii should 290
during world war ii showed 565
during world war ii simply 46
during world war ii sought 60
during world war ii stalin 40
during world war ii stands 47
during world war ii stated 40
during world war ii taught 51
during world war ii tended 110
during world war ii through 528
during world war ii toward 71
during world war ii turned 129
during world war ii without 268
during world war ii worked 209
dust mixed with the memory 54
dust swept out of salons 96
duty arising out of lawyer 56
duty basis and the return 47
duty could not be evaded 41
duty cycle can be varied 62
duty lower than the margin 49
duty rather than the desire 40
duty shall not be deemed 64
duty shall not be levied 108
duty which all the nations 347
