damn happy all of a 105
dark brows met in a 137
dark night and at a 103
dark night and in a 90
dark place and in a 52
data could lead to a 159
data field that is a 69
data files are in a 45
data might lead to a 53
data model that is a 54
data rather than as a 238
data rather than by a 51
data rather than in a 45
data rather than on a 124
data rather than to a 57
data shows that in a 59
data which are of a 43
data which lead to a 50
data would lead to a 206
data would not be a 87
dawn found them in a 127
days after that of a 118
days later and in a 55
days rather than in a 47
days would lead to a 48
days would not be a 64
debt arising out of a 551
debt arose out of a 122
debt rather than as a 97
debt would lead to a 47
debt would not be a 71
deed would not be a 51
deep learning and of a 45
died after being in a 77
diet rather than as a 60
dine every day at a 49
dine every day in a 61
dirt parking lot of a 63
dish rather than as a 44
disk drive that is a 55
disk rather than in a 41
disk rather than on a 63
disk rather than to a 53
done about them in a 40
done every day by a 40
done every day in a 76
done every day on a 43
done rather than as a 86
done would not be a 59
door after him in a 69
door might lead to a 53
door right now or i 46
door which led by a 49
door which led to a 917
door would not be a 59
down again and in a 71
down every day in a 94
down every day to a 322
down leaden heat in a 78
down rather than as a 113
down rather than in a 44
down right now or i 112
down strong men of a 58
down under them as a 46
down within them as a 61
down would not be a 111
draw blood out of a 166
draw money out of a 46
draw names out of a 222
draw water out of a 1306
dread every idea of a 56
dream about being in a 334
dream about being on a 55
dream rather than as a 55
dream rather than to a 48
drew names out of a 106
drew noses for the n 52
drew water out of a 49
drop maybe one at a 62
drop taken out on a 58
drug abuse can be a 59
drug abuse may be a 101
drug rather than as a 97
duel arising out of a 79
duel growing out of a 107
dull stone set in a 79
duly issuing out of a 127
during sleep may be a 51
during which one is a 56
during which she is a 83
during world war ii a 1395
during world war ii i 226
duty arising out of a 356
duty bound them to a 80
duty calls him to a 56
duty growing out of a 54
duty rather than as a 462
duty would lead to a 83
duty would not be a 77
