dame and her cat might 88
damn men for not knowing 45
damn them for not knowing 47
damp and not too sandy 49
dams are now being built 61
dams that are being built 43
dare all that may plant 118
dare not ask for anything 58
dare not ask for grace 97
dare not ask for mercy 98
dare not get too close 41
dare not say how often 119
dare not say they liked 47
dare not see her again 41
dare not wed this beauty 92
dare say any man would 63
dare say has long since 49
dare say his head never 53
dare say she was right 298
dare say that she would 64
dare say that they would 66
dare say that you agree 50
dare say that you could 50
dare say that you never 47
dare say that you would 237
dare say they are quite 83
dare say they are right 243
dare say they are still 88
dare say you are aware 210
dare say you are equal 41
dare say you are getting 49
dare say you are hungry 66
dare say you are quite 370
dare say you are right 6028
dare say you are rogue 41
dare say you are still 59
dare say you are thinking 113
dare say you are tired 498
dare say you can easily 44
dare say you can guess 234
dare say you had rather 46
dare say you set yours 67
dare you ask for mercy 41
dare you say that about 191
daring that they are feared 73
dark and all was still 76
dark and did not light 50
dark and not too light 65
dark and sad and dreary 50
dark and she was alone 162
dark and she was still 56
dark both day and night 57
dark now and she could 91
dark now that she could 74
dark old man was chief 179
dark that our own sails 56
dark with age and smoke 41
dark with yew and holly 147
data and does not allow 79
data and for this reason 117
data and one for voice 83
data are all too often 40
data are few and exact 40
data are not yet fully 137
data are not yet known 40
data are set out below 97
data but can not change 89
data does not yet allow 43
data does not yet exist 116
data for air and water 53
data for each age group 157
data for each and every 138
data for each pay period 47
data for men and women 887
data for this age group 169
data set did not allow 49
data set does not allow 453
data set does not cover 98
data set does not exist 406
data set for this study 289
data set was not large 45
data set was too small 65
data that are not easily 255
data that are not found 47
data that are not fully 65
data that are not known 41
data that are not missing 156
data that can not easily 115
data that did not appear 49
data that did not exist 103
data that does not agree 40
data that does not appear 88
data that does not belong 140
data that does not change 580
data that does not exist 302
data that does not match 265
data that you are looking 53
data that you are working 58
data that you can enter 243
data that you can store 162
date and did not appear 42
date and does not appear 42
date not too long after 153
date set for his wedding 46
date than that with which 99
date that does not exist 60
date was not yet fixed 40
date was put off until 57
date was set for april 423
date was set for march 372
date with her that night 62
date with him that night 54
daub with this new paint 112
dawn had not yet begun 74
dawn his eye was again 59
days ago and was still 45
days ago she was taken 53
days ago that she would 148
days ago that they would 110
days ago that you would 69
days ago they had given 98
days ago they had taken 43
days ago you had never 62
days and all his works 122
days and did not appear 43
days and for long after 113
days and for this reason 79
days and had not given 58
days and not one moose 42
days and one year after 126
days and that she would 102
days and that they could 42
days and that they would 146
days and then for weeks 51
days and then one morning 67
days and then she would 87
days and then they would 118
days and then try again 77
days and then was taken 42
days and things that might 51
days and was then taken 44
days are all too short 219
days are far too short 103
days are hot and humid 73
days are hot and sunny 73
days are long and dreary 70
days are long and sunny 89
days are not all equal 63
days both men and women 129
days for all they could 87
days for each and every 276
days for men and women 176
days god and his angels 66
days going with her mother 42
days her own and bound 87
days let all his deeds 45
days old and had quite 43
days per year are spent 43
days per year for people 60
days per year for which 57
days per year for women 44
days per year per child 60
