damp their ardor by delay 52
dams were built to create 48
dams were built to store 46
dare talk about my mother 44
dark arms about the field 357
dark blue color of which 53
dark blue under the glaze 55
dark blue vault of heaven 123
dark book which my father 40
dark cave beneath the falls 60
dark eyes began to shine 52
dark eyes seeming to float 48
dark hair curling in fresh 54
dark hair falling in curls 64
dark hair until it shone 47
dark side which he never 393
dark tuft under the lower 43
dart from beneath the fringed 51
dart from cloud to cloud 41
dart from place to place 488
dart from point to point 163
dash from place to place 151
data from bureau of labor 225
data from period to period 113
data from place to place 1097
data from point to point 578
data from tests in which 49
data from which he could 187
data from which he draws 73
data from which he makes 41
data from which it could 82
data from which it might 66
data from which it would 88
data from which the above 158
data from which the chart 190
data from which the curve 145
data from which the exact 43
data from which the final 54
data from which the first 60
data from which the graph 97
data from which the image 44
data from which the index 46
data from which the model 185
data from which the reader 74
data from which the table 125
data from which the total 40
data from which the value 82
data from which to argue 85
data from which to begin 59
data from which to build 179
data from which to create 64
data from which to infer 361
data from which to judge 327
data from which to reason 506
data from which to start 85
data from which to study 53
data from which to write 74
data from which we could 164
data from which we infer 106
data from which we might 67
data from which we reason 94
data from which we start 128
data have begun to appear 57
data into cards or paper 50
data link layer is split 49
data must first be moved 48
data sets given in table 60
data sets shown in table 63
data upon which he based 147
data upon which he bases 95
data upon which is based 65
data upon which it rests 106
data upon which the above 147
data upon which the final 45
data upon which the legal 44
data upon which the model 92
data upon which the study 157
data upon which to build 558
data upon which to found 472
data upon which to judge 146
data upon which to reason 42
data upon which we build 51
data upon which we could 84
data were found to agree 92
data were given in table 142
data were given in terms 55
data were shown in table 89
date from about the eighth 283
date from about the first 227
date from about the fourth 183
date from about the period 124
date from about the reign 102
date from after the civil 42
date from after the first 45
date from which it shall 74
date from which it takes 43
date from which it would 56
date from which the award 154
date from which the first 64
date from which the order 60
date from which the period 259
date from which to begin 125
date from which to count 100
date from which to start 94
date upon which he ceased 65
date upon which he could 45
date upon which he first 143
date upon which he would 185
date upon which it shall 104
date upon which it would 89
date upon which the action 45
date upon which the appeal 54
date upon which the award 157
date upon which the board 49
date upon which the buyer 59
date upon which the cause 135
