damage inflicted on others by 44
damage occasioned by delay in 776
damage sustained by either of 115
damage sustained by reason of 3054
dances performed in front of 85
dances performed in honor of 52
dazzling influence at which the 140
dearest attribute is still to 46
dearest interests in order to 90
debate continued to focus on 51
debate continues to focus on 83
debate surrounding the issue of 652
debate surrounding the notion of 74
debate surrounds the issue of 195
debris protected by grass or 44
debtor countries in order to 183
decree determine the value of 68
decree restraining the breach of 44
deemed advisable in order to 212
deemed advisable to adopt the 59
deemed advisable to allow the 92
deemed advisable to alter the 59
deemed advisable to amend the 43
deemed advisable to await the 43
deemed advisable to begin the 41
deemed advisable to blend the 40
deemed advisable to carry the 47
deemed advisable to change the 258
deemed advisable to close the 49
deemed advisable to create no 56
deemed advisable to defer the 57
deemed advisable to limit the 102
deemed advisable to place the 112
deemed advisable to raise the 74
deemed desirable in order to 352
deemed desirable to change the 41
deemed expedient in order to 98
deemed expedient to adopt the 47
deemed expedient to alter the 50
deemed expedient to amend the 87
deemed expedient to apply to 67
deemed expedient to change the 65
deemed expedient to grant the 1765
deemed expedient to place the 42
deemed expedient to renew the 41
deemed humiliation the worst of 48
deemed important in order to 77
deemed important in terms of 59
deemed instances of error or 72
deemed necessary by reason of 85
deemed necessary in light of 140
deemed necessary in order to 4530
deemed necessary to adapt the 55
deemed necessary to allow the 67
deemed necessary to alter the 71
deemed necessary to amend the 53
deemed necessary to apply the 80
deemed necessary to avoid the 65
deemed necessary to build the 85
deemed necessary to carry it 48
deemed necessary to carry on 308
deemed necessary to carry the 103
deemed necessary to change it 52
deemed necessary to change the 138
deemed necessary to check the 66
deemed necessary to close the 56
deemed necessary to cover the 87
deemed necessary to defeat the 46
deemed necessary to guard the 87
deemed necessary to issue an 68
deemed necessary to limit the 74
deemed necessary to place it 57
deemed necessary to place the 122
deemed necessary to prove the 65
deemed necessary to raise the 70
deemed necessary to refer to 127
deemed necessary to repeat the 79
deemed necessary to serve the 64
deemed necessary to solve the 53
deemed necessary to study the 55
deemed qualified to serve as 99
deemed repugnant to either of 86
deemed requisite in order to 47
deeper foundation on which to 56
deeply appreciate the honor of 70
deeply chagrined at learning the 67
deeply committed to helping the 65
deeply committed to serving the 44
deeply concerned in plans of 92
deeply concerned the honor of 100
deeply impressed the minds of 297
deeply impressed the people of 64
deeply influence the lives of 53
deeply interesting in point of 62
deeply interesting to study the 60
deeply interesting to trace the 61
deeply interesting to watch the 88
deeply regretted the passing of 50
defend generally the title to 180
defend ourselves by force of 45
defend themselves by force of 604
defend themselves in cases of 57
defend themselves in front of 55
defend themselves in order to 150
defend themselves in spite of 70
defend themselves in terms of 66
defend themselves in times of 71
defies definition in terms of 60
define aggression in terms of 77
define causality in terms of 49
define character in terms of 45
define community in terms of 153
define creativity in terms of 106
define democracy in terms of 381
define diversity in terms of 43
define economics in terms of 53
define existence in terms of 87
define happiness in terms of 277
define knowledge in terms of 229
define leadership in terms of 264
define modernity in terms of 73
define motivation in terms of 68
define normality in terms of 81
