damp wind blew through the 43
daring boys once scaled the 57
dark ages back without the 47
dark blue eyes looked at 44
dark blue eyes seemed to 130
dark blur moving across the 50
dark brow grew darker as 103
dark days just before the 48
dark eyes were framed by 77
dark eyes were intent on 74
dark eyes were lifted to 58
dark eyes were locked on 58
dark eyes were raised to 73
dark eyes were turned on 49
dark eyes were turned to 86
dark eyes were watching the 56
dark face grew darker at 67
dark hour just before the 70
dark some time before we 57
dark spot moving across the 45
dark veil from before the 288
dark west much closer to 47
data come from measuring the 131
data from main memory to 285
data from many fields of 40
data from other fields of 79
data from other groups of 54
data from other regions of 140
data from three groups of 109
data from time series of 48
data have been changed to 155
data have been chosen to 62
data have been filled in 47
data have been fitted by 151
data have been fitted to 348
data have been linked to 59
data have been listed in 83
data have been placed in 231
data have been placed on 211
data have been scaled by 43
data have been scaled to 73
data have been sorted by 41
data have been stored in 864
data have been stored on 217
data have been treated as 215
data have been treated by 73
data have been treated in 152
data have been unable to 52
data have been useful in 207
data have been worked up 46
data must pass through the 204
data sets were created by 64
data show high levels of 55
data show very clearly the 65
data type will result in 45
data were also fitted to 65
data were best fitted by 116
data were good enough to 53
data were more likely to 133
data were used instead of 108
data were well fitted by 82
data will flow through the 47
data will most likely be 285
data will pass through the 61
data will show whether the 51
date back even before the 42
date back even further to 40
date back well before the 216
date from just before the 316
date from much before the 64
date from well before the 502
date from years before the 86
date have been unable to 479
date have done little to 59
date some time before the 91
date when such decree is 83
date when such notice is 60
dating back even before the 72
dating back from before the 49
dating back well before the 120
dating from even before the 62
dating from just before the 239
dating from well before the 266
days ever pass without my 43
days from date appearing at 329
days from good friday to 53
days from palm sunday to 57
days have been enough to 106
days have been marked by 77
days have been passed in 434
days having been passed in 43
days here were passed in 54
days lost from school or 107
days more were passed in 54
days must have seemed to 108
days must pass before he 59
days must pass before the 253
days must pass before we 90
days only were passed in 43
days only were wanted to 89
days past been around it 42
days past been floating in 54
days there have arisen in 62
days there were almost no 73
days there were plenty of 457
days were also marked by 42
days were idly wasted in 89
days were just around the 127
days were left before the 201
days were less places of 44
days were lost before the 50
days were more likely to 112
days were only fenced by 116
days were over before the 53
days were warm enough to 48
days when life seemed so 50
days when nothing seemed to 146
days when there seemed to 90
days when there should be 46
days will ever forget the 72
days will pass before the 133
days will pass before we 41
days will show whether he 128
deaths among young adults in 52
deaths from heart disease as 120
deaths from heart disease by 42
deaths from heart disease in 488
deaths from heart disease is 78
deaths from other causes in 103
deaths from skin cancer in 49
deaths from such causes as 57
deaths from these causes in 116
deaths from these causes is 47
deaths have been blamed on 56
deaths have been caused by 942
deaths have been caused in 43
deaths have been linked to 197
deaths have been traced to 71
deaths having been caused by 66
deaths were more common in 61
deaths were more likely to 116
deed once done should be 61
deep blue eyes seemed to 173
deep breath just before the 61
deep down there begins the 48
deep have been broken up 73
deep heavy snow toward the 66
deep well down through the 65
deep were ever broken up 53
deer have been killed by 45
deer have been killed in 48
deny these same rights to 49
depth runs from twenty to 50
dice have been loaded by 65
died five days before the 128
died five years before he 56
died five years before the 416
died five years earlier in 68
died five years earlier of 44
died four days before the 138
died four years before he 58
died four years before the 503
died four years earlier in 47
died from heart disease at 93
died from heart disease in 141
died from heart disease on 55
died from heart disease or 50
died from other causes in 88
died from other causes or 51
died from their wounds in 53
died from their wounds or 93
died just days before the 56
died many years before he 68
died many years before in 74
died many years before my 63
died many years before the 378
died nine years before the 183
died some days before the 69
died some time before he 105
died some time before in 79
died some time before of 41
died some time before the 629
died some years before he 45
died some years before in 102
died some years before my 65
died some years before of 61
died some years before the 627
died some years earlier in 55
died there were buried in 62
died three days before the 377
died three years before at 81
died three years before he 80
died three years before in 68
died three years before of 40
died three years before the 722
died three years earlier at 53
died three years earlier in 96
died three years earlier of 45
died were more likely to 76
diet have been linked to 56
diet were more likely to 59
dike here cuts through the 45
dike were hard pushed by 129
dirt road just before the 94
dirt road just beyond the 57
dirt road leading through the 84
dirt road leading toward the 92
doge must have cheated the 40
dogs have been killed by 73
dogs have been taught to 169
dogs were more likely to 130
doings much will depend of 59
doll were more likely to 51
