daggers was made of iron 50
damaged for years to come 41
damaged than such as were 54
damaged with other of like 247
damages and cost of suit 47
damages and loss of life 179
damages are such as will 93
damages but only to clear 53
damages for loss of care 49
damages for loss of earning 487
damages for loss of good 78
damages for loss of life 1545
damages for loss of rent 62
damages for loss of such 45
damages for loss of their 87
damages for loss of time 560
damages that must be paid 102
damages that will be paid 87
damsels had come to draw 50
dancers are said to have 43
daresay she will be very 41
daresay that will be best 66
daresay they knew as much 45
daresay they think it will 62
daresay you think me very 51
daresay you will be able 207
daresay you will be glad 92
daresay you will be sure 50
daresay you will be very 46
daresay you will do what 48
daybreak she used to slip 45
daybreak they were on their 117
deadline for iraq to leave 64
deadness all over the land 42
deafened and hard of hearing 67
deafness and hard of hearing 67
debased his rank by taking 45
debated for half an hour 107
debated for three or four 68
debated for years to come 656
debated how much to tell 137
debated with more or less 53
debates are among the most 104
debates are those on show 119
debates for years to come 74
debates that many of those 54
debates that used to take 60
debauch had been in some 42
decades had been the most 49
decades had seen so great 50
decades has been the most 191
decades has been the rise 249
decades has been to make 102
decades has made it clear 106
deceased has left no will 252
deceased was laid to rest 149
deceased was said to have 152
deceive each other in turn 42
deceive them into the hope 155
deceive you when he says 50
decided for whom to vote 97
decided how much of their 43
decided how much of your 42
decided how much to give 54
decided how much to tell 122
decided not only the fate 114
decided not only to call 43
decided not only to give 77
decided not only to have 46
decided not only to keep 109
decided not only to leave 75
decided not only to make 104
decided not only to send 40
decided not only to take 95
decided that during the next 93
decided that during the week 81
decided that early the next 63
decided that even if there 141
decided that here at last 60
decided that just as soon 68
decided that many of their 48
decided that many of these 63
decided that most of their 43
decided that most of these 98
decided that much of what 55
decided that none of their 49
decided that none of these 239
decided that none of those 69
decided that only the best 56
decided that only the most 73
decided that part of their 41
decided that some of their 83
decided that some of these 184
decided that there is more 244
decided that there is nothing 468
decided that there is only 506
decided that there is some 82
decided that there is such 56
decided that trying to hold 41
decided that what we need 42
decided that what we were 97
decided that when he came 127
decided that when he died 40
decided that when he grew 148
decided that when he left 47
decided that when he went 72
decided that when it came 158
decided that when the next 79
decided that when the time 394
decided that when we were 97
decided they must be some 59
decided they were in love 101
decided they were the best 42
decided they were the most 47
decided this time to take 68
decided who writ the best 104
decided you want to work 65
decided you were the best 87
decides how much he will 107
decides how much it will 121
decides how much to give 54
decides how much to save 56
decides that there is nothing 220
decides that there is only 63
decides that there is some 55
decides who will do what 61
decision and made it clear 46
decision and make it fast 46
decision and must be made 59
decision and sent it back 41
decision and sent the case 270
decision and take the step 50
decision can also be made 130
decision can also be seen 66
decision can best be made 146
decision can only be made 1347
decision can only be seen 60
decision for good or evil 224
decision for whom to vote 91
decision for years to come 52
decision had been in some 45
decision had been the best 129
decision had been the only 54
decision had been the other 50
decision had been to make 42
decision had gone the other 375
decision has been the most 42
decision has made it clear 52
decision may also be made 116
decision may only be made 63
decision may seem to have 46
decision may take the form 91
decision may well be made 81
decision she gave at last 52
decision that must be left 138
decision that must be made 5763
decision that there is nothing 51
decision that will be best 84
decision that will be made 558
decision then must be made 70
decision they have to make 254
decision they need to make 102
decision they want to make 40
decision was also in part 141
decision was come to upon 48
decision was five to four 209
decision was four to three 47
decision was hard to make 74
decision was hers to make 248
decision was left to lord 50
decision was made as early 43
decision was made as part 45
decision was made at last 53
decision was made at once 134
decision was made at some 55
decision was made by lord 67
decision was made by some 52
decision was made by those 70
decision was made in early 149
decision was made in full 49
decision was made in good 200
decision was made in july 123
decision was made in june 157
decision was made in late 210
decision was made in part 158
decision was made in view 87
decision was made on july 96
decision was made on june 76
decision was made on their 54
decision was made on what 112
decision was made to also 41
decision was made to back 42
decision was made to base 411
decision was made to bomb 148
decision was made to break 243
decision was made to burn 48
decision was made to bury 69
decision was made to call 473
decision was made to cast 69
decision was made to cease 151
decision was made to clean 45
decision was made to clear 120
decision was made to come 73
decision was made to deny 68
decision was made to draw 105
decision was made to drop 527
decision was made to file 52
decision was made to fill 68
decision was made to find 130
decision was made to fire 201
decision was made to form 616
decision was made to fund 65
decision was made to give 840
decision was made to halt 98
decision was made to hand 116
decision was made to have 1545
decision was made to help 98
decision was made to hire 259
decision was made to hold 934
decision was made to join 168
decision was made to keep 1062
decision was made to kill 134
decision was made to land 193
decision was made to lease 54
decision was made to leave 989
decision was made to lift 65
decision was made to link 50
decision was made to list 47
decision was made to look 184
decision was made to make 1018
decision was made to meet 147
decision was made to move 2453
decision was made to name 117
decision was made to omit 168
decision was made to only 50
decision was made to open 966
decision was made to pass 51
decision was made to pick 46
decision was made to plan 55
decision was made to play 56
decision was made to pool 40
decision was made to pull 166
decision was made to push 116
decision was made to rely 144
decision was made to rent 40
decision was made to rest 82
decision was made to sail 67
decision was made to save 112
decision was made to seek 471
decision was made to sell 658
decision was made to send 2113
decision was made to ship 153
decision was made to show 52
decision was made to shut 134
decision was made to stay 249
decision was made to stop 411
decision was made to take 1370
decision was made to teach 53
decision was made to tell 65
decision was made to test 529
decision was made to throw 76
decision was made to treat 445
decision was made to turn 435
decision was made to wait 243
decision was made to work 272
decision was mine to make 217
decision was more or less 222
decision was none the less 52
decision was said to have 212
decision was seen by many 45
decision was seen by some 42
decision was slow in coming 48
decision you have to make 2461
decision you have to take 62
decision you make in life 86
decision you make in your 245
decision you need to make 1549
decision you want to make 189
declare has been my angel 144
declare how much is just 40
declare that during the time 47
declare that fire is cold 66
declare that from the date 79
declare that from the time 52
declare that none of these 322
declare that nothing is more 112
declare that some of these 57
declare that there is more 128
declare that there is much 88
declare that there is need 190
declare that there is none 108
declare that there is nothing 877
declare that there is only 646
declare that there is some 69
declare that there is such 111
declare that what we call 88
declare they were the true 66
declare war upon the axis 60
declaring that even the hope 51
declaring that nothing is more 105
declaring that such or such 42
declaring that there is need 147
declaring that there is nothing 368
declaring that there is only 308
decline all along the line 53
decline and fall of great 163
decline and fall of many 152
decline and fall of open 64
decline and fall of other 41
decline and fall of past 44
decline and fall of rome 3410
decline and fall of some 47
decline and fall of such 57
decline and fall of their 236
decline and fall of these 203
decline and fall of those 60
decline and fall of tyre 51
decline and fall of what 45
decline and fall of your 139
decline can also be seen 68
decline does seem to have 44
decline for want of time 50
decline has been the most 66
decline was more or less 74
declining sex ratio in india 66
decrease its rate of firing 96
decrease per unit of time 56
decrees and laws the lord 176
decrees and will of fate 70
deduced not only the hues 107
deduced one from the other 268
deduced them from the laws 56
deduced this from the fact 177
deduces this from the fact 82
deducting one from the other 87
deepest and also the most 40
defeated all along the line 711
defeated and many of their 67
defeated foes over to their 49
defects are among the most 543
defects are more or less 169
defects may also be seen 79
defects may take the form 76
defending any part of their 58
defending team puts the ball 68
defense may take the form 62
defense was able to show 96
defense was held to rest 105
defense was kept up week 58
defense was made in good 79
defense was made to help 102
defiance and hymn of hate 43
deficit being made up from 41
deficit that must be made 78
deficit was made up from 81
defined and have the same 71
defined and more or less 728
defined and some of their 70
defined and there is some 103
defined and used in many 70
defined and used the term 81
defined and will be used 84
defined but none the less 112
defined not just by their 81
defined not just by what 56
defined not only by their 484
defined not only by what 589
