damn at never once finding 113
dare to close their gates 40
dare to raise their hands 215
dare to raise their voice 113
dare to raise your voice 151
dare to utter such words 48
daring to trust their cause 48
data in which five equal 45
data is taken from table 75
data to prove their point 50
date it comes into force 420
date of entry into force 52416
date on which fair value 44
date on which keys swears 41
date on which such action 123
date on which such appeal 154
date on which such change 61
date on which such claim 62
date on which such meeting 112
date on which such offer 61
date on which such order 823
date on which such share 65
date on which such state 123
date on which such stock 75
date on which their terms 43
date on which these rules 443
date or dates from which 134
date or dates upon which 283
days he shall rise again 309
days he would have found 73
days he would have given 40
days he would have taken 84
days he would rise again 277
days in cutting down trees 97
days in every week about 91
days in looking into books 78
days in paris were spent 58
days in storing their ships 51
days in which rain falls 70
days it would have taken 243
days of april were spent 52
days of entry into force 77
days of glory were short 44
days of grace were given 95
days of hearings during which 45
days of queen bess jigging 158
days of which were spent 256
days on which binges occur 83
days on which rain falls 1039
days on which snow falls 190
days on which work ought 209
days or hours during which 105
days or maybe even weeks 50
days or weeks during which 239
days the people were swept 71
days the period during which 143
days to about three weeks 62
days to change their minds 136
days to climb over steep 40
days to cross lake george 68
days we shall meet again 66
dealt the enemy heavy blows 61
debt or claim from which 152
debt to nearly their value 41
debt to stand over until 54
deck of cards from which 87
deck to rouse those below 50
deed to pinch such black 63
dell to pitch their black 47
deny the facts upon which 89
deny the people their right 94
depth in human love which 44
depth of about five miles 85
depth of about four miles 61
depth of about four times 46
depth of about three miles 108
depth of about three times 84
depth of eight feet below 316
depth of feeling from which 48
depth of fifty feet below 233
depth of forty feet below 211
depth of nearly four miles 71
depth of nearly three miles 105
depth of seven feet below 58
depth of sixty feet below 112
depth of thirty feet below 296
depth of water from which 86
depth of water into which 174
depth of water over which 83
depth of water will allow 51
depth to which their roots 90
depth to which wave action 61
died in about five weeks 71
died in about four hours 133
died in about nine weeks 43
died in about three hours 198
died in about three months 211
died in about three weeks 272
died in action during world 44
died in exile soon after 44
died in italy soon after 73
died of fever soon after 186
died of grief soon after 197
died on board ship while 66
dint of sheer will power 63
dint of sword have since 51
dips the child three times 49
doings of daily life imply 59
dome of which rose above 60
done by relying upon facts 112
done by running cold water 40
done in about five hours 41
done in about four hours 76
done in about three hours 73
done in about three months 62
done in about three weeks 94
done in every case where 177
done in small open whale 41
done on either side until 41
done on every other point 63
done so would have given 176
done so would have shown 54
done so would have taken 61
done so would have thrown 46
done to change their minds 52
done to create such bonds 40
done to merit these cruel 205
door to search other rooms 199
