data of consciousness are not 81
days of companionship with one 105
deem it inappropriate for this 43
deem it inconsistent with his 170
deem it inconsistent with our 88
died of tuberculosis and his 73
died of tuberculosis and that 111
died of tuberculosis and was 120
died of tuberculosis not long 124
dint of perseverance and two 40
done by professionals who are 51
done in collaboration with her 101
done in collaboration with him 83
done in collaboration with his 467
done in collaboration with jean 53
done in collaboration with one 103
done in collaboration with two 58
done so consistently with his 47
door of reconciliation with his 94
down by international law and 48
down by international law for 137
down the mountainside and then 113
down to companionship with his 48
drew the illustrations for his 52
drew the illustrations for this 45
during my acquaintance with her 209
during my acquaintance with him 362
during my acquaintance with you 40
during my conversations with him 56
during my conversations with them 45
during the independence war and 48
during the international year for 71
during the interrogation and that 40
during the investigation and for 58
during the investigation and that 99
during the investigation was that 121
during the revolutionary era and 317
during the revolutionary era was 139
during the revolutionary war and 5133
during the revolutionary war are 97
during the revolutionary war but 133
during the revolutionary war did 44
during the revolutionary war era 288
during the revolutionary war for 207
during the revolutionary war had 346
during the revolutionary war has 48
during the revolutionary war than 68
during the revolutionary war that 424
during the revolutionary war they 59
during the revolutionary war was 1050
during the revolutionary war who 99
during the revolutionary war with 369
