dad and 113 dad and 66
day had 47 day any 43
day that 103 day that 172
day not 93 day out 131
day how 176 day day 105
day was 109 day for 68
day that 144 day was 285
day was 91 day are 91
day and 94 day was 49
day who 40 day was 183
day year 1317 day and 152
day day 369 day day 266
day year 71 day was 75
day was 45 day that 93
day not 176 day for 133
day than 244 day that 117
day for 89 day and 288
day and 94 day and 52
day with 231 day out 97
day year 430 day and 121
day had 41 day was 102
day and 158 day and 46
day day 42 day six 43
day year 676 day and 100
day and 127 day and 70
day who 72 day year 104
day and 158 day year 145
day her 69 day his 145
day its 49 day new 40
day one 302 day our 220
day for 69 day with 73
day for 41 day with 90
day and 45 day sat 65
day than 137 day and 43
day for 89 day than 48
day with 173 day for 142
day and 41 day and 55
day his 45 day for 72
day that 62 day them 49
day his 62 day his 58
day that 180 day his 52
day not 251 day his 62
day her 44 day that 109
day him 44 day with 60
day was 81 day how 158
day was 78 day was 208
day was 158 day was 105
day had 97 day was 43
day had 99 day had 48
day had 40 day was 53
day was 345 day was 79
day was 109 day oak 94
day had 56 day was 161
day had 47 day was 308
day was 86 day was 139
day was 54 day was 46
day was 263 day was 64
day that 66 day for 106
day not 207 day one 126
day one 80 day and 145
day than 142 day and 162
day that 81 day with 86
day that 100 day that 54
day that 45 day and 45
day day 63 day and 85
day and 138 day day 48
day day 63 day day 65
day for 121 day not 49
day and 42 day and 169
day and 68 day for 42
day that 169 day and 78
day and 46 day and 77
day that 176 day that 131
day that 1108 day and 95
day that 328 day ease 55
day him 67 dead that 84
dead was 41 dead are 72
dead and 56 dead are 77
dead for 437 dead with 71
dead not 47 deal are 49
deal with 67 deal out 186
deal man 108 deal with 188
deal things 57 deal that 344
deal and 75 deal and 40
deal not 44 deal and 41
deal that 106 deal man 253
deal that 154 deal that 217
deal out 117 deal god 57
deal they 41 deal you 109
deal and 44 deal than 624
deal and 62 deal and 159
deal and 79 deal and 371
deal and 83 deal any 117
deal being 89 deal than 75
deal and 48 deal and 239
deal than 57 deal any 119
deal and 41 deal that 122
deal and 101 deal and 203
deal and 56 deal and 135
deal and 82 deal and 488
deal that 150 deal and 150
deal and 92 deal and 1030
deal for 137 deal that 206
deal and 510 deal that 1429
deal they 91 deal that 462
deal and 114 deal and 59
deal and 284 deal and 189
deal and 104 deal and 113
deal law 249 deal man 83
deal and 200 deal and 113
deal and 614 deal and 62
deal and 112 deal that 308
deal and 1293 deal are 43
deal had 46 deal that 628
deal was 147 deal with 119
deal and 40 deal and 93
deal that 101 deal and 237
deal that 321 deal and 42
deal for 942 deal that 104
deal and 826 deal for 141
deal and 200 deal and 347
deal and 115 deal and 270
deal that 166 deal and 185
deal than 47 deal area 83
deal set 107 deal and 49
deal that 42 deal and 358
deal and 302 deal that 539
deal and 161 deal and 410
deal and 707 deal that 1038
deal they 65 deal you 87
deal and 168 deal that 878
deal and 106 deal and 245
deal and 712 deal and 528
deal and 146 deal and 90
deal and 66 deal and 112
deal that 250 deal and 114
deal and 108 deal tax 230
deal and 837 deal for 170
deal was 317 deal who 123
deal and 1668 deal being 53
deal but 61 deal that 4417
deal they 547 deal with 87
deal you 187 deal and 327
deal and 134 deal two 252
deal and 247 deal things 97
deal and 126 deal that 135
deal and 86 deal and 108
deal for 171 deal and 2051
deal are 112 deal but 133
deal for 247 deal had 54
deal now 179 deal than 84
deal that 259 deal then 42
deal this 124 deal was 544
deal with 609 deal and 409
deal and 147 deal and 332
deal for 174 deal east 1143
deal and 118 deal and 2376
deal with 68 deal and 203
deal and 376 deal one 83
deal and 108 deal and 1346
deal and 40 deal and 93
deal and 242 deal who 1164
deal and 440 deal that 183
deal and 742 deal was 102
deal and 139 deal and 414
deal that 202 deal use 108
deal and 1379 deal are 241
deal but 50 deal and 68
deal that 114 deal and 288
deal that 3224 deal for 1053
deal that 52 deal why 539
deal and 222 deal who 84
deal and 1544 deal and 49
deal and 89 deal and 156
deal and 104 deal and 613
deal one 230 deal set 115
deal and 43 deal and 53
deal and 66 deal and 98
deal and 46 deal and 131
deal but 91 deal and 144
deal and 54 deal and 108
deal and 185 deal and 87
deal and 189 deal and 1346
deal that 625 deal they 79
deal you 119 deal and 54
deal and 175 deal and 106
deal death 48 deal and 170
deal and 149 deal that 89
deal and 119 deal and 220
deal that 212 deal that 257
deal that 134 deal and 106
deal and 120 deal and 292
deal that 83 deal they 162
deal war 44 deal and 181
deal and 119 deal and 236
deal and 116 deal and 154
deal and 43 deal and 72
dear him 50 dear him 43
death are 61 death that 176
death that 114 death for 356
death that 199 death one 62
death who 69 death for 105
death why 46 death death 70
death that 89 death that 44
death all 43 death that 41
death lot 71 death both 41
death and 52 death who 99
death and 43 death for 153
death for 172 death than 96
death and 68 death for 83
death for 81 death him 70
death man 75 death die 121
death had 47 death and 41
death for 42 death that 50
death that 55 death and 177
death that 626 death lot 87
death and 54 death not 43
death for 49 death for 2313
death that 53 death that 42
death that 189 death that 160
did and 71 did that 47
did they 172 did and 49
did for 48 did and 46
did and 118 did for 54
did and 204 did that 88
did things 188 did things 165
did and 43 did and 59
did and 212 did for 87
did and 46 did and 43
did for 92 did things 122
did and 54 did and 286
did for 137 did out 204
did out 62 did how 70
did was 172 did and 46
did and 66 did was 54
did and 43 did his 49
did his 48 did and 82
did law 138 did bring 156
did lead 130 did mean 124
did any 231 did with 88
did for 53 did than 850
did with 78 did and 114
did for 1263 did with 77
did for 51 did any 66
did one 41 did and 172
did for 499 did now 182
did she 141 did that 942
did they 135 did with 296
did you 142 did things 73
did him 66 did and 47
did that 141 did with 107
did and 114 did for 95
did meat 47 did and 52
did with 57 did and 80
did for 217 did that 92
did this 42 did with 137
did and 133 did doing 62
did him 50 did with 494
did and 62 did but 81
did for 333 did that 145
did with 98 did with 44
did being 95 did her 285
did his 888 did its 294
did one 197 did our 74
did ten 107 did that 4112
did them 192 did this 1929
did two 311 did than 470
did and 137 did than 1554
did with 46 did than 121
did and 665 did than 3757
did was 67 did with 206
did than 332 did and 93
did but 114 did for 42
did with 93 did for 41
did with 329 did for 132
did for 51 did this 45
did with 47 did and 80
did and 123 did with 50
did all 1024 did and 271
did any 1043 did but 52
did for 54 did her 137
did him 86 did his 396
did its 52 did one 138
did our 70 did that 1399
did them 180 did this 930
did was 41 did with 3555
did him 47 did being 60
did her 61 did his 157
did its 218 did her 76
did his 432 did that 125
did that 144 did how 46
did that 548 did say 71
did bring 301 did lead 705
did mean 731 did mean 87
did that 196 did that 50
did you 299 did tie 84
did ask 155 did bring 52
did end 276 did get 136
did lead 139 did mean 2290
did put 154 did say 174
did see 179 did use 172
did and 44 did bring 226
did end 41 did lead 141
did mean 348 did put 53
did not 242 did see 98
did his 63 did his 56
did fear 100 did that 168
did him 62 did and 59
did them 67 did him 96
did them 292 did was 45
did ask 64 did say 139
did and 54 did say 60
did who 93 did see 74
did and 97 did sta 70
did that 129 did not 87
did than 48 did for 55
did out 63 did boy 72
did she 113 did her 59
did not 58 did and 116
did not 64 did and 60
did they 151 did and 47
did not 78 did not 45
did for 40 did that 242
did that 156 did that 148
did out 168 did with 52
did with 66 did for 89
did that 490 did with 47
did that 298 did this 44
did and 51 did with 80
did and 65 did for 199
did with 58 did that 142
did that 276 did that 120
did that 139 did that 414
did this 55 did this 40
did out 74 did out 45
did that 476 did that 42
did all 55 did his 86
did his 46 did for 105
did and 48 did that 101
did ease 56 did joy 50
did and 44 did that 374
did mean 40 did that 1075
did this 212 did you 2789
did that 43 did you 69
did and 87 did all 167
did that 175 did with 148
