deathless praise does martial rome 162
debated whether she should tell 82
debated whether they should make 45
debated whether they should shut 59
deceive itself and commit other 62
decimal digits are packed into 45
decision favoring one client will 101
decision makers are better able 55
declare freely and boldly what 57
degrees cooler than normal body 52
demoniac frenzy had seized upon 49
denotes simply being raised from 45
departing farther and farther from 277
departing further and further from 395
departs farther and farther from 372
departs further and further from 593
depends simply and solely upon 75
depends wholly and solely upon 293
derived simply and solely from 83
descend deeper and deeper into 272
descend further and further into 72
descent deeper and deeper into 51
dessert plates and coffee cups 85
deviated farther and farther from 49
deviated further and further from 114
deviates farther and farther from 95
deviates further and further from 96
devoted almost his entire life 140
devoted almost his entire time 157
diameter through its greater length 47
dietary habits and dental health 60
dietary intake and weight gain 44
dilution methods for measuring flow 172
distant nations and remote ages 168
distend itself with greater ideas 129
diverge farther and farther from 461
diverge further and further from 546
diverging farther and farther from 78
diverging further and further away 103
diverging further and further from 147
doubted whether any better mode 41
doubted whether she should leave 47
dragged deeper and deeper into 586
dragged further and further into 66
drained canned red kidney beans 72
dreadful sounds that issues from 63
dressed better than anyone else 46
drifted deeper and deeper into 418
drifted farther and farther away 1929
drifted farther and farther from 387
drifted farther and farther into 96
drifted further and further away 1934
drifted further and further from 512
drifted further and further into 201
dripped through his rotten roof 41
dropped deeper and deeper into 56
dropped farther and farther back 49
dropped feathers and addled eggs 48
dropped further and further back 47
drunken revels and brawls among 64
dwarfed beside her unbent will 177
