daffodils in the spring and 59
databases in the same way 95
databases to be used for 91
daughters at an early age 356
daughters at the same age 55
daughters by the hand and 92
daughters in the back seat 58
daughters in the hope that 80
daughters in the same way 287
daughters of my said son 79
daughters of the duke and 120
daughters of the gods and 46
daughters of the good old 40
daughters of the great men 47
daughters of the land and 68
daughters of the land are 89
daughters of the land for 45
daughters of the land who 53
daughters of the late earl 131
daughters of the late sir 72
daughters of the living god 922
daughters of the lord god 500
daughters of the north and 50
daughters of the poor and 178
daughters of the poor are 138
daughters of the poor had 48
daughters of the poor who 105
daughters of the rich and 514
daughters of the rich are 111
daughters of the rich who 101
daughters of the same age 343
daughters of the same god 54
daughters of the same man 43
daughters of the swan can 195
daughters of the town are 61
daughters on the same day 195
daughters to do what they 43
debatable is the fact that 254
debauches of the heart and 43
decadence of the arts and 48
decadence of the west and 120
deceptions of the evil one 162
decidedly of the view that 84
decidedly to the fact that 99
deciphering of the past and 41
declension of the noun and 68
declivity of the beach with 59
declivity of the hill and 92
declivity of the west bow 116
decompose in the open air 139
decompose in the same way 286
decompose in the soil and 83
decompose is to live too 99
decorated at the back with 84
decorated at the base with 160
decorated at the edge with 47
decorated at the ends with 113
decorated at the neck with 59
decorated by the pope for 46
decorated by the pope with 67
decorated in the arts and 40
decorated in the same way 3553
decorated on the back with 245
decorated on the body with 121
decorated on the face with 58
decorated on the neck with 58
decorated on the side with 127
decorated to the hilt with 72
decoration in the room was 140
decoration in the same way 64
decoration of the apse and 87
decoration of the body and 197
decoration of the body with 69
decoration of the city and 75
decoration of the dome and 67
decoration of the dome was 60
decoration of the hall and 98
decoration of the hall was 105
decoration of the home and 90
decoration of the home was 46
decoration of the nave and 50
decoration of the neck and 52
decoration of the roof and 48
decoration of the roof was 46
decoration of the room and 150
decoration of the room was 253
decoration of the tomb and 54
decoration on the body and 138
decoration on the neck and 254
decoration on the wall was 70
decrypted at the other end 75
dedicated at an early age 49
dedicated in the hope that 150
dedicated in the same way 45
dedicated in the same year 213
dedicated on the same day 414
dedicated to an ideal and 48
dedicated to my lord and 137
dedicated to my loving and 81
dedicated to my wife and 592
dedicated to my wife who 54
dedicated to my work and 43
dedicated to st john and 51
dedicated to st mary and 456
dedicated to the aims and 46
dedicated to the army air 54
dedicated to the arts and 816
dedicated to the boys and 67
dedicated to the care and 541
dedicated to the city and 53
dedicated to the city for 61
dedicated to the dread war 108
dedicated to the duke and 56
dedicated to the fact that 155
dedicated to the fair sex 46
dedicated to the fine art 145
dedicated to the fire god 48
dedicated to the free and 52
dedicated to the free use 84
dedicated to the game and 74
dedicated to the gods and 689
dedicated to the gods are 58
dedicated to the gods who 99
dedicated to the good and 59
dedicated to the great god 256
dedicated to the great man 40
dedicated to the great men 91
dedicated to the great poet 61
dedicated to the healing god 50
dedicated to the health and 417
dedicated to the holy and 430
dedicated to the hope that 327
dedicated to the ideal that 400
dedicated to the ideas and 48
dedicated to the land and 62
dedicated to the late sir 70
dedicated to the life and 898
dedicated to the living and 52
dedicated to the living god 122
dedicated to the lord and 424
dedicated to the lord for 120
dedicated to the lord god 61
dedicated to the love and 94
dedicated to the moon and 82
dedicated to the moon god 219
dedicated to the more than 126
dedicated to the name and 47
dedicated to the need for 111
dedicated to the past and 72
dedicated to the peace and 79
dedicated to the poor and 122
dedicated to the pope and 99
dedicated to the pope his 66
dedicated to the rain god 182
dedicated to the rising sun 43
dedicated to the same end 401
dedicated to the same god 299
dedicated to the same two 41
dedicated to the sick and 48
dedicated to the task and 121
dedicated to the task that 43
dedicated to the theory and 108
dedicated to the theory that 218
dedicated to the three kings 120
dedicated to the true and 45
dedicated to the true god 467
dedicated to the truth and 89
dedicated to the view that 418
dedicated to the well being 167
dedicated to the wind god 84
dedicated to the wise use 64
dedicated to the work and 134
dedicated to the work for 66
dedicated to the work that 54
