dame schools as late as 40
damp gathered in beads of 113
dare suggest the name of 48
dare venture so much to 84
daring attempt to save the 102
daring attempt to steal the 43
dark against the blue of 89
dark against the glow of 56
dark corners as well as 50
dark current as well as 54
dark glasses to hide my 53
dark glasses to hide the 119
dark glasses to look at 63
dark question of what is 78
dark shadows as well as 99
dark stubble of beard on 46
dash forward if there be 189
data according to type of 98
data adapter to fill the 54
data against the cost of 43
data because of lack of 84
data because the data is 121
data centers as well as 46
data channel is used to 47
data confirm the lack of 46
data confirm the role of 75
data depends in part on 86
data derived by means of 63
data element is used in 54
data element is used to 61
data enables the user to 48
data exchange as well as 69
data formats as well as 85
data gathered as part of 414
data gathered as well as 45
data gathered by means of 350
data gathered to test the 52
data include the name of 45
data members as well as 124
data members to hold the 51
data message is held in 132
data message is sent to 73
data message is used in 50
data objects as well as 77
data outside the range of 144
data outside the realm of 43
data packets as well as 64
data provide the means to 49
data quality as well as 197
data records as well as 88
data regarding the cost of 233
data regarding the flow of 53
data regarding the length of 137
data regarding the life of 49
data regarding the range of 51
data regarding the rate of 186
data regarding the risk of 154
data regarding the role of 500
data regarding the size of 188
data regarding the time of 51
data regarding the timing of 59
data regarding the type of 119
data regarding the work of 47
data secured by means of 110
data signals as well as 93
data similar to those in 358
data similar to those of 264
data sources as well as 923
data storage as well as 191
data storage to hold the 44
data suggest the need to 155
data support or fail to 47
data support the role of 289
data support the theory of 118
data support the view of 144
data systems as well as 192
data traffic as well as 74
data written to disk is 76
date account of what is 58
date because of lack of 131
date becomes the date of 69
date betrays the work of 60
date between the date of 75
date certain or upon the 74
date following the date of 860
date following the date on 63
date following the name of 80
date happens to fall on 125
date perhaps as early as 142
date perhaps as late as 43
date picture of what is 61
date preceding the date of 1227
date summary of what is 41
dating perhaps as early as 123
dawn obtains the brow of 137
days against an army of 82
days because of lack of 162
days because so many of 41
days between the ages of 61
days between the birth of 59
days between the date of 941
days between the date on 84
days between the date the 119
days between the fall of 97
days between the feast of 84
days between the filing of 92
days between the laying of 85
days between the time he 57
days between the time of 502
days between the time the 249
days brought the army to 102
days deposit the same in 53
days enacted the part of 105
days following the bank of 56
days following the birth of 693
days following the bite of 112
days following the date in 72
days following the date of 5902
days following the date on 1479
days following the date the 537
days following the fall of 555
days following the feast of 133
days following the filing of 1000
days following the giving of 175
days following the loss of 126
days following the making of 156
days following the month in 95
days following the news of 94
days following the reading of 55
days following the taking of 57
days following the time of 64
days journey by land to 44
days perched up there on 167
days preceding the birth of 65
days preceding the coming of 80
days preceding the date of 2390
days preceding the date on 128
days preceding the date the 48
days preceding the fall of 132
days preceding the feast of 261
days preceding the filing of 633
days preceding the time of 60
dealing cocaine as well as 76
deals involving the sale of 44
deaths between the ages of 774
debt burdening the soil of 92
debt capital as well as 68
debt exceeds the cost of 42
debt financing as well as 58
debt problem as well as 58
debt service as well as 158
debt servicing as well as 57
deed conveying the land in 44
deed conveying the land to 427
deed conveying the same to 186
deed declaring the uses of 159
deed perform at once as 53
deem fittest to fill it 50
deem herself in need of 69
deem stronger or more to 121
deep anxiety he felt on 47
deep conceit is such as 187
deep concern of mind or 47
deep concern the acts of 88
deep country to live in 53
deep delight of such an 41
deep hollows in among the 42
deep incision is made in 99
deep insight as well as 46
deep muttering of wind in 47
deep respect as well as 85
deep shadows as well as 59
deep tissues as well as 57
deep tissues by means of 44
defy anybody to tell me 54
demo versions of some of 43
deny herself the play of 42
deny himself the joys of 50
deny receiving it from us 41
depth charges as well as 45
depth exceeds the depth of 51
desk against the wall on 42
dials pointed to morn as 79
diary entries as well as 151
died because of lack of 575
died because of what he 118
died between the ages of 1876
died between the date of 196
died between the time of 314
died between the time the 75
died between the years of 43
died following the birth of 270
died outside the pale of 88
died quietly at home in 63
dies because of lack of 201
dies between the ages of 141
dies forever in debt to 52
diet because the body is 75
diet between the ages of 50
diet increase the risk of 43
diet reduces the risk of 273
dike against the tide of 51
dirt tracked in from the 43
dish antenna to pick up 44
disk enables the user to 71
disk storage as well as 89
diving between the legs of 107
dock capable of taking the 47
dock workers as well as 43
dogs between the ages of 146
dogs refused to face the 40
dogs scented the odor of 151
done according to what is 101
done according to what the 44
done against my will is 43
done against the laws of 81
done against the peace in 56
done against the peace of 100
done against the same it 51
done against the will of 979
done against the wish of 130
done because it must be 112
done because it will be 49
done because of lack of 393
done because of what the 63
done because so many of 66
done because the cost of 123
done because the jews in 58
done because the rate of 41
done because we have to 43
done because we want to 85
done between the ages of 718
done between the date of 71
done between the time of 148
done between the time the 76
done chiefly by means of 155
done depends in part on 49
done despite the lack of 54
done equally as well by 68
done equally as well in 47
done everything as well as 44
done everything he knew to 148
done everything he said he 95
done everything to help the 108
done everything to keep the 119
done everything to make it 248
done everything to make me 334
done everything to make my 86
done everything to make the 337
done everything to make us 71
done everything to save the 98
done everything to stop me 45
done everything we knew to 43
done everything we know to 116
done everything we need to 71
done exactly the same as 765
done exactly the same at 48
done exactly the same if 70
done exactly the same in 249
done exactly the same thing 3662
done exactly the same to 101
done exactly the wrong thing 87
done himself no good by 128
done himself no good in 58
done justice to some of 107
done justice to what he 63
done justice to what is 47
done largely by means of 175
done oftener it will be 93
done outside as well as 64
done outside the home by 52
done outside the home in 65
done outside the realm of 56
