daughters for 53 daughters his 48
decidedly any 58 deductions net 77
deductions tax 53 delegates asia 41
delighted his 53 delivered death 154
delivered are 70 departure his 145
departure not 82 departure now 69
departure his 48 departure his 43
departure his 49 departure one 57
dependent his 90 dependent its 225
dependent her 46 dependent its 44
dependent its 132 dependent oil 71
dependent his 58 dependent his 41
dependent are 200 depression low 42
descended had 80 descended had 52
descended not 67 described one 43
describes not 85 desolation for 45
destroyed they 105 determine are 59
determine fix 63 determine can 134
determine has 87 determine can 41
developed kings 55 developed was 75
developed was 67 developed with 48
developed any 49 developed did 107
developed his 41 developed its 52
developed that 158 developed they 45
dictators six 56 different that 163
different that 49 different had 287
different had 54 different had 48
different has 55 different they 67
different does 56 different has 156
different are 60 different for 145
different that 108 different then 42
different with 101 different not 95
different each 54 different and 62
difficult than 45 difficult how 157
diligence that 67 directions one 87
discharge due 66 disciples too 51
disciples death 163 disciples awe 49
disciples fear 61 disciples joy 977
discussed each 43 discussed her 49
dismissed his 72 dismissed was 85
dismissed his 135 dissuaded his 180
distressing are 60 districts with 50
doubtless doing 58 doubtless this 192
doubtless long 49 doubtless low 64
