dc and an ac component 103
do all of the bookkeeping 92
do all of the different 45
do all of the exercises 463
do all of the household 134
do all of the housework 329
do all of the important 71
do all of the necessary 310
do all of the operations 88
do all of the paperwork 162
do all of the technical 40
do all of the wonderful 50
do and it is important 91
do any of the aforesaid 234
do any of the exercises 248
do any of the forbidden 65
do any of the household 68
do any of the housework 171
do any of the necessary 62
do any of the previously 41
do any thing in opposition 104
do any thing in prejudice 67
do any thing in pursuance 76
do any thing of ourselves 94
do any thing of themselves 84
do any thing on horseback 41
do any thing to disoblige 51
do any thing to encourage 41
do any thing to interfere 73
do any thing to prejudice 74
do but in the unsettled 115
do each of the exercises 88
do for me to interfere 87
do for us the forbidden 94
do lead to the conclusion 127
do men of the community 164
do not be so conceited 73
do not be so concerned 357
do not be so defensive 167
do not be so depressed 120
do not be so desperate 79
do not be so difficult 135
do not be so disturbed 44
do not be so dreadfully 110
do not be so forgetful 40
do not be so goddamned 90
do not be so impatient 520
do not be so impetuous 58
do not be so imprudent 84
do not be so impulsive 40
do not be so miserable 128
do not be so mysterious 128
do not be so obstinate 160
do not be so painfully 43
do not be so passionate 71
do not be so provincial 41
do not be so sarcastic 94
do not be so secretive 44
do not be so sensitive 427
do not be so sorrowful 58
do not be so surprised 391
do not be so suspicious 186
do not be so ungrateful 74
do not do an effective 112
do not do it correctly 214
do not do it naturally 49
do not do it ourselves 381
do not do it overnight 42
do not do it perfectly 189
do not do it purposely 63
do not do it regularly 176
do not do it sometimes 82
do not do it themselves 470
do not do it thoroughly 46
do not do so invariably 72
do not do so naturally 65
do not do so precisely 45
do not do so primarily 77
do not do so regularly 104
do not do so themselves 220
do not do so uniformly 43
do not do the exercises 151
do not do the housework 72
do not do the necessary 123
do not do the paperwork 114
do not eat it themselves 89
do not go of themselves 105
do not go on television 41
do not go to california 99
do not go to completion 749
do not go to confession 615
do not go to galleries 48
do not go to hollywood 75
do not go to hospitals 186
do not go to jerusalem 105
do not go to libraries 43
do not go to physicians 48
do not go to political 40
do not go to secondary 78
do not go to synagogue 550
do not in the aggregate 1314
do not in the slightest 2123
do not is an important 60
do not to my knowledge 145
do not we go someplace 424
do not we go somewhere 953
do now is to determine 84
do now is to establish 98
do now is to introduce 58
do now is to recognize 65
do one of the bloodiest 48
do one of the exercises 102
do one of the relaxation 43
do out of the protection 75
do owe it to ourselves 44
do pay to the applicant 72
do pay to the defendant 179
do pay to the plaintiff 229
do put in an appearance 143
do put me in possession 43
do that in the afternoon 82
do that in the classroom 77
do that is so different 55
do that is so important 113
do that is to eliminate 73
do that is to encourage 51
do that is to establish 70
do that is to introduce 68
do that is to recognize 61
do that it is difficult 105
do that it is important 87
do that it is necessary 931
do that it is sometimes 40
do that on the telephone 73
do things in the classroom 126
do things in the community 146
do things is as important 69
do things to the liberties 55
do this as an expression 58
do this by no intrinsic 54
do this if we ourselves 41
do this in an effective 163
do this in an efficient 243
do this in an emergency 83
do this in an interesting 51
do this in an objective 163
do this in an organized 298
do this in the afternoon 71
do this in the artillery 167
do this in the classroom 158
do this in the confident 98
do this in the conviction 55
do this in the exercises 51
do this in the framework 74
do this in the interests 335
do this in the knowledge 181
do this in the microwave 69
do this in the remainder 51
do this is an important 169
do this is an indication 99
do this is an interesting 43
do this is by considering 58
do this is by encouraging 93
do this is by identifying 76
do this is by introducing 86
do this is to alternate 87
do this is to attribute 49
do this is to calculate 408
do this is to carefully 84
do this is to configure 69
do this is to construct 419
do this is to designate 75
do this is to determine 375
do this is to distinguish 70
do this is to duplicate 54
do this is to eliminate 202
do this is to emphasize 137
do this is to encourage 385
do this is to establish 634
do this is to formulate 76
do this is to highlight 108
do this is to implement 132
do this is to initialize 46
do this is to integrate 94
do this is to interpret 61
do this is to interview 45
do this is to introduce 461
do this is to recognize 252
do this is to represent 117
do this is to structure 44
do this is to subscribe 56
do this is to summarize 49
do this is to transform 111
do this is to undertake 51
do this is to visualize 91
do this is to volunteer 41
do this it is advisable 98
do this it is desirable 102
do this it is generally 69
do this it is important 604
do this it is necessary 25177
do this it is sometimes 105
do this it is suggested 45
do this on an emergency 56
do this on the assumption 528
do this on the principle 99
do this on the telephone 45
do this to be deficient 43
do this to the detriment 75
do try to be reasonable 82
do was to be sensitive 62
do with it is uncertain 40
do you do in situations 67
do you do on christmas 51
do you do on saturdays 72
do you do to celebrate 66
do you do to encourage 132
do you go to confession 101
do you go to salisbury 267
do you go to synagogue 45
