dark hair fell forward over 76
data back into digital form 40
data from many sources into 80
data from other sources have 83
data from other sources into 91
data from other sources such 672
data from other sources were 102
data from other sources will 44
data from other studies have 42
data from such studies have 45
data from these sources have 58
data from these sources were 94
data from these studies also 47
data from these studies have 252
data from these studies show 101
data from these studies were 205
data from these studies will 113
data from these surveys have 84
data from these surveys were 87
data give some insight into 46
data have been adapted from 163
data have been arranged into 69
data have been brought into 57
data have been deduced from 45
data have been derived from 1447
data have been divided into 400
data have been entered into 747
data have been gathered from 890
data have been gathered over 185
data have been grouped into 485
data have been omitted from 118
data have been removed from 74
data have been revised from 184
data have been secured from 178
data have been written into 48
data sets were derived from 45
data sets were divided into 109
data used were derived from 75
data were also derived from 62
data were also divided into 40
data were also gathered from 133
date back five thousand years 185
date back four hundred years 84
date back four thousand years 117
date back three hundred years 129
date back three thousand years 122
date have been derived from 72
dating back five hundred years 74
dating back five thousand years 139
dating back four hundred years 68
dating back four thousand years 119
dating back three hundred years 140
dating back three thousand years 142
days during such quarter such 83
days nothing worth mentioning took 91
days there were moments when 45
days these poor animals have 56
days were very pleasant ones 58
days when their parents were 62
days when these objects were 57
deaths from these diseases were 43
deer have been usually kept 49
died made just fifteen years 67
died over three hundred years 45
died some three hundred years 47
diet will also provide other 92
dirt have been removed from 42
done evil into eternal fire 129
done some good exploring work 43
done their duty towards their 50
done these five hundred years 101
down from five thousand feet 64
down from some unknown seed 52
down from their northern home 41
down from three thousand feet 51
down into four general areas 44
down into three general areas 78
down over three thousand years 120
down pall mall glorious upon 53
down some five hundred feet 51
down upon their devoted heads 104
drag down into poverty those 82
draw many just remarks from 79
draw their main support from 128
drew down upon himself their 40
drew their main support from 215
drop from your chamber into 123
during many years unknown even 154
during some four hundred years 48
during some three hundred years 78
during their early married life 284
during their early married years 76
during their early teenage years 94
during their five hundred years 43
during their four hundred years 63
during their late teenage years 52
during their most fertile years 71
during their three hundred years 47
during these early postwar years 113
during these five hundred years 199
during these four hundred years 206
during these last fifteen years 170
during these last hundred years 88
during these last several years 79
during these past fifteen years 124
during these past hundred years 49
during these past several years 134
during these three hundred years 357
during these three thousand years 60
during those early postwar years 71
during those five hundred years 89
during those four hundred years 89
during those rare moments when 282
during those three hundred years 257
duty have been written down 123
