dare sagged flabbily to his 83
dark clothes absorbed it and 48
dark clouds obscured the sky 59
dark clouds obscured the sun 127
dark gloomy chambers in and 48
dark secret chambers of her 103
data sheets required by this 101
days before admission he had 247
days before admission he was 81
days before operation so that 48
days before succumbing to his 55
days something soulless in our 93
deep tendon reflexes in all 60
died deeply lamented by his 116
died greatly lamented by all 47
died greatly lamented by his 51
disk barely obscures the sun 130
done almost entirely by men 122
done something terrible to her 164
done something terrible to him 167
done something terrible to his 40
done something terrible to you 101
done without authority of law 87
done without recourse to any 43
draw further attention to his 41
draw further attention to this 45
draw public attention to any 42
draw public attention to her 80
draw public attention to him 58
draw public attention to his 157
draw public attention to its 121
draw public attention to our 41
draw public attention to them 153
draw public attention to this 249
draw special attention is that 45
draw special attention to his 95
draw special attention to its 63
draw special attention to one 132
draw special attention to that 57
draw special attention to them 352
draw special attention to this 463
draw special attention to two 81
drew public attention to him 101
drew public attention to his 198
drew public attention to its 104
drew public attention to them 50
drew public attention to this 206
drew special attention to his 59
drew special attention to them 54
drew special attention to this 215
dull person desirous to get 49
during graded exercise in man 75
during mental activity is due 73
during normal operation so that 84
during periods selected by that 54
during sexual activity in men 69
duty without parallel in its 51
