dark winding passages that lead 51
data which indicate that this 99
data whose validity can not 43
data would indicate that this 78
date might coincide with that 77
days after admission she was 70
days after delivery and may 57
days after delivery and then 46
days after exposure and may 96
days after gertrude and her 55
days after infection and may 59
days after infection and then 64
days after operation and then 42
days after operation and was 47
days after ovulation and then 64
days which followed his death 46
days which preceded his death 44
deed which provided that they 44
deep within yourself that you 44
desk clerk informed him that 55
dire would persuade him they 43
disk space required for each 83
down brave officers and men 125
down worse treatment than she 66
draw large salaries for doing 79
drug users infected with hiv 179
drug users reported that they 40
dumb breast flutters and sings 455
during which patients are not 101
during which patients can not 98
