daggers are out of stock 112
damaged and are no longer 99
damaged and can no longer 241
damaged and out of action 387
damaged that they no longer 40
damages can not be based 120
damages can not be given 198
damages can not be shown 64
damages may not be based 97
daresay you may be right 43
daytime and not at night 141
daytime and one at night 104
daytime but not at night 271
dazzled him with the offer 72
deafness can not be cured 47
debates are going on about 48
decades ago and is still 83
decades ago are no longer 140
decayed that all the marks 52
deceased was not of sound 204
deceive thee for my sails 72
deceive you for the world 76
decided and that the texas 59
decided for them by others 59
decided now that he would 70
decided one day to visit 105
decided one day to write 52
decided she had the right 52
decided she was no longer 410
decided she was the woman 62
decided that all he could 222
decided that all the money 66
decided that all the people 106
decided that all the women 88
decided that all we could 63
decided that doing so would 230
decided that for the first 563
decided that now he would 43
decided that now or never 53
decided that she no longer 1064
decided that they no longer 1321
decided that this is really 41
decided that this is where 121
decided that was the place 156
decided that was the right 78
decided that with the money 40
decided that you no longer 193
decided then that he would 499
decided then that it would 150
decided then that we would 137
decided they can no longer 125
decided they had no option 75
decided they had the right 54
decided this was no longer 46
decided this was no place 96
decided this was the place 369
decided this was the right 202
decided was that we would 58
decided who had the right 121
decides how far the social 42
decides she can no longer 197
decides that she no longer 263
decides who are the people 252
decides who has the right 105
decision and had no right 62
decision and that he could 44
decision and that he would 114
decision and that it would 262
decision and that the helping 41
decision and then to adopt 55
decision can not be aimed 48
decision can not be based 476
decision can not be cited 68
decision can not be easily 70
decision can not be found 60
decision can not be fully 90
decision can not be given 135
decision can not be known 110
decision can not be taken 721
decision can then be based 47
decision can then be taken 132
decision lay with the people 93
decision may not be based 101
decision may not be final 53
decision may not be taken 95
decision may then be taken 49
decision that can be taken 153
decision that for the first 59
decision that may be taken 195
decision that set the stage 46
decision that was to alter 61
decision that was to cause 43
decision that was to change 241
decision that was to prove 163
decision that was to shape 72
decision was not an abuse 56
decision was not at first 52
decision was not in doubt 47
decision was not the final 42
decision was not the first 74
decision was not the right 61
decision was one in which 95
decision was that he could 87
decision was that he would 148
decision was that it could 61
decision was that it would 408
decision was that the court 219
decision was that the power 66
decision was that the right 95
decision was that the state 211
decision was that the whole 49
decision was that we could 68
decision was that we would 152
declare any area or place 109
declare that all the world 63
declare that both the taxes 59
declare that for the first 40
declare that god is really 169
declare that she no longer 87
declare that that is right 97
declare that they no longer 319
declare war and the power 103
declare war and to raise 310
declare war with the state 564
declare war with the wages 93
declare with all the power 68
declaring that all the world 59
declaring that now he would 52
declaring that now or never 89
declaring that she no longer 117
declaring that they no longer 336
decline and all by which 51
decline and death of trees 141
decline had set in after 53
decline that set in after 149
decline was due in large 103
decline was due to lower 55
decline was not as sharp 70
decline with age in healthy 44
decrease with age in women 42
decreed that all the people 43
decreed that all the world 85
decreed that for the first 54
decrees are not in force 42
decrees that had the force 117
default and for an option 42
default can not be cured 93
default can not be taken 97
defeated and put to shame 120
defeated and that he would 40
defeated and was no longer 50
defects can not be cured 161
defects can not be easily 47
defects can not be found 47
defects can not be ruled 54
defects that can be found 124
defects that may be found 354
defense and not be taken 70
defense can not be based 62
defense was that he acted 69
defense was that he could 77
defense was that he never 44
defense was that the goods 45
defense was that the meeting 77
defense was that the money 52
deficit can not be fully 48
defined and can be easily 201
defined and can be found 101
defined and put in place 62
defined and set in motion 87
defined far off the homes 77
defined for him by others 141
defined for him in terms 65
defined for them by others 299
defined for them in terms 51
defined who was an indian 48
defines who has the right 86
defraud any one of wages 127
degrees can not be known 72
delayed for six or eight 41
delayed for six to eight 61
delayed too long in getting 41
delayed too long in seeking 61
delayed too long in sending 57
delight you with the magic 327
deliver him dead or alive 204
deliver him that is given 41
deliver them out of egypt 106
deliver them out of order 64
deliver this man to satan 582
delusion than that by which 69
demanding his due of fifty 88
demanding that she be given 98
demanding that they be given 563
demanding that they be taken 65
demanding who was the author 71
demands and that it would 63
demands can not be easily 44
demands can not be fully 74
demands that can no longer 54
demands that she be given 228
demands that they be given 848
demands that they be taken 145
density and heat of fusion 59
density can not be found 49
density can then be found 60
density near that of water 93
density than that in which 56
density than that of water 95
dentist for fear of meeting 79
depends how long it takes 87
deposit any sum of money 245
deposit that can be mined 90
deposit them with the banks 108
deprive men both of action 245
deranged you for so small 75
deserts and goes in search 55
deserts seal off the lower 62
designs are but to prove 65
designs both for the glory 88
designs put out by guild 57
designs that can be built 65
designs that can be easily 89
designs that can be found 62
desired him not to enter 47
desired him not to repeat 46
desired him not to sleep 61
desired him that he would 1785
desired his men to shift 61
desired his men to stand 91
desired than all the world 44
desired that all my works 327
desired that all the terms 46
desired that all the world 160
desired was one in which 49
desired was that the basis 55
desired was that the hearer 74
desires and all the pride 47
desires are not so easily 42
desires for them in music 55
desires that all be saved 55
desires that all the world 136
despair and out of steel 40
despise all that is within 105
despise not then the works 68
despise one that is false 109
despise this day of small 50
despising this day of small 56
despite all that he could 82
despite all that is known 79
despite its age is still 53
despite its being the first 45
destine you for the sword 53
destiny and that of others 227
destiny and that the method 47
destiny that was in store 146
destiny with that of others 45
destroy all men of thrift 41
destroy all that is noble 57
destroy and not to build 144
destroy her and the whole 110
destroy him for no reason 73
destroy them with the sword 77
details are out of place 125
details can not be easily 45
details can not be found 44
details can not be fully 77
details can not be given 953
details can not be known 88
details can not be shown 90
details can not be taken 75
details can now be added 52
details can then be added 41
details may not be known 67
details may not be quite 52
details may now be given 103
details than can be given 192
details that are no longer 137
details that can be added 95
details that can be easily 77
details that can be found 301
details that may be found 78
develop and bring to light 159
develop and fix the image 61
develop and put in place 186
develop and use the gifts 42
develop and use the power 59
develop this way of thinking 173
devices and not as tombs 44
devices that are in close 45
devices that are no longer 260
devices that can be added 177
devices that can be built 99
devices that can be easily 147
devices that can be found 112
devices that may be found 47
devised and put in force 93
devised and put in motion 45
devised and put in place 130
devised and set in motion 222
devours things dry or greasy 48
diabetes can not be cured 126
diagrams are not to scale 166
diagrams can not be drawn 43
diagrams can now be drawn 49
diagrams that can be drawn 92
dialects but not in others 52
dialogue can not be taken 45
dialogue that goes on within 50
dialogue with god in which 92
dialogue with them in order 66
diameter and can be easily 44
diameter and can be found 48
diameter and may be either 41
diameter and six or eight 209
diameter and six or seven 151
diameter and six to eight 151
diameter that can be drawn 79
dignify him with the title 273
dignify them with the title 145
dignity and ease of pliny 145
dignity and that of others 159
dignity can not be found 96
dignity can not be given 72
dignity for all the people 49
dignity may yet be saved 57
dignity that may be thrust 47
dilemma can not be easily 45
dilemma was that he could 208
diluted with six or eight 112
diluted with six or seven 54
diluted with six to eight 45
directing her song to heaven 44
directing him not to enter 52
directing him not to fight 40
directs all things in heaven 97
directs that all the funds 106
discard all but the first 56
discern how far he could 109
discuss all things in heaven 84
discuss and try to solve 150
discuss each one in terms 46
discuss how they go about 45
discuss how you go about 62
discuss one way in which 106
discuss them with the author 47
discuss them with the child 90
discuss them with the class 539
discuss them with the group 169
discuss them with the people 89
discuss them with the staff 67
discuss them with the whole 77
discuss this with me first 41
discuss this with my father 62
discuss this with my mother 93
discuss this with the child 136
discuss this with the class 92
discuss this with the group 100
