daggers at their waists and 90
damaged in some subtle way 65
damaged to some extent and 49
damaged to such extent that 46
damages or other relief are 71
damages or other relief for 187
damages the heart muscle and 177
darkest the hour before day 42
dazzled by their titles and 54
deafness is very trifling you 118
debated in what manner they 72
debated to what extent this 41
debater in high school and 80
debates on these issues and 53
debates on these issues are 77
decades we have learned that 187
decanting the clear liquid and 42
decayed or been broken off 46
deceased or other person was 74
deceased to some person not 47
deceive us into assuming that 129
decency at last forced him 42
decided in high school that 211
decided in their opinion that 233
decided in their wisdom that 313
decided my only chance was 41
decided on their merits and 105
decided the best course for 54
decided the best course was 397
decided the best policy was 90
decided the best tactic was 79
decided the case before them 48
decided the only answer was 88
decided the only course was 54
decided to ally itself with 201
decided to break openly with 40
decided to cook dinner for 71
decided to drop anchor and 59
decided to find another job 69
decided to find another way 108
decided to find someone who 88
decided to give battle and 67
decided to have another cup 71
decided to have another one 238
decided to have another try 649
decided to have coffee and 55
decided to have dinner and 112
decided to have dinner out 44
decided to have dinner with 162
decided to hold another one 83
decided to join battle with 67
decided to join forces and 802
decided to join forces for 125
decided to join forces with 1729
decided to keep silent and 110
decided to learn english and 47
decided to leave before she 61
decided to leave before they 59
decided to leave behind him 43
decided to leave behind his 78
decided to leave berlin and 51
decided to leave berlin for 44
decided to leave boston and 75
decided to leave canada and 46
decided to leave earlier than 70
decided to leave england and 502
decided to leave england for 279
decided to leave europe and 79
decided to leave europe for 83
decided to leave france and 149
decided to leave france for 83
decided to leave london and 307
decided to leave london for 161
decided to leave mexico and 42
decided to leave poland and 54
decided to leave school and 367
decided to leave school for 56
decided to leave vienna and 40
decided to leave without her 42
decided to leave without him 51
decided to lift martial law 42
decided to live amongst them 57
decided to look around and 143
decided to look around for 442
decided to lose weight and 83
decided to make amends and 46
decided to make amends for 127
decided to make amends with 44
decided to make another bid 61
decided to make another one 90
decided to make another run 289
decided to make another try 575
decided to make better use 123
decided to make dinner for 41
decided to make direct for 46
decided to make england his 59
decided to make further use 47
decided to make greater use 73
decided to make london his 56
decided to make painting his 43
decided to make public his 111
decided to make something out 77
decided to make something that 42
