debate originated in the session 49
decent competence of an honest 43
decent observance of the sabbath 129
deemed applicable by the courts 87
deemed applicable to the states 84
deemed appropriate by the agency 44
deemed appropriate by the member 84
deemed appropriate by the school 41
deemed appropriate by the teacher 43
deemed contraband by the modern 347
deemed equivalent to an actual 81
deemed influences of the spirit 44
deemed prejudicial to the public 224
deemed sufficient by the church 121
deeper appreciation of the nature 214
deeper appreciation of the values 50
deeper examination of the issues 47
deeper examination of the matter 44
deeper examination of the nature 40
deeper exploration of the issues 71
deeper exploration of the nature 45
deeper structures of the larynx 100
deeply distressed at the aspect 83
deeply distressed at the thought 143
deeply distressed by the plight 43
deeply entrenched in the fabric 57
deeply entrenched in the habits 60
deeply entrenched in the psyche 88
deeply entrenched in the public 221
deeply entrenched in the system 72
deeply entrenched in the united 81
deeply implicated in the affair 149
deeply implicated in the creation 115
deeply implicated in the crimes 69
deeply implicated in the events 80
deeply implicated in the ghetto 1008
deeply implicated in the matter 72
deeply implicated in the murder 244
deeply implicated in the recent 46
deeply implicated in the revolt 40
deeply implicated in the treason 48
deeply influenced by the belief 56
deeply influenced by the earlier 41
deeply influenced by the english 272
deeply influenced by the events 126
deeply influenced by the french 764
deeply influenced by the german 380
deeply influenced by the impact 47
deeply influenced by the italian 179
deeply influenced by the jewish 43
deeply influenced by the latter 113
deeply influenced by the modern 40
deeply influenced by the nature 96
deeply influenced by the oxford 55
deeply influenced by the preaching 144
deeply influenced by the russian 105
deeply influenced by the soviet 48
deeply influenced by the spirit 237
deeply influenced by the teachings 315
deeply influenced by the theology 49
deeply influenced by the theories 131
deeply influenced by the thought 386
deeply influenced by the united 45
deeply influenced by the values 86
deeply influenced by the writings 701
deeply interested in the affair 300
deeply interested in the answer 75
deeply interested in the building 52
deeply interested in the choice 144
deeply interested in the church 359
deeply interested in the common 86
deeply interested in the cordial 46
deeply interested in the course 165
deeply interested in the debate 42
deeply interested in the eastern 46
deeply interested in the effect 49
deeply interested in the effort 60
deeply interested in the english 127
deeply interested in the events 215
deeply interested in the exciting 47
deeply interested in the family 54
deeply interested in the founding 101
deeply interested in the french 220
deeply interested in the future 878
deeply interested in the gospel 124
deeply interested in the higher 185
deeply interested in the indians 126
deeply interested in the island 44
deeply interested in the issues 122
deeply interested in the jewish 111
deeply interested in the larger 40
deeply interested in the latter 45
deeply interested in the little 353
deeply interested in the matter 1329
deeply interested in the measure 98
deeply interested in the meetings 46
deeply interested in the mission 84
deeply interested in the native 47
deeply interested in the nature 169
deeply interested in the object 93
deeply interested in the occult 391
deeply interested in the origin 60
deeply interested in the person 83
deeply interested in the plight 64
deeply interested in the policy 46
deeply interested in the proper 86
deeply interested in the public 472
deeply interested in the reform 51
deeply interested in the result 807
deeply interested in the safety 98
deeply interested in the scheme 241
deeply interested in the school 98
deeply interested in the sermon 64
deeply interested in the speaker 70
deeply interested in the speedy 52
deeply interested in the strange 82
deeply interested in the sunday 41
deeply interested in the system 49
deeply interested in the teachings 92
deeply interested in the theories 44
deeply interested in the training 77
deeply interested in the united 69
deeply interested in the uplift 44
deeply interested in the various 205
deeply interested in the visual 56
deeply interested in the workings 57
deeply interested in the writings 119
deeply interested in the zionist 82
deeply interwoven in the fabric 62
deeply penetrated by the spirit 101
deeply penetrated by the thought 57
deeply sympathetic to the plight 95
degree acceptable to the squire 63
degree accustomed to the sounds 94
degree appropriate to the person 50
degree considered as the fashion 68
degree determined by the actual 57
degree determined by the amount 62
degree determined by the extent 52
