dagger in your cap that 94
damage as best they can 54
damage by more than one 49
damage in more than one 142
damage is done and can 41
damage is done and that 104
damage is done and then 45
damage is done and you 41
damage is done each year 74
damage is done not for 88
damage is less than that 87
damage on those who are 82
damage or even death may 74
damage or loss that may 133
damage to more than one 518
damage to their own and 40
damage to those who are 375
damage to your car and 80
damage to your own car 347
damaging to those who are 162
damned if there was not 328
damned to hell for all 102
damsel so trig and neat 45
danced to their own singing 75
dances of young men and 107
dangers of cold and heat 51
dangers of drug use and 271
dangers of drug use are 57
dangers of life and death 57
dangers of those who are 53
dangers of what they are 40
dangers to look out for 76
dangers to those who are 65
darken the room and use 127
darker in tone than his 47
darker in tone than that 106
darkly to work with her 59
darned if there was not 151
darted it from him with 69
dashed in among them and 232
dashed in among them with 44
dashed we know not how 141
daubed my face and both 286
daubed my feet with mud 59
daunting to those who are 93
dazzle the mind with its 43
dazzling of late but that 107
dazzling the eyes with its 84
deacons as unto god and 64
deacons to those who are 140
dealers in your area and 61
dealers in your area who 53
dealers to whom they had 73
dealers to whom they may 60
deathbed he sent for his 41
debate in ways that are 40
debate of more than two 59
debate of those that are 64
debate of truth hath won 237
debate on more than one 44
debate the case with them 47
debating the fact that all 41
debtor to seek out his 71
debtor to work off his 45
decade of life and are 342
decade of life and can 47
decade of life and has 91
decade of life and may 197
decade of life and that 118
decade of life and then 179
decade of life but can 51
decade of life but may 105
decade or more ago and 90
decade or more ago are 55
decent in those who are 94
decent to join with them 84
decent to wait and see 46
decide as best they can 63
decide by what his ears 424
decide if there are any 407
decide if there was any 252
decide if what they are 49
decide if what you are 61
decide in their own way 52
decide in what way and 88
decide in what way they 110
decide in what way this 50
decide is best for them 44
decide is best for you 130
decide is good for them 47
decide it once and for 66
decide it once for all 47
decide my fate one way 118
decide no more than that 152
decide no more than this 47
decide on life and death 233
decide on peace and war 429
decide on their own and 65
decide on their own how 330
decide on their own that 434
decide on their own who 41
decide on what and how 80
decide on what was now 48
decide on what you are 88
decide on what you can 41
decide on when and how 72
decide on your own how 120
decide on your own that 74
decide the best way for 144
decide the case and not 62
decide the case and that 104
decide the case for him 67
decide the case for them 40
decide the case one way 128
decide the life and death 81
decide the same for each 57
decide to break with her 78
decide to cast his lot 70
decide to come and see 92
decide to come out and 129
decide to come out with 44
decide to come this way 49
decide to drop out and 50
decide to find out how 81
decide to find out who 48
decide to find out why 44
decide to have sex with 312
decide to help him out 120
decide to hold out for 45
decide to join him for 45
decide to keep and use 187
decide to leave his bed 165
decide to live and die 40
decide to live with her 61
decide to live with him 53
decide to live with them 61
decide to look for her 46
decide to look for him 42
decide to make his own 65
decide to make its own 79
decide to move out and 49
