damn thing that comes into 47
dare to lay hands upon 590
dare to say anything else 96
dare to say anything more 192
daring to lay hands upon 122
daring to say anything more 97
dark as that which most 43
dark as you might think 48
dark in her white face 158
dark it may appear when 56
dark to see anything else 96
dark to see anything more 324
dark to see anything much 81
dart in his right hand 98
dash of any large body 56
data at any given time 500
data do not agree well 49
data do not allow firm 73
data do not allow more 42
data do not allow such 124
data do not offer much 116
data do not reveal such 45
data do not reveal what 46
data in any given case 127
data in bar graph form 75
data in that field will 46
data in this field have 70
data in this field will 58
data in this paper come 68
data in this paper have 119
data in this paper show 51
data in this paper were 282
data in this paper will 47
data in this study also 110
data in this study came 61
data in this study come 92
data in this study have 173
data in this study seem 68
data in this study show 676
data in this study were 1150
data in this study will 136
data in this table also 125
data in this table come 86
data in this table give 48
data in this table have 501
data in this table show 1228
data in this table were 725
data in this table will 82
data in two basic ways 40
data is being moved from 43
data is not shown here 65
data is not taken into 81
data of this study also 72
data of this study have 196
data of this study seem 45
data of this study show 378
data of this study were 451
data of this study will 57
data of this table show 191
data of this table were 59
data on this issue from 54
data on this issue have 54
data on this issue were 48
data on this point come 83
data on this point from 138
data on this point have 238
data on this point were 290
data on this point will 118
data on this topic from 51
data on this topic have 86
data on this topic were 134
date at any given time 128
date is not quite clear 85
date is six months from 203
date it had never been 102
date it has never been 171
date it was first used 40
date of any order made 86
date of each brief must 43
date of her entry into 187
date of his entry into 807
date of his first book 105
date of his first coming 106
date of his first great 46
date of his first note 52
date of his first prior 46
date of his first trip 49
date of his first wife 59
date of his first work 51
date of his passing away 56
date of his sailing from 57
date of its entry into 3381
date of our entry into 72
date of sir thomas more 63
date of that reply will 44
date of this meeting must 96
date of this writing there 83
date on its title page 113
date or any later date 146
date to his senior prom 47
dating to this period have 211
dating to this period were 119
dawn is not breaking over 47
dawn of his reign what 67
dawn to long after dark 56
dawn to long after dusk 68
days as they would have 59
days as was never heard 42
days at his house when 86
days he had never been 128
days he had never seen 93
days he had often been 124
days he had shown much 71
days he had spent here 42
days he had spent much 40
days he had spent there 460
days he had taken part 82
days he was quite well 318
days he was telling what 63
days he was thinking much 110
days he was writing great 43
days in any given month 241
days in each lunar month 194
days in her right hand 307
days in his hotel room 75
days in his whole life 50
days in our lives when 95
days in that rural peace 47
days in this small town 47
days in this world were 62
days is not thrown away 69
days it had never been 59
days it was often said 54
days it was rather hard 42
days my new groom came 93
days no one could have 61
days no one would have 223
days no one would think 50
days of bad weather when 60
days of each lunar month 633
days of easy money were 61
days of her adult life 50
days of her earthly life 44
days of her first love 55
days of her gypsy life 53
days of her short life 55
days of his adult life 58
days of his brief life 48
days of his earthly life 669
days of his entry into 124
days of his exile from 43
days of his fasting were 92
days of his first love 59
days of his first term 244
days of his flesh were 92
days of his glory were 69
days of his later life 45
days of his power were 78
days of his reign were 310
days of his reign when 49
days of his short life 141
days of his visit were 76
days of his whole life 130
days of his working life 43
days of his working week 48
days of its adult life 46
days of its first great 41
days of its glory were 190
days of its short life 44
days of not feeling well 45
days of old daddy adam 46
days of our earthly life 52
days of our epoch there 50
days of our first love 41
days of our lives have 43
days of our lives here 49
days of our lives were 91
days of our lives when 48
days of our visit were 41
days of sir george grey 76
days of sir harry smith 48
days of sir henry irving 56
days of sir thomas more 406
days of that first week 46
days of that period were 61
days of them which came 328
days of this period were 91
days on and seven days 82
days on end write down 58
days on his right side 192
days or two weeks during 46
days or two weeks from 126
days or two weeks more 46
days or two weeks there 54
days or two weeks were 41
