do care when propaganda is 213
do feel some inclination to 53
do give some indications of 86
do have great difficulty in 63
do have some advantages in 189
do have some difficulty in 68
do have some experience in 164
do have some experience of 243
do have some indications of 46
do have some information on 245
do make some concessions to 42
do make some difference in 53
do nothing more acceptable to 246
do their best regardless of 65
do their duty regardless of 114
do vary from individual to 41
do very much contribute to 42
do your duty regardless of 74
