damn that son of a 41
damp day than on a 42
dare say she is a 342
dare say that if a 205
dare say that if i 473
dare say that in a 137
dare say that is a 92
dare say that to a 121
dare say this is a 136
dare you bring me a 68
dark and all of a 55
data and act as a 67
data and can be a 48
data and lead to a 50
data and not as a 142
data and not on a 73
data and set up a 81
data and this is a 45
data are due to a 66
data are fed to a 164
data are fit by a 92
data are fit to a 261
data are not in a 259
data are not of a 123
data are not on a 61
data are now in a 57
data are put in a 79
data are put on a 71
data are read by a 58
data can act as a 77
data can lead to a 392
data can not be a 107
data for each of a 52
data for use as a 124
data for use at a 55
data for use by a 180
data for use in a 636
data for use on a 42
data has led to a 418
data may lead to a 301
data may not be a 320
data one bit at a 1220
data one row at a 306
data set can be a 54
data set may be a 129
data set that is a 76
data that are in a 111
data that are of a 43
data that are on a 40
data that bear on a 45
data that can be a 85
data that lead to a 111
data that led to a 52
data that may be a 41
data that this is a 49
data was fit to a 189
data was that of a 52
data with that of a 100
date can not be a 57
date for use as a 87
date has led to a 153
date may not be a 109
date one day at a 118
date than that of a 97
date was due to a 40
date was that of a 91
days ago that if i 55
days and all of a 57
days and led to a 71
days and not as a 101
days and put on a 40
days and see if i 152
days and set up a 43
days and then by a 51
days and then in a 80
days and this is a 45
days and was in a 113
days are but as a 71
days can lead to a 62
days each year as a 50
days for fear of a 40
days may bring in c 98
days may not be a 53
days per year as a 76
days per year at a 63
days per year in a 127
days per year on a 52
days per year to a 48
days she lay in a 174
days she was in a 246
days they are in a 85
days was due to a 59
days was one of a 53
days was that of a 241
days was then of a 52
days with him at a 73
days with him in a 77
days you are in a 42
dealing with death as a 104
dealing with death in a 59
dealing with death on a 45
dealing with god as a 51
dealing with her as a 111
dealing with her in a 52
dealing with him as a 646
dealing with him in a 743
dealing with him on a 154
dealing with man as a 289
dealing with man to a 49
dealing with men as a 52
dealing with men in a 99
dealing with men of a 223
dealing with now is a 87
dealing with one at a 241
dealing with one of a 46
dealing with one or a 136
dealing with sex as a 63
dealing with sex in a 280
dealing with that in a 46
dealing with them as a 653
dealing with them as i 43
dealing with them at a 94
dealing with them by a 42
dealing with them in a 4715
dealing with them is a 377
dealing with them on a 564
dealing with things in a 146
dealing with things on a 74
dealing with this as a 134
dealing with this in a 140
dealing with this on a 63
dealing with war as a 50
dealing with you as a 186
dealing with you in a 67
deals with death as a 44
deals with death in a 47
deals with her as a 41
deals with him as a 672
deals with him in a 269
deals with man as a 1102
deals with man in a 58
deals with men as a 89
deals with men in a 51
deals with sex in a 2376
deals with them as a 468
deals with them in a 2344
deals with them on a 147
deals with things in a 124
deals with this as a 166
deals with this in a 350
deals with you as a 108
dealt out one at a 104
dealt with and to a 48
dealt with are of a 145
dealt with are on a 44
dealt with both as a 42
dealt with both in a 62
dealt with death on a 57
dealt with her as a 122
dealt with her in a 213
dealt with her on a 43
dealt with him as a 599
dealt with him as i 71
dealt with him in a 490
dealt with him on a 250
dealt with man as a 96
dealt with not as a 225
dealt with not by a 77
dealt with one at a 932
dealt with sex in a 68
dealt with that in a 52
dealt with them as a 425
dealt with them as i 42
dealt with them by a 45
dealt with them in a 1475
dealt with them on a 222
dealt with things in a 74
dealt with this as a 87
dealt with this in a 367
dealt with you as a 82
dealt with you in a 55
deaths and led to a 41
deaths are due to a 180
deaths per year as a 69
deaths per year in a 93
deaths was due to a 40
deaths was that of a 49
debt and not as a 104
debt can lead to a 52
debt can not be a 93
debt has led to a 54
debt may not be a 55
debt was due by a 110
debt was due to a 76
debt was met by a 41
deck and sat on a 61
deck her out in a 48
deed can not be a 58
deep than you or i 54
deny him any thing i 75
deny its aid to a 71
deny that death is a 102
deny that god is a 569
deny that man is a 394
deny that one is a 92
deny that she is a 486
deny that that is a 216
deny that this is a 3298
deny that war is a 95
deny this for if i 40
depth can lead to a 61
depth than that of a 53
desk and lit up a 40
desk and put in a 99
desk and put on a 81
desk and sat in a 199
desk and sat on a 84
desk and see if i 45
died each year as a 132
died for him in a 90
died long ago if i 47
died long ago in a 63
died out due to a 50
died that day in a 50
died that day of a 44
died that year as a 42
died that year in a 52
died with him in a 87
diet and then to a 58
diet can lead to a 253
diet has led to a 70
diet may act as a 51
diet may lead to a 165
diet may not be a 57
dine and sup at a 67
dine with her at a 53
dine with her in a 48
dine with her on a 84
dine with him as a 57
dine with him at a 690
dine with him in a 336
dine with him on a 463
dine with them at a 144
dine with them in a 109
dine with them on a 54
dine with you in a 65
dine with you on a 40
dining one day at a 70
dining out can be a 40
dining with him at a 106
dining with him in a 89
dining with him on a 173
diode can act as a 56
disc for use in a 47
dish and heat in a 57
dish and put in a 169
dish and set in a 179
disk for use as a 66
disk for use in a 78
disk for use on a 95
dive and bring up a 95
docs not act as a 114
docs not lead to a 190
doff his hat to a 128
dogs are fed on a 41
dogs can bring to a 40
done all that in a 53
done all this as a 71
done all this at a 47
done all this in a 289
done and this is a 65
done any one of a 70
done can not be a 41
done for her as a 82
done for her at a 45
done for her by a 100
done for her in a 105
done for him as a 262
done for him at a 74
done for him by a 680
done for him in a 233
done for him on a 44
done for that of a 43
done for them as a 270
done for them by a 527
done for them in a 231
done for them is a 48
done for them on a 83
done for you as a 154
done for you as i 104
done for you at a 69
done for you by a 227
done for you in a 161
done for you is a 64
done for you on a 54
done her job as a 50
done her out of a 52
done him out of a 160
done his job as a 142
done his job in a 62
done its job as a 48
done long ago in a 41
done not out of a 79
done one arm at a 52
done one day at a 91
done one leg at a 75
done one row at a 43
done that one if i 184
done this not as a 68
done this now in a 43
done this out of a 155
