data and alternatives we believe 68
data are insufficient at present 62
data are insufficient to confirm 88
data are insufficient to justify 123
data are insufficient to provide 180
data are insufficient to resolve 91
data are insufficient to suggest 55
data are insufficient to support 382
data are insufficient to warrant 222
dealt with specifically in chapter 126
dealt with sufficiently in outline 66
deaths are attributable to tobacco 96
dole was insufficient to support 42
down and disintegrating the surface 77
drop his acquaintance by degrees 78
during and notwithstanding the present 60
during his imprisonment at windsor 51
during his imprisonment in germany 41
during his imprisonment in windsor 43
