damaged be 690 damaged be 69
damages the 42 damages the 108
damages be 197 damages of 59
damages the 73 damages to 47
damages be 61 damages be 46
damages be 50 damages of 109
damages be 127 dancers the 126
daresay me 98 daresay be 103
daytime the 41 daytime the 122
dazzled the 49 deadened the 40
deadline be 46 debates on 202
debates of 93 decades be 47
decades to 64 decades it 84
decades the 475 deceased in 286
deceased on 141 decency to 71
decided he 42 decided be 328
decided do 196 decided go 373
decided in 57 decided up 40
decided be 521 decided do 108
decided go 303 decided it 47
decided to 515 decided the 67
decided the 50 decided to 78
decided he 155 decided it 258
decided the 167 decided the 133
decided be 75 decided of 94
decided of 55 decided be 136
decided he 50 decided we 41
decided the 60 decided be 89
decided do 49 decided go 155
decided the 88 decided is 57
decided the 148 decided be 521
decided do 143 decided be 314
decided do 221 decided go 181
decided the 41 decided go 115
decided be 303 decided do 66
decided go 214 decided it 40
decided to 558 decided the 50
decided go 46 decided be 109
decided be 83 decided it 41
decided the 49 decided we 47
decided be 173 decided do 75
decided or 44 decided the 75
decided be 46 decides the 45
decision the 64 decision be 64
decision the 124 decision be 48
decision to 151 decision the 42
decision to 43 decision the 46
decision be 117 decision the 45
decision the 222 decision the 67
decision the 48 decision be 46
decision the 371 decision it 382
decision it 48 decision to 44
decision be 91 decision by 59
decision the 62 decision the 59
decision of 45 decision to 121
decision be 466 decision the 46
decision to 104 decision be 52
decision the 55 decision the 67
decision to 134 decision the 48
decision to 211 decision be 130
decision the 52 decision in 43
decision to 41 decision an 40
decision the 62 decision on 66
decision on 348 decision so 53
decision the 65 decision the 83
decision the 94 decision the 133
decision it 67 decision the 461
decision to 64 decision the 358
decision by 45 decision to 1503
decision of 1679 decision he 74
decision in 114 decision it 107
decision no 74 decision the 1127
decision we 85 decision the 225
decision do 47 declare the 98
declare the 61 declare the 89
declare to 72 declare to 163
declare the 140 declare is 63
declare of 82 declare the 104
declare no 66 declare be 42
declare do 41 declare be 43
declaring it 49 declaring be 48
declaring the 90 declaring in 71
declaring go 54 declaring be 42
declaring go 55 declaring be 46
decline the 81 decline the 83
decline the 149 decline be 56
decline to 55 declining the 45
declining the 55 declining the 52
decrease the 54 decreed in 48
decreed of 48 deducting the 70
defaced of 257 default the 46
defeated the 67 defeated of 63
defeated the 216 defeated the 43
defeated in 80 defeated of 145
defeated the 51 defeated the 89
defeated the 46 defects the 53
defects in 51 defects to 43
defects to 48 defects to 129
