data to guide decisions about 89
date on which coverage ceases 139
days in which monarchs value 46
days of rapid economic growth 59
days on which business could 47
days the field exhibits smooth 59
days the prime minister would 74
debt at fixed interest rates 57
debt at lower interest rates 259
dies of hunger wrestles alone 40
diet of easily digested foods 65
dint of whose repulsion alone 145
done by indian scholars based 211
done or right acquired while 158
done so after laborious thinking 97
door by which burgoyne could 70
down an empty elevator shaft 104
down in world economic growth 56
down of world economic growth 50
down on paper whatever comes 58
down the clyde fourteen miles 40
down the saint lawrence river 374
down the social barriers which 133
down the steep concrete steps 50
down the steep hillside until 44
down the steep mountain sides 618
down the steep mountain slope 280
down the steep mountain trail 178
down the winding mountain roads 45
drew the black curtains round 40
drew the chief practice after 43
drop in blood pressure after 749
drop in blood pressure could 75
drop in blood pressure might 105
drop in blood pressure which 310
drop in blood pressure while 68
drop in blood pressure within 72
drop in blood pressure would 69
drop of blood contains about 113
drop of drink accursed makes 58
drop of water contains about 54
drum on which hardened steel 134
during my first mournful abode 98
during or after business hours 55
during the above mentioned period 1429
during the acute coronary period 44
during the acute recovery period 112
during the acute recovery phase 125
during the acute treatment phase 233
during the brief interval which 91
during the brief interval while 66
during the ensuing eighteen months 151
during the final eighteen months 99
during the first accounting period 107
during the first baseline period 73
during the first complete period 46
during the first contract period 63
during the first critical hours 124
during the first critical months 190
during the first critical period 133
during the first critical weeks 185
during the first decennial period 52
during the first eighteen hours 76
during the first eighteen months 4498
during the first fourteen months 438
during the first fourteen weeks 70
during the first interest period 61
during the first lactation period 75
during the first nineteen months 127
during the first prenatal visit 239
during the first semester after 77
during the first treatment cycle 113
during the first treatment period 150
during the first treatment phase 79
during the later medieval period 713
during the later tokugawa period 76
during the later victorian period 92
during the mixed dentition period 574
during the mixed dentition phase 89
during the mixed dentition stage 200
during the needs analysis phase 50
during the period commencing after 46
during the period concerning which 123
during the period directly after 70
during the period mentioned above 1042
during the rapid economic growth 304
during the short daylight hours 86
during the short interval after 44
during the short interval since 76
during the short interval which 539
during the short interval while 60
during the solar activity cycle 98
during the state socialist period 203
during the storm recovery phase 90
during the tough economic times 43
during the usual business hours 917
during the whole eighteen months 48
during the whole gestation period 63
during the whole historic period 160
during the whole interwar period 132
during the whole lactation period 78
during the whole medieval period 207
during the whole succeeding night 126
during the whole treatment period 95
during the world economic forum 253
during the worst recession since 85
duty of every american woman 41
duty of every employee while 112
duty of every patriotic indian 140
