dainties to them their health 66
dangerous as any other form 62
dangerous as any other kind 156
dangerous as one from good 49
dangerous as they have been 220
dangerous at that time from 87
dangerous if you know what 63
dangerous it may have been 53
dangerous to lay down their 51
darkness as may best suit 46
darkness in his soul will 54
darkness of her living room 80
darkness of his living room 90
darkness of that early hour 79
darkness of this great room 65
darkness of this wild arab 92
darkness the new seed must 62
darkness to get away from 40
daughter by his last wife 47
daughter by his third wife 218
daughter in new york city 328
daughter is doing very well 52
daughter is not very well 49
daughter of his late wife 61
daughter of his third wife 86
daughter of our race leads 46
daughter of sir hugh bell 46
daughter of sir john call 47
daughter of sir john cope 46
daughter of sir john gage 64
daughter of sir john shaw 55
daughter of sir john smith 74
daughter of sir john webb 140
daughter to her care when 86
daughter to new york city 74
dazzlingly as they went away 53
debarred as they were from 52
decamped in that same hour 48
decedent at any time during 369
decedent by any means other 79
decedent in his life time 44
deceived if they think there 211
deceived me all these years 151
deception or any other means 113
decisions as they were made 107
decisions at that time were 56
decisions at this time were 51
decisions do not come from 51
decisions do not take into 93
decisions he had ever made 106
decisions he had made were 46
decisions he may have made 52
decisions in all these areas 65
decisions in new york city 71
decisions in new york have 53
decisions in this case were 66
decisions it has been held 236
decisions it has been said 49
decisions of his life were 72
decisions of that body were 59
decisions of this body were 57
decisions of this kind have 124
decisions of this kind must 86
decisions of this kind were 167
decisions of this kind will 78
decisions of this sort must 55
decisions of this sort were 84
decisions of this sort will 45
decisions of this type have 48
decisions of this type were 50
decisions of this type will 48
decisions on who gets what 105
decisions so far have been 41
declared by any trying vote 126
declared by him free from 49
declared he had been sent 77
declared he had done nothing 56
declared he had heard nothing 58
declared he had seen nothing 109
declared he was much more 54
declared he was very well 69
declared in his last will 165
declared it was high time 121
declared it was just like 79
declared to them your name 124
declined in his last years 51
declined in new york city 120
declined to lay down their 56
declined to let these early 42
declined to put into their 47
declines by this means from 54
decreased as his years wore 48
decreased in ten years from 69
decreased the death rate from 76
decreases as you move away 229
decreases as you move down 206
decreases as you move from 265
decreases in both heart rate 40
decreases in lean body mass 373
deduction in that rule from 42
deduction of any pain from 67
deduction of any sums paid 80
deduction of one third from 51
deduction of one truth from 287
deduction we can make from 67
deduction we may make from 49
defended by any other means 41
defended it for some time 96
defended it for three days 41
defended it with much more 49
defenses of new york city 175
deferred to her very much 40
deferred to our coming next 55
deficits in all three areas 45
