dance joy 46 dancing joy 60
danger off 69 dated had 43
dated was 132 dated was 100
dates say 58 dealings him 67
dealings them 65 debts pay 258
defeat has 81 dense see 59
deter has 84 digging for 40
digging for 42 digging him 54
digging his 56 doubt not 46
doubt has 57 doubt you 529
doubt see 73 doubt that 202
dower and 311 draft that 41
drank ate 44 drank beat 41
drank did 83 drank got 92
drank had 135 drank then 42
drank was 203 drawing say 61
drawn her 47 dreams hear 148
dreams now 65 dress not 47
drink him 75 drink get 124
drink then 53 drink his 51
drink him 47 drive and 40
drive did 44 drive get 56
drive had 118 drive has 41
drive how 92 drive she 43
drive that 122 drive then 43
drive was 74 drive you 55
drive not 48 drive not 84
drive fear 55 drive has 89
drive was 100 drive one 170
drive can 71 drive with 159
drive and 51 drive for 50
drive off 163 driving and 46
driving being 69 driving not 63
driving then 43 driving you 114
driving not 83 driving not 74
driving had 126 driving has 95
driving was 198 driving his 52
driving one 251 driving out 92
driving two 53 driving and 108
driving with 58 drove and 45
drove had 46 drove was 119
drove and 41 drown had 214
dwelt had 80 dwelt was 56
