dame with whom he supposed 43
damn with such an emphasis 312
damp and lack of sunshine 54
dare not deny the original 50
dare set foot in paradise 52
daring may well be required 80
dark and find the uncreated 146
dark hath been the midnight 205
dart not from thy borrowed 60
dash him from the bulwarks 85
dash off into the darkness 131
data and from the analysis 43
data and made it possible 51
data and make it possible 47
data and used to estimate 75
data are also of interest 248
data are from the american 196
data are from the economic 261
data are from the ministry 83
data are open to multiple 42
data are used as evidence 72
data are used in developing 43
data are used in estimating 85
data are used to allocate 47
data are used to classify 86
data are used to describe 435
data are used to document 74
data are used to estimate 2250
data are used to evaluate 685
data are used to forecast 91
data are used to generate 514
data are used to identify 699
data are used to indicate 111
data are used to quantify 64
data are used to simulate 55
data are used to validate 113
data being sent or received 88
data can also be accessed 120
data can also be acquired 54
data can also be analyzed 317
data can also be combined 114
data can also be compared 185
data can also be directly 41
data can also be employed 60
data can also be examined 65
data can also be exported 91
data can also be imported 54
data can also be included 98
data can also be obtained 878
data can also be provided 50
data can also be recorded 166
data can also be utilized 96
data can best be obtained 87
data can help to identify 80
data can only be accessed 335
data can only be achieved 69
data can only be acquired 74
data can only be analyzed 45
data can only be compared 101
data can only be obtained 906
data can only be regarded 107
data fed into the computer 348
data for such an analysis 462
data for such an estimate 79
data for such an exercise 46
data for tens of thousands 41
data going into the computer 106
data has made it possible 289
data may also be affected 62
data may also be analyzed 109
data may also be compared 67
data may also be included 129
data may also be obtained 371
data may also be provided 58
data may also be recorded 90
data may also be required 130
data may make it possible 100
data put into the computer 108
data read from the database 86
data read into the computer 86
data set from the original 46
data set used to estimate 195
data set used to evaluate 55
data set used to generate 116
data that have the potential 49
data that made it possible 111
data that make it possible 316
data that must be accepted 41
data that must be accessed 165
data that must be acquired 64
data that must be analyzed 254
data that must be captured 73
data that must be examined 73
data that must be exchanged 95
data that must be included 150
data that must be obtained 185
data that must be provided 104
data that must be recorded 178
data that must be reported 69
data that must be retained 102
data that must be reviewed 42
data that must be supplied 133
data that seem to indicate 87
data that will be accepted 73
data that will be accessed 147
data that will be acquired 46
data that will be affected 53
data that will be analyzed 185
data that will be compared 41
data that will be examined 76
data that will be included 258
data that will be inserted 134
data that will be obtained 182
data that will be produced 107
data that will be provided 85
data that will be received 46
data that will be recorded 61
data that will be relevant 58
data that will be reported 78
data that will be required 462
data that will be returned 179
data that will be reviewed 43
data that will be valuable 52
data they need to evaluate 41
data thus seem to indicate 49
data was used to estimate 320
data was used to evaluate 145
data was used to generate 194
data was used to identify 191
data you need to complete 78
data you want to retrieve 367
data you want to transfer 94
data you will be collecting 63
date and hour of delivery 82
date and hour of issuance 532
date and length of sentence 131
date and must be replaced 91
date and rate of interest 94
date and sign the document 49
date and sign the enclosed 73
date and time it happened 67
date and time it occurred 141
date and time of accident 173
date and time of admission 369
date and time of delivery 527
date and time of dispatch 44
date and time of execution 265
date and time of exposure 131
date and time of incident 116
date and time of insertion 344
date and time of issuance 44
date and time of operator 60
