daughters of 70 daughters of 56
decidedly of 65 decidedly of 236
decidedly in 53 decidedly of 1248
decidedly in 47 decidedly in 51
decidedly of 50 decidedly of 47
decidedly the 124 decidedly of 186
decidedly thing 63 decidedly in 51
decidedly of 1201 decidedly in 48
declaimed so 64 declaimed as 40
declaimed of 118 decoration of 567
decoration on 289 dedicated in 69
dedication of 40 deductive the 99
defendant to 47 defendant the 68
defendant the 192 defendant the 104
defendant it 57 defendant on 59
defendant the 690 defendant the 93
defendant be 679 defensive the 65
defensive of 74 defensive of 41
definition of 76 definition the 47
definition the 45 definition it 189
definition be 49 definition is 41
definition of 50 definition of 45
definition the 45 definition in 48
definition of 493 deflected in 41
deformity of 61 delegates the 73
delegates of 46 delegates of 40
delineation is 81 delivered an 54
delivered he 61 delivered the 47
delivered of 290 delivered it 565
delivered me 572 delivered us 193
delivered he 43 delivered so 88
delivered of 230 delivered of 297
democracy of 73 democracy of 101
democracy the 60 democracy of 245
democracy of 45 democracy of 101
densities of 241 departure to 42
departure of 130 departure of 105
dependent of 129 dependent the 59
dependent of 92 dependent the 74
dependent the 103 dependent of 252
dependent to 271 dependent of 101
dependent the 239 dependent the 94
dependent of 109 dependent to 61
dependent it 85 dependent the 80
dependent the 44 dependent or 41
dependent of 59 dependent it 61
dependent the 98 dependent or 162
dependent if 65 dependent in 49
deposited in 41 deposited the 78
deposited of 173 deposition of 111
depressed no 109 depressed to 42
depressed of 207 depressed of 85
depression the 363 depression of 62
depression of 61 depression the 67
depression to 84 depression of 588
depression of 260 depression of 120
depression of 175 depression of 256
depression of 154 derivation in 188
derivation of 443 descended the 71
described of 76 described the 51
described of 219 described in 198
described of 98 described an 51
described as 102 described at 71
described in 737 described of 88
described on 41 described the 55
described of 639 described of 173
described as 192 described of 74
described of 65 described of 46
described of 52 described of 63
described of 764 describes in 70
describes of 87 describes at 87
describes in 583 describes of 89
describes the 56 describes of 422
describes of 76 describes of 242
describes of 45 deserters in 115
desirable be 253 desirable the 72
desirable be 84 desirable as 98
desirable the 207 desirable in 40
desolation the 51 desperate the 56
desperate the 207 desperate to 254
desperate the 69 desperate the 237
desperate at 62 desperate in 99
desperate it 42 desperate the 500
desperate to 129 desperate on 316
desperate the 50 desperate an 117
desperate the 82 desperate the 45
desperate the 45 desperate to 143
desperate the 48 desperate the 288
desperate the 49 desperate to 68
desperate at 69 desperate in 44
desperate it 40 desperate on 125
desperate the 252 desperate to 100
desperate up 113 desperate the 76
desperate to 71 despotism of 85
destroyed of 45 destroyed of 396
determine of 53 determining is 83
deterrent of 220 devastating on 164
devastating on 110 devastating the 186
developed of 62 developed the 101
developed the 404 developed my 89
developed the 152 developed of 149
developed of 61 developed of 42
developed as 107 developed in 84
developed of 567 developed the 129
developed is 52 developed of 59
developed of 80 developed of 81
developed of 71 developed of 71
developed of 111 developed of 109
developed in 42 developed of 85
developed of 5003 developed of 56
diagnostic of 46 diagnostic of 65
diagnostic of 40 dichotomy the 48
dichotomy of 41 dichotomy of 64
dichotomy is 358 dichotomy of 211
different or 76 different the 41
different is 43 different the 136
different of 65 different or 182
different or 48 different of 73
