damp her 46 dare you 46
daring him 82 dark bed 40
dark bed 72 dark was 44
dark had 64 dark yet 64
dark her 42 data this 42
data both 52 data this 57
data two 293 data two 831
data all 63 data two 142
data this 42 data with 77
data old 62 data for 45
data and 316 data are 58
data are 79 data and 239
data are 87 data two 168
data for 102 date set 46
date you 41 days than 42
days two 107 days and 71
days than 47 days two 81
dealing than 152 dealing and 67
dealing than 303 deals than 351
dealt than 172 dears she 209
debt them 69 debt two 62
debt off 233 debt six 54
debt than 58 deck her 40
deck two 41 deep had 47
deep for 66 deep long 42
deep for 91 deep for 164
deep for 61 deep that 83
deep for 297 deny and 226
deny them 43 deny any 58
deny all 65 deny and 102
depth and 80 desk his 126
desk his 44 desk his 51
desk his 52 desk with 119
diary that 53 died ago 365
died was 44 died ago 125
died ago 142 died ago 765
died ago 1587 dies who 41
diet and 99 dirt them 50
dish and 532 doll with 60
doll and 42 done and 59
done and 50 done ago 214
done ago 370 done ago 630
done and 384 done for 58
done and 48 door bed 82
door his 233 door bed 47
door her 56 door his 61
door and 58 door his 41
door her 50 door his 41
door for 144 door out 168
door with 41 door her 244
door his 239 door she 50
door all 169 door she 40
door and 42 door and 93
door way 50 door and 111
door and 44 door and 119
door with 289 door and 50
door and 546 door with 87
door and 45 door and 45
door his 63 dose two 68
dost men 43 dots but 47
dove him 188 dove him 51
down men 60 down low 240
down with 40 down with 130
down who 89 down they 41
down you 98 down her 88
down out 61 down seas 58
down his 60 down was 40
down and 183 down off 41
down him 55 down own 177
down for 111 down for 327
down that 278 down for 150
down they 114 down and 304
down and 154 down her 206
down her 189 down her 817
down her 48 down and 53
down her 176 down and 61
down them 165 down you 49
down his 102 down his 771
down for 91 down and 48
down them 91 down for 95
down and 90 down ago 123
down ago 229 down its 135
down and 253 down his 53
drab and 70 drag her 53
drag war 64 draw them 48
draw this 58 draw his 63
draw all 47 draw any 66
draw this 95 dream them 83
drew and 68 drew her 106
drew his 61 drew his 90
drew his 57 drew him 97
drew his 296 drew his 91
drew his 62 drew his 61
drew his 141 drew his 59
drew all 162 drew all 56
drew this 304 drew this 40
drew his 133 drug for 70
drying wet 43 drying are 67
duke him 47 duke than 40
duke not 194 duke had 48
duly them 167 during her 76
during him 64 during and 50
during and 177 during she 56
during that 103 during and 111
during she 129 during was 45
during with 71 during all 68
during and 1236 during for 77
during one 137 during with 71
during with 87 during one 68
during and 45 during and 69
during her 183 during his 895
during new 82 during that 93
during them 81 during this 75
during one 210 during had 77
during was 50 during and 357
during had 43 during that 184
during was 88 during had 49
during that 44 during and 359
during that 239 during was 67
during and 56 during was 69
during was 61 during was 134
during and 68 during and 319
during them 172 during this 92
during that 115 during earth 116
during and 568 during had 64
during that 176 during was 108
during with 79 during and 192
during that 45 during was 61
during and 115 during and 44
during its 58 during one 145
during and 76 during and 55
during and 57 during and 43
during has 47 during had 44
during has 125 during was 51
during bob 52 during and 54
during has 52 during they 57
dusk she 41 dust they 59
dust ago 172 duty and 55
duty per 53 duty him 194
duty them 49 duty all 64
duty him 226 duty them 332
