damn think 313 damp over 60
dams along 140 dare their 75
dark full 54 dark upon 448
dark into 59 data these 46
data into 47 data have 41
data were 111 data will 45
data from 51 data upon 53
data from 749 data into 52
data into 61 data from 2900
data into 191 data over 51
data from 68 data from 48
data from 213 data from 100
data three 44 date upon 50
dating years 56 dating years 59
dating years 61 days when 45
days till 74 days from 92
days your 99 days born 55
days many 60 days some 73
days when 111 days into 67
days over 64 days made 45
days ones 111 days were 60
days were 70 days keep 65
days came 54 days were 50
days were 41 debt from 58
deep seen 45 died month 44
died birth 64 died from 92
died their 54 died from 67
died birth 76 died giving 55
died from 162 died their 84
died from 79 died other 59
died from 41 died from 50
died having 59 died from 42
died from 66 died years 41
died birth 201 died giving 51
died their 54 died from 231
died their 170 died from 128
died leaving 50 died when 50
died birth 169 died their 97
died years 52 died were 49
dining open 137 done dream 258
done into 90 done when 49
done work 60 done years 112
done have 43 door wide 53
door open 44 down upon 2790
down like 91 down upon 44
down seats 56 down seats 153
down jaws 94 down also 636
down areas 55 down areas 66
down areas 79 down acid 118
down areas 54 down areas 95
down areas 157 down like 40
down have 47 down among 57
down their 361 down their 118
down mile 41 down rock 44
down have 54 down gave 45
down what 136 drag along 128
drag along 115 draw from 48
draw more 43 draw into 273
draw from 45 drew from 76
drop hand 86 drop from 59
drop into 113 drug gangs 184
during among 98 during home 46
during years 188 during years 55
during years 164 during when 43
during years 171 during years 325
during years 127 during years 204
during years 141 during years 282
during years 184 during years 89
during years 77 during years 126
during years 101 during from 55
during have 52 during from 96
during have 41 during were 71
during have 235 during when 52
during were 65 during have 40
during when 87 during when 63
during when 61 during when 166
during when 60 during have 49
during have 48 during were 46
during have 171 dust very 42
