dare trouble 62 dark society 48
darn stockings 58 date advance 68
date following 145 date following 57
days average 57 days harvest 60
days picture 134 days addition 92
days chicago 66 days exchange 59
days harvest 71 days average 216
days improve 44 days prepare 43
days produce 69 days provide 222
days receive 66 days support 152
days sojourn 65 dealt british 45
deep national 40 deep general 58
deny decency 61 deny himself 106
depth surface 53 depth surface 328
depth surface 189 diary following 570
died hamburg 55 doings narrate 50
done dreadful 564 done history 53
done foolish 89 done laundry 97
done belgium 72 down lightning 243
down conduct 668 down bullets 129
down mirrors 126 down conduct 146
down figures 117 down glorious 89
down greatest 148 down railway 131
down choices 121 down everything 345
down figures 91 down numbers 193
down several 338 down herself 55
down himself 79 down pistols 50
down conduct 94 down restoring 512
down flowers 92 down nowhere 108
down conduct 359 down decision 56
down general 175 down himself 120
down tequila 47 down whiskey 218
down decency 73 down censure 162
down question 61 down receive 45
down squeeze 62 draw charges 90
draw exchange 2477 draw squares 135
draw advance 58 draw cleavage 78
draw conduct 53 draw defense 57
draw division 364 draw connect 390
draw oblivion 72 draw privacy 44
draw secrecy 113 draw silence 198
drew exchange 1011 drew delight 61
drew division 41 drew drapery 92
drew pistols 96 drew tobacco 59
drew tobacco 105 drew secrecy 45
drew silence 79 drew sixteen 106
drop present 69 drop inquiry 60
drop mittens 59 drop bristol 76
during illness 115 during insomnia 60
during allergy 128 during cricket 58
during croquet 54 during marbles 51
during absence 975 during seventy 121
during coolant 187 during passage 160
during passage 160 during several 101
during america 43 during germany 90
during several 453 during fifteen 64
during service 92 during history 134
during anxiety 75 during decline 55
during declining 198 during decreasing 42
during deepening 50 during despair 43
during drought 934 during expanding 74
during extreme 551 during foreign 58
during general 595 during illness 525
during immense 86 during increasing 649
during intense 995 during limited 202
during massive 123 during maximum 75
during national 1537 during overall 40
during perhaps 69 during radical 105
during rampant 53 during rapidly 258
during reduced 165 during renewed 81
during revival 69 during silence 47
during suffering 332 during surplus 53
during tragedy 66 during trouble 319
during turmoil 290 during unusual 140
during upheaval 205 during violence 58
during warfare 61 during weakness 63
during worship 73 during germany 53
during america 83 during britain 42
during european 48 during germany 88
during southern 50 during america 157
during chicago 83 during florida 93
during germany 245 during holland 70
during ireland 89 during morocco 90
during vietnam 59 during virginia 47
during several 42 during strikes 82
during january 62 during october 80
during intense 57 duty perform 331
