dam at one fell swoop 718
day as she went about 138
day as that upon which 93
day as they have never 89
day as they went about 78
day as they were about 168
day as they were driving 107
day as they were fifty 200
day as they were hunting 42
day as they were passing 154
day as they were playing 87
day as they were seated 66
day as they were sitting 223
day as they were sixty 89
day as they were talking 254
day as they were thirty 103
day as they were walking 1162
day as they were working 108
day at any time after 42
day by any other token 213
day by day back again 68
day by day ever since 96
day by day from every 320
day by day grew weaker 65
day by day their daily 83
day by day their power 44
day by day your daily 81
day do not know where 117
day do you think about 87
day he and four others 42
day he got there about 44
day he had been asked 122
day he had been dreading 51
day he had been found 66
day he had been given 177
day he had been looking 209
day he had been playing 44
day he had been running 114
day he had been saved 40
day he had been sitting 217
day he had been taken 172
day he had been talking 210
day he had been thinking 358
day he had been waiting 405
day he had been walking 66
day he had been working 195
day he had ever known 385
day he had ever spent 272
day he had gone about 79
day he had just spent 70
day he has been breathing 41
day he was back again 338
day he was best known 57
day he was born until 177
day he was having lunch 54
day he was left alone 193
day he was lord mayor 44
day he was much worse 197
day he was once again 132
day he was seen again 64
day he was seen alive 41
day he was seen running 42
day he was seen walking 92
day he was there again 141
day he was very tired 116
day if she were plain 90
day if they were lucky 59
day in all their lives 94
day in going from house 101
day in her life until 66
day in his early teens 46
day in his life since 44
day in his life until 141
day in his life which 52
day in his life would 54
day in his room writing 98
day in new south wales 279
day in new york alone 41
day in new york state 183
day in new york would 40
day in our young lords 142
day is cut into short 65
day is long past since 64
day is that their trade 50
day is then just breaking 91
day is too well known 160
day it had been blowing 52
day it had been built 88
day it had been given 66
day it had been raining 374
day it had been taken 63
day it has been blowing 136
day it has been found 296
day it has been known 153
day it has been raining 136
day it has been shown 100
day it has been taken 40
day it was even worse 145
day it was just awful 67
day it was made known 301
day it was much easier 107
day it was only known 89
day it was very slack 68
day it was well known 93
day of all days either 143
day of any month after 87
day of any month shall 53
day of any other period 61
day of any such period 150
day of any vote taken 114
day of each month after 211
day of each month every 163
day of each month shall 156
day of each month since 45
day of each month until 373
day of each month which 66
day of god will reveal 47
day of her birth until 75
day of her last period 99
day of her last visit 41
day of her life after 51
day of her life since 204
day of her life until 121
day of her life would 200
day of her next period 47
day of her weary lingering 61
day of his birth shall 49
day of his birth until 319
day of his coming again 40
day of his last visit 127
day of his life after 114
day of his life every 51
day of his life might 71
day of his life since 414
day of his life until 224
day of his life which 81
day of his life while 55
day of his life would 287
day of his need shall 59
day of his wrath shall 41
day of how young people 66
day of its birth until 69
day of may next after 487
day of may next ensuing 821
day of may next shall 50
day of now next ensuing 151
day of our birth until 52
day of our last meeting 73
day of our last visit 43
day of our life comes 61
day of our life until 40
day of our lord jesus 3121
day of our next meeting 56
day of that month which 103
day of then next ensuing 52
day on and from which 62
day on this road about 143
day or any other period 88
day or any part thereof 330
day or two days after 222
day or two days later 328
day or two during which 176
day or two more spent 76
day or two more would 84
day or two only after 63
day or two some broad 76
day or two soon after 51
day or two there would 222
day or two went round 290
day or two were spent 119
day so that there would 187
day the man came again 58
day the man went hunting 46
day the men were taken 48
day the new york daily 68
day the new york stock 298
day the new york times 3825
day the new york world 283
day the old lady asked 52
day the sun sank lower 63
day the sun will shine 318
day the two were walking 48
day the two young people 62
day to day even though 68
day to day ever since 126
day to day kept alive 98
day to day life which 56
day to day more fully 44
day to day till april 41
day to day what might 73
day to day what would 82
day to earn their daily 43
day to get some fresh 91
day to one month after 40
day to one week after 45
day to put some ferns 75
day to see some people 92
day to see what could 147
day to see what would 102
day to see your father 41
day to this have never 103
day to two great lords 40
day to win back money 57
day we are born again 41
day we are born until 194
day we are well aware 190
day we can talk about 53
day we had been talking 40
day we had been waiting 129
day we had been working 43
day we had very fresh 40
day we may meet again 396
day we saw many geese 54
day we set sail again 94
dead do not care about 51
dead do not know anything 134
dead do not live again 71
dead do not rise again 170
dead in bed next morning 97
dead in his room under 71
dead is all their human 109
dead of our lord jesus 78
dead of that very night 104
dead on air will stand 80
dead or die soon after 143
dead or dying soon after 51
dead or had been taken 73
dead to all those months 95
dead to his last resting 51
deaf to all other terms 67
deaf to all their cries 40
deaf us with lewd noise 48
deal at this time about 63
deal in this book about 157
deal in this book which 109
deal is being said about 245
deal is not done until 66
deal of each other after 49
