daughters the 44 daughters be 101
daylights me 63 debatable the 53
debatable an 41 debatable the 105
decidedly is 40 decidedly the 124
decidedly the 150 decidedly the 132
decidedly the 104 decidedly the 64
decidedly thing 42 deductions the 44
defendant is 73 defendant is 54
defendant the 89 defendant is 82
defendant the 51 defendant is 89
defendant or 128 defendant is 96
defendant is 117 defendant is 54
defendant the 86 defendant the 211
defendant the 95 defendant the 431
defendant is 60 defendant or 49
defendant be 47 deference so 121
deference so 68 definition the 46
definition is 49 definition so 51
definition the 58 definition is 113
definition be 227 definition the 43
delegated be 252 delegates be 100
delegates the 933 delegation be 76
delegation the 936 delivered the 41
delivered the 84 delivered the 86
delivered the 47 delivered the 173
delivered the 42 delivered the 64
delivered be 52 delivered the 48
delusional is 90 democracy the 82
democracy be 104 democracy be 222
departure be 115 dependent or 66
deposited is 47 depression be 135
described the 187 described the 153
described is 40 described is 143
described the 75 described the 50
described be 103 desirable king 70
desirable be 74 desirable be 46
desperate be 55 desperate be 79
despotism to 43 destroyed the 696
destroyed is 92 detective the 48
detective be 53 determine to 66
determine the 1127 determine so 92
determine it 76 determine the 5949
determine be 40 determine the 1399
determine an 62 determine in 68
determine or 43 determine to 51
determine the 1003 determine the 303
determine an 42 determine in 55
determine to 49 determine he 177
determine in 59 determine so 83
determine the 196 determine in 115
determine or 188 determine the 66
determine the 138 determine an 775
determine in 194 determine of 44
determine so 1544 determine the 2553
determine to 95 determine the 280
determine or 64 determine the 50
determining the 72 determining the 42
determining the 208 determining be 46
determining no 99 determining the 232
determining so 121 determining the 859
determining the 202 determining an 151
determining the 162 determining the 46
determining to 46 determining or 45
determining an 66 determining so 169
determining the 229 devastating the 40
developed the 49 developed the 68
developed the 83 developed the 85
developed the 67 developed the 105
developed the 252 developed to 107
developed the 52 developed the 49
developed the 453 developed the 64
developed the 59 developed the 119
developed the 73 developed the 115
developed the 106 developed the 146
developed so 42 developed the 179
developed the 91 developed the 248
developed the 108 developed the 59
developed the 257 developed be 104
developed the 43 diabolical be 78
diagnostic be 63 diagonally the 59
diagonally the 55 diagonally the 99
diagonally the 183 dictionary is 87
different be 52 different be 49
different the 48 different is 62
different the 169 different the 42
different be 127 different the 123
different be 44 different the 42
different to 118 different be 162
different is 87 different the 112
different the 47 different the 75
different the 41 different the 44
different the 180 different the 83
different the 56 different the 54
different be 188 different the 46
different be 46 different is 47
different the 71 different the 51
different the 55 different so 40
different the 172 different is 121
different the 117 different the 43
different be 101 different the 56
different be 64 different is 42
different the 46 different the 65
different the 668 different the 105
different is 110 different do 63
different is 75 different the 62
different be 43 different is 42
different be 140 different be 181
different the 84 different be 53
different the 52 different the 60
different the 205 different the 61
different the 56 different the 42
different the 46 different be 45
different the 166 different is 46
different the 68 different be 57
different me 63 different is 51
different the 57 different the 72
different the 169 different is 104
different the 46 different be 132
different the 65 different be 45
different is 86 different the 46
different be 49 different the 300
different is 66 different the 180
different the 82 different the 52
different be 83 different the 61
different the 85 different the 65
different the 45 different is 135
different be 43 different be 51
different the 45 different the 69
different the 60 different be 60
different the 84 different the 308
different is 43 different the 163
different the 47 different be 131
different is 76 different be 50
different be 45 different of 94
different the 44 different in 55
different be 103 different the 87
different the 48 difficult be 82
difficult be 159 difficult to 498
difficult to 277 difficult to 185
difficult to 184 difficult be 58
difficult to 73 difficult to 63
difficult to 150 difficult the 84
difficult is 57 difficult to 45
difficult to 626 difficult to 429
difficult the 105 difficult the 78
difficult is 96 difficult to 44
difficult be 48 digestive the 50
digestive the 58 digestive the 44
digestive the 220 digestive the 82
digestive the 113 digestive the 109
digestive the 87 digestive the 50
digestive the 58 diligence the 166
dimensions the 89 dimensions the 79
dimensions be 83 diplomacy be 72
directions the 50 directions the 113
directions be 87 directors it 45
directors be 57 disappearing the 90
disappearing the 81 disappears the 47
discharge the 41 discharge the 119
disciples the 69 discourse be 96
discourse be 69 discovering the 81
discovery the 519 discovery the 65
discovery be 381 discretion the 45
discussed to 98 discussed the 174
discussed is 91 discussed the 92
discussed be 48 discussed is 41
discussed be 53 discussed the 41
discussion the 68 discussion to 68
discussion the 85 discussion on 164
discussion the 62 discussion by 42
discussion an 40 discussion the 156
discussion to 73 discussion the 41
discussion be 257 disguised to 44
dismissal be 42 dispersion the 46
displaced the 41 displaced the 431
displayed the 50 displayed the 53
displayed the 53 displayed the 107
dissolved the 47 dissolved the 54
distances the 43 distances the 79
distances be 58 distinguish the 55
distortion the 61 districts so 64
districts be 44 disunited the 170
diversity the 44 doctrines of 77
doctrines the 59 documents the 693
documents the 403 documents be 249
dominated the 92 dominates is 104
dominates the 43 dormitory the 60
doubloons my 56 doubtless the 131
doubtless the 53 doubtless the 136
doubtless the 41 doubtless the 787
doubtless the 167 doubtless the 110
driftwood the 45 duplicate be 79
duplicate be 48 dynamical the 43
