dais of his own hall 81
dame so gay and fair 53
damn thing did not work 58
damn thing does not work 174
damn thing you can think 70
dare go off and leave 59
dare or did not wish 49
dare to ask any more 168
dare to ask for help 195
dare to ask for more 450
dare to ask for such 69
dare to ask for what 89
dare to ask for your 107
dare to ask her what 119
dare to ask him what 281
dare to bring them into 58
dare to buy any hair 111
dare to die and leave 69
dare to die for such 46
dare to die for their 144
dare to lay him down 90
dare to lay his hand 289
dare to let her know 80
dare to let her take 43
dare to let him know 89
dare to let them come 93
dare to put his foot 117
dare to put his hand 107
dare to put his name 110
dare to put them into 73
dare to say and swear 41
dare to say any more 198
dare to say his soul 58
dare to say how many 318
dare to say how much 218
dare to say one word 252
dare to say out loud 145
dare to say she will 130
dare to say that even 358
dare to say that many 49
dare to say that most 41
dare to say that nothing 65
dare to say that only 43
dare to say that some 83
dare to say that such 867
dare to say that their 274
dare to say that there 1684
dare to say that these 575
dare to say that those 232
dare to say that truth 110
dare to say that what 165
dare to say that when 86
dare to say that your 77
dare to say they have 127
dare to say they were 61
dare to say they will 87
dare to say things like 95
dare to say this also 113
dare to say too much 151
dare to say you have 76
dare to say you love 67
dare to say you think 50
dare to say you were 65
dare to say you will 81
dare to set his foot 503
dare to sue for peace 42
dare to use any other 122
dare to use that word 108
dare to use this word 85
dare we say that hell 45
daring thing she had ever 41
daring thing that has been 53
daring to ask any more 134
daring to ask for more 153
daring to ask her what 148
daring to lay out their 60
daring to let her know 48
daring to let them live 297
daring to put them into 114
daring to say any more 88
daring to say one word 102
daring to say too much 50
daring to say with their 77
daring to try and give 51
daring to try and make 55
dark as any that ever 136
dark as she was fair 134
dark as they had been 163
dark by now and there 41
dark he did not know 66
dark he lit his lamp 55
dark in him she must 115
dark of eye and hair 67
dark or with his eyes 97
dark the sun and moon 163
dark to see any more 468
dark to see any other 66
dark to see each other 93
dark to see her eyes 81
dark to see her face 570
dark to see his eyes 74
dark to see his face 2424
dark to see how many 40
dark to see how well 42
dark we did not know 55
dark we had got into 48
dart in and out among 828
dart in and out from 62
dart in and out like 116
dart on ice and snow 46
dart to and fro among 116
dart to and fro like 159
dash in and run down 40
data as they are used 45
data as they can find 46
data at any one time 401
data at low and high 109
data by sex and race 52
data do not fit into 162
data do not fit well 91
data do not yet show 47
data in its raw form 177
data in near real time 236
data in this and other 159
data in this area have 128
data in this area were 67
data in this area will 60
data in this way will 94
data in two and three 44
data is being read from 411
data is being read into 60
data is not being sent 66
data is not being used 107
data is not too great 41
data is now being used 48
data is that not only 93
data is that they give 58
data is that they have 111
data is that they show 125
data is that they tend 47
data is that they were 131
data is then fed into 160
data is then read from 50
data is then read into 62
data it does not seem 96
data it has not been 126
data of this and other 103
data on heat and mass 161
data on its way from 54
data on its web site 56
data on this and other 286
data so far has been 62
data so that they make 43
data so that they will 265
data so that you have 83
data so that you know 62
data so that you will 87
data so they can make 59
data so you can make 63
data the way you want 167
data to and read data 164
data to bear out such 59
data to bring them into 74
data to mean that there 59
data to see how many 84
data to see how much 185
data to see how well 509
data to use and what 45
data we are not able 82
data we can not know 101
data we can not make 52
data we can not tell 60
data we see that there 71
data we use are from 98
date he and his wife 149
date he did not know 42
date he had not been 281
date he has not been 399
date in his own hand 102
date in this area have 59
date is far too early 59
date is far too late 45
date is not far from 109
date is one year from 95
date is set for june 45
date is set for trial 89
date is set for your 40
date is that old true 47
date is that they have 168
date it does not seem 194
date it had not been 199
date it has not been 4825
date it has not done 152
date it was put into 85
date no one has been 926
date no one has come 128
date no one has ever 134
date no one has made 42
date of age and youth 40
date of death and date 262
date of death and ending 45
