damn the nation because it 155
dare at times imagine to 215
dare to allow herself to 45
dare to allow himself to 66
dare to avail himself of 175
dare to fancy herself the 107
dare to fight against the 81
dare to judge between the 56
dare to march against the 50
dare to offer himself as 51
dare to offer violence to 148
dare to place himself in 52
dare to rebel against the 139
dare to rebel against us 40
dare to stand against me 44
dare to stand against the 134
dare to trust herself to 53
dare to trust himself in 202
dare to trust himself to 310
daring of human defiance in 64
daring to fight against the 95
daring to offer violence to 45
daring to rebel against the 179
daring to trust herself to 234
daring to trust himself in 297
daring to trust himself to 572
dark at night because the 94
dark in color because of 185
dark in light exposed to 58
dark or light according to 162
dark or light depending on 51
dark the evening previous to 69
dark the stark clarity of 60
dash of waves against the 49
data in either ascending or 105
data is based largely on 52
data is coded according to 43
data is first written to 58
data is moved between the 75
data is quite similar to 114
data of large numbers of 74
data of varying degrees of 208
data on large numbers of 666
data on large samples of 162
data on total numbers of 62
data on trade between the 76
data on water quality in 70
data or views offered in 69
data to argue against the 58
data to either confirm or 81
data to either support or 166
data to large numbers of 67
date at which payment is 75
date by which payment is 54
date in greek history is 62
date in indian history is 50
date is fixed according to 46
date is given according to 270
date is still subject to 50
date of easter according to 76
date of final decision in 64
date of final decision of 69
date of final passage of 63
date of final payment of 77
date of first arrival in 108
date of first receipt of 99
date on which control is 60
date on which holders of 49
date on which members of 40
date on which payment is 925
date on which payment of 406
date on which revenue is 47
date the alien entered the 94
date the final payment is 174
date the first chapter of 206
date the first payment is 634
date the first premium on 55
date the order approving the 181
dawn he found himself in 54
dawn he found himself on 42
dawn of human history in 57
dawn of human history is 47
dawn of human history the 80
dawn of human history to 106
dawn of human society to 59
days he found himself at 161
days he found himself in 136
days in writing letters to 43
days in writing replies to 139
days of grace allowed by 166
days of grace allowed in 89
days of grace allowed on 272
days of grace allowed to 83
days of grief because he 51
days of queen victoria as 43
days of queen victoria the 53
days of sailing vessels the 54
days of talks between the 116
days of trade unionism in 45
days of working together in 44
days or hours preceding the 41
days or longer depending on 103
days or months depending on 47
days or until patient is 79
days or weeks according to 119
days or weeks because of 123
days or weeks because the 40
days or weeks between the 150
days or weeks depending on 299
days or weeks following an 80
days or weeks following the 376
days or weeks preceding the 131
days the cloud covered the 60
days the party arrived at 49
days to appeal against the 43
days to guard against the 52
days to months depending on 92
days to weeks depending on 179
days to weeks following the 130
days we shall proceed to 42
days we spent together at 154
days we spent together in 335
days we spent together on 83
dealing in large amounts of 104
dealt in large amounts of 54
dealt to indian society by 78
deaths in women between the 56
deaths of large numbers of 740
deaths of women between the 46
debt in round numbers to 48
debt of forty millions of 68
debt or claim against the 176
debt or fixed payment in 49
debt to coerce payment of 129
debt to total capital of 59
deck in mimic showers at 41
deck of cards according to 64
deck the space between the 83
deed is never allowed to 66
deed is valid between the 111
deed of mercy becomes an 98
deed of trust against the 274
deed of trust between the 41
deed of trust conveying the 88
deed of trust secured by 173
deed of trust secures the 56
deem my voice unworthy of 44
deep as mount everest is 57
deep sea still growled in 44
deep to admit vessels of 50
defy the devil himself to 217
deny an equal freedom to 392
deny the basic premise of 62
deny the enemy freedom of 45
deny the facts alleged in 396
deny the first request of 53
deny the major premise of 41
deny the moral aspects of 85
deny the right assumed by 50
deny the whole concept of 47
depth in later sections of 77
depth is often limited by 45
depth of color depending on 88
depth of color depends on 74
depth of feeling against the 166
depth of feeling aroused by 193
depth of feeling aroused in 47
depth of feeling between the 81
depth of feeling revealed in 53
depth of field because of 51
depth of field because the 66
depth of field depends on 195
depth of field extends to 66
depth of field offered by 49
depth of focus depends on 58
depth of human insight by 67
depth of pitch consist in 48
depth of shade according to 68
depth of space between the 63
depth of tumor invasion in 98
depth of tumor invasion is 76
depth of water according to 51
depth of water against the 91
depth of water applied at 47
depth of water applied to 118
depth of water between the 344
depth of water outside the 72
depth of which depends on 213
depth to admit vessels of 89
depth to float vessels of 44
desk of every library in 127
died at monte cassino in 105
died at santa barbara in 92
died in action against the 114
died in exile because he 45
died in exile because of 48
died in large numbers as 168
died in large numbers in 208
died in large numbers of 70
died in large numbers on 44
died in santa barbara in 100
died in santa barbara on 75
died in utter poverty in 40
died of blood poisoning at 141
died of blood poisoning in 345
died of blood poisoning on 251
died of fever brought on 72
died of grief because he 165
died of grief because of 140
died of grief because the 45
died of hunger because of 45
died of liver failure at 70
died of liver failure in 136
died of liver failure on 45
died of renal failure in 58
died of shame because of 42
died the night following in 56
diet in which protein is 59
diet of large amounts of 63
diet of large numbers of 75
diet of large sections of 51
diet of small amounts of 53
dint of thinking fixedly of 57
dirt or burrs between the 123
dish or spoon betwixt us 146
dogs eat small amounts of 61
done at night because the 72
done by either increasing the 91
done by first adjusting the 44
done by first computing the 161
done by first examining the 53
done by first obtaining the 57
done by first selecting the 107
done by issuing leaflets of 53
done by keeping mankind in 104
done by large numbers of 200
done by names applied to 175
done by opium limited to 47
done by people outside the 133
done by people trained in 63
done by pushing forward the 58
done by social workers in 51
done by staff members of 82
done by women outside the 48
done he takes himself to 180
done if negro workers in 50
done in chain lightning on 109
done in every country in 66
done in every country of 61
done in every respect as 87
done in latin america by 67
done in latin america in 50
done in latin america to 54
done in varying degrees of 86
done it under fifteen if 54
done no small service to 107
done on large numbers of 82
done on small numbers of 62
done so either because of 45
done to carry forward the 85
done to guard against it 79
done to guard against the 343
done to large numbers of 83
door by first analyzing the 107
door he found himself in 179
door of every subject at 104
door of james stewart on 92
door the ruddy glimmer of 90
door to every species of 395
door to guard against the 53
dose of fluid extract of 63
dose of ionizing radiation in 89
dose of ionizing radiation is 199
dose of ionizing radiation to 213
dose on local control of 55
down an aisle between the 176
down an alley between the 202
down an exact account of 53
down as close together as 54
down as though outside the 44
down at night because of 118
down by acute suffering of 245
down by large numbers of 56
down by percy beaumont in 41
down in books against it 73
down in broad outline the 87
down in defeat because of 40
down in human history as 87
down in indian history as 212
down in irish history as 93
down in large numbers by 112
down in large numbers in 218
down in large numbers to 289
down in legal history as 110
down in local history as 312
down in order according to 114
down in round numbers at 374
down in small parties to 40
down in utter despair of 138
down in value because of 122
down in varying degrees of 46
down in world history as 222
down of large numbers of 337
down on fires kindled by 76
down on others because of 104
down on paper everything he 42
down on paper exactly as 119
down the aisle between the 6420
down the aisle dressed in 226
down the aisle together as 44
down the aisle together to 46
down the aisle towards me 248
down the aisle towards the 2086
down the aisle towards us 49
down the alley between the 1208
down the alley towards the 424
down the awful barrier of 219
down the basic features of 106
down the basic outline of 88
down the basic pattern of 176
down the biopsy channel of 171
down the block towards the 45
down the broad avenues of 263
down the broad current of 47
down the broad expanse of 456
down the broad highway of 109
down the broad outline of 244
down the broad streets of 123
down the burning buildings on 72
down the canal towards the 141
down the chief features of 40
down the chief streets of 40
down the cliff towards the 268
down the coast between the 132
down the coast highway to 101
down the coast towards the 578
down the color barrier in 142
down the crack between the 244
down the creek towards the 260
down the drain because he 54
down the drain because it 135
down the drain because of 1444
down the drain because the 404
down the drain because we 41
down the drive between the 239
down the drive towards the 1116
down the dusty streets of 448
down the eight flights of 135
down the empty hallway to 158
down the empty streets of 330
down the exact details of 100
down the exact figures on 52
down the exact location of 530
down the exact position of 220
down the exact quality of 73
down the fatal vengeance of 179
down the fence between the 125
down the field between the 53
down the field towards the 526
down the final curtain on 1122
down the final seconds of 59
down the final stretch of 268
down the first letters of 107
down the first stretch of 46
down the frail edifice of 41
down the fresh vengeance of 56
down the front corners of 127
down the front surface of 94
down the gorge towards the 52
down the gully towards the 50
down the hedge towards the 178
down the hills towards the 400
