dado blade on the table 144
damn fools in the world 95
damn lucky to be alive 538
damn place in the world 54
damn reason in the world 46
damn tired to do anything 54
damp chill of the morning 46
damp chill of the night 169
damp crept up the outer 113
damp floor of the dungeon 42
damp patch on the ceiling 111
damp patch on the floor 44
damp shade of the trees 41
damp smell of the river 69
damp spots on the floor 52
damp towel on the floor 60
damp weather it is awful 205
dams built by the bureau 48
dams built by the corps 47
dank smell of the river 72
dare abide to be known 114
dare appeal to so solid 43
daring party of the enemy 78
daring people in the world 295
daring raids on the enemy 99
dark angles of the fence 40
dark bands in the green 156
dark bands in the solar 107
dark bands of the first 82
dark bands on the sides 85
dark banks of the river 49
dark blood in the veins 84
dark blood of the veins 78
dark blood on the short 60
dark boles of the trees 74
dark bosom of the cloud 46
dark bosom of the river 47
dark brown as to appear 52
dark brown at the roots 48
dark brown at the sides 57
dark brown on the breast 74
dark brown on the inner 188
dark brown on the lower 46
dark brown on the outer 283
dark brown on the sides 99
dark brown on the upper 889
dark cleft in the rocks 40
dark cloud in the water 69
dark cloud on the morning 45
dark color of the blood 667
dark color of the leaves 47
dark color of the negro 110
dark color of the rocks 44
dark color of the stone 77
dark color of the upper 84
dark color of the urine 226
dark color of the water 155
dark color to the urine 76
dark crack in the rocks 47
dark deeds in the midst 67
dark depths of the andes 96
dark depths of the gould 92
dark depths of the house 41
dark depths of the human 138
dark depths of the night 41
dark depths of the oceans 79
dark depths of the river 81
dark depths of the water 206
dark depths of the waves 63
dark depths of the woods 49
dark dungeon of the limbs 65
dark dungeon of the tower 192
dark faces as he rides 68
dark faces of the crowd 64
dark folds of the cloak 52
dark forms of the andes 104
dark forms of the beasts 56
dark forms of the ships 43
dark forms of the trees 79
dark forms on the slope 57
dark front of the house 100
dark grain of the leather 41
dark green of the cedar 119
dark green of the grand 46
dark green of the grass 177
dark green of the hills 54
dark green of the holly 95
dark green of the jungle 130
dark green of the leaves 287
dark green of the olive 64
dark green of the orange 174
dark green of the palms 59
dark green of the pines 711
dark green of the trees 581
dark green of the upper 121
dark green of the water 45
dark green of the woods 172
dark green on the outer 41
dark green on the upper 2895
dark hades at the roots 42
dark hairs on the backs 52
dark hangings of the large 60
dark holes in the trees 43
dark holes in the upper 86
dark hours of the civil 97
dark hours of the evening 48
dark hours of the first 49
dark hours of the morning 2639
dark hours of the night 8489
dark image at the shore 41
dark lanes in the milky 43
dark leaves of the trees 88
dark level of the plain 147
dark limbs of the trees 56
dark lines in the image 58
dark lines in the lower 41
dark lines in the solar 3811
dark lines of the enemy 87
dark lines of the solar 2362
dark lines of the upper 49
dark lines on the sides 65
dark morning of the fourth 41
dark niche in the outer 43
dark night by the edges 52
dark night by the light 65
dark night in the midst 71
dark night in the woods 80
dark night of the grave 105
dark night of the human 83
dark night of the world 321
dark night on the coast 41
dark opening in the cliff 46
dark opening in the white 44
dark pages of the world 69
dark parts in the image 41
dark parts of an image 46
dark parts of the drawing 94
dark parts of the field 93
dark parts of the image 311
dark parts of the scene 87
dark parts of the story 51
dark parts of the water 54
dark parts of the world 431
dark patch on the right 43
dark patch on the water 62
dark patch on the white 48
dark people of the world 110
dark period of the cycle 50
dark period of the world 52
dark phase of the cycle 131
dark phase of the daily 80
dark phase of the light 660
dark place in the woods 57
dark point in the midst 63
dark pools in the trees 44
dark quiet of the night 44
dark races of the world 127
dark rifts in the milky 105
dark river to the black 69
dark robes of the order 58
dark rocks of the hills 43
dark rocks of the shore 161
dark rooms of the house 79
dark setting of the woods 58
dark shade of the trees 288
dark shade of the woods 88
dark shade on the water 40
dark shall be my light 67
dark shape in the night 41
dark shape in the water 269
dark shape of the house 88
dark shape of the rider 96
dark shape on the floor 67
dark shape on the water 87
dark sheen of the water 43
dark sheep in the drill 50
dark shelf at the place 50
dark sides of the human 62
dark sides of the white 48
dark signs of the times 75
dark slabs of the noble 59
dark space in the midst 44
dark space to the anode 87
dark speck in the misty 56
dark speck on the quiet 52
dark speck on the water 60
dark spots at the bases 68
dark spots in the field 119
dark spots in the image 74
dark spots in the light 118
dark spots in the white 49
dark spots on the belly 117
dark spots on the breast 65
dark spots on the floor 80
dark spots on the front 147
dark spots on the leaves 118
dark spots on the light 85
dark spots on the lower 67
dark spots on the paper 45
dark spots on the ruddy 67
dark spots on the sides 347
dark spots on the solar 53
dark spots on the throat 45
dark spots on the under 132
dark spots on the upper 444
dark spots on the water 69
dark spots on the white 100
dark stain on the floor 613
dark stain on the front 206
dark stain on the white 46
dark staring at the ceiling 48
dark stars on the ceiling 84
dark stems of the trees 73
dark streak of the gliding 53
dark taint in the blood 60
dark tides of the world 83
dark tones in an image 43
dark track on the white 46
dark trees on the right 103
dark vault of the night 77
dark vision of the human 63
dark vision of the world 187
dark walls of the house 45
dark water of the canal 101
dark water of the river 245
dark world of the blind 47
dart about in the water 108
data allow us to infer 241
data allow us to judge 42
data allow us to state 66
data allow us to study 103
data appear in the table 167
data appear to be lacking 48
data appear to be linear 101
data appear to be quite 275
data appear to be valid 40
data apply to the period 41
data based on the above 94
data based on the first 94
data based on the model 79
data based on the study 101
data based on the total 146
data based on the value 105
data bases in the field 51
data bases in the social 85
data bases in the world 69
data cable to the drive 80
data cited by the court 52
data either of the outer 155
data entry at the point 48
data entry in the field 149
data field of the frame 220
data files of the world 146
data found in the field 50
data found in the first 57
data found in the social 43
data found in the study 49
data found in the works 50
data given at the start 44
data given by the above 57
data given by the author 122
data given in the above 997
data given in the bible 72
data given in the chart 76
data given in the first 369
data given in the graph 60
data given in the paper 284
data given in the study 62
data given in the table 6831
data input to the model 186
data items in an array 207
data items in the array 88
data items in the input 98
data items in the order 49
data items in the table 49
data items to be added 65
data known to the author 115
data might be of value 48
data model as the basis 55
data model is the basis 46
data needs to be added 109
data needs to be input 47
data needs to be moved 114
data needs to be saved 95
data needs to be taken 81
data pages of the table 112
data point in the chart 87
data point in the first 41
data point in the graph 107
data point in the table 53
data point on the chart 116
data point on the curve 50
data point on the graph 253
data rates in the order 66
data rates of the order 79
data rates on the order 382
data rates up to about 109
data refer to the first 136
data refer to the period 259
data refer to the total 362
data refer to the whole 193
data seems to be quite 51
data serve as the basis 335
data serving as the basis 57
data shown at the right 54
data shown by the solid 50
data shown in the above 112
data shown in the chart 131
data shown in the first 160
data shown in the graph 252
data shown in the inset 158
data shown in the lower 132
data shown in the right 173
data shown in the table 4109
data shown in the upper 118
data shown on the chart 57
data shown on the graph 121
data shown on the right 151
data table to the chart 58
data taken in the field 113
data types in the first 44
data types of the input 58
data value in the array 57
data value in the first 58
data which is no longer 95
data which is of value 43
data which is the basis 87
data which it is hoped 60
data while in the field 79
data while it is still 69
data would be in terms 57
data would be of value 144
date falls in the period 47
date field in the chart 168
date fixed by or under 108
date fixed by the board 396
date fixed by the court 997
date fixed by the judge 84
date fixed by the order 88
date fixed by the state 144
date fixed by the treaty 51
date fixed in the order 265
date given by the author 53
date given in the first 103
date given in the table 61
date given in the title 97
date given on the cover 55
date given on the title 418
date hotel in the whole 119
date later in the evening 46
date named in the order 85
date palms in the oases 62
date seems to be about 117
date seems to be fixed 55
date seems to me rather 84
date shall be no later 105
date shall be the close 71
date shall be the first 138
date shall be the later 221
date shown in the above 1059
date shown in the table 60
date shown on the label 42
date shown on the title 41
date since it is based 43
date still to be fixed 53
date which is the first 55
date would be the first 57
dating based on the decay 44
dawn broke on the morning 335
dawn hours of the morning 80
dawn raids on the homes 65
days after it is drawn 91
days after it is filed 1045
days after it is first 382
days after it is given 108
days after it is taken 125
days alone in the house 78
days alone in the woods 167
days build it up again 229
days digging on the canal 47
days either by the court 119
days given by the court 58
days later as he stood 49
days later at the first 43
days later at the hands 46
days later at the hotel 50
days later at the house 108
days later at the meeting 55
days later at the royal 40
days later at the white 75
days later by an order 46
days later by the first 188
days later by the house 49
days later he is found 40
days later he is still 70
days later he is writing 71
days later in the daily 157
days later in the evening 160
days later in the first 101
days later in the house 498
days later in the local 69
days later in the midst 72
days later in the morning 101
days later in the season 155
days later in the times 96
days later on the banks 45
days later on the evening 96
days later on the first 88
days later on the floor 42
days later on the front 130
days later on the morning 127
days later on the night 89
days later on the phone 45
days later on the shore 40
days later on the train 69
days later the king wrote 137
days longer in the place 351
days might be in store 67
days shall be the longer 40
days short of the first 81
days short of the solar 236
days short of the whole 44
days since on the trail 51
days sitting in the shade 57
days sitting on the floor 59
days sitting on the porch 44
days spent in the chase 273
days spent in the field 174
days spent in the house 55
days spent in the search 68
days spent in the study 43
days spent in the woods 138
days spent on the banks 59
days spent on the river 101
days spent on the water 41
days still in the place 49
days would be of equal 45
days would be the limit 49
deaths occur in the first 1041
debt added to the score 43
debt equal to the value 85
debt known by the taker 204
debt ratios in the world 40
debt which in the hands 63
deck chair in the shade 212
deck chair on the porch 133
deck known as the upper 86
deck looking at the stars 148
deed shall be the usual 69
deep azure of the march 48
deep azure of the skies 43
deep banks of the river 88
deep beauty of the world 46
deep bending of the knees 49
deep beneath the sea floor 61
deep black of the night 197
deep booming of the rhine 43
deep bosom of the blood 127
deep bosom of the river 74
deep bosom of the swamp 297
deep bosom of the upper 73
deep bosom of the woods 119
deep breaths as he tried 45
deep breaths of the balmy 45
deep breaths of the crisp 230
deep breaths of the fresh 633
deep breaths of the moist 41
deep breaths of the morning 82
deep breaths of the night 261
deep breaths of the salty 74
deep breaths of the sweet 169
deep chair by the drawing 44
deep change in the whole 298
deep chant of the monks 49
deep chasm in the rocks 102
deep chasm of the river 60
deep chord in the hearts 82
deep chord in the human 51
deep cleft in the hills 139
deep cleft in the rocks 268
deep cleft in the rocky 47
deep close to the rocks 45
deep close to the shore 432
deep crack in the rocks 42
deep crack of the rocks 47
deep ditch on the inner 56
deep fascia at the level 60
deep fascia at the lower 198
deep fascia at the outer 43
deep fascia in the lower 228
deep fascia in the region 58
deep fascia in the upper 100
deep fascia of the chest 51
deep fascia of the front 116
deep fascia of the lower 132
deep fascia of the medial 59
deep fascia of the penis 987
deep fascia of the upper 208
deep fascia on the front 113
deep fascia on the medial 229
deep fascia on the outer 102
deep feeling of my right 50
deep feeling of the beauty 72
deep feeling of the father 48
deep feeling of the people 94
deep folds of the hills 46
deep gloom of the night 71
deep gloom of the shady 70
deep gloom of the woods 98
deep gorge in the hills 126
deep gorge of the grand 52
deep gorge of the river 363
deep gorge on the right 40
deep grass of the meadow 116
deep green of the grass 177
deep green of the hills 73
deep green of the jungle 99
deep green of the leaves 160
deep green of the pines 258
deep green of the trees 350
deep green of the water 145
deep green of the woods 145
deep green on the upper 615
deep guilt of the human 54
deep gully on the right 150
deep gulps of the fresh 41
deep holes in the dusty 49
deep holes in the floor 49
deep holes in the river 102
deep holes in the rocks 100
deep holes in the sandy 44
deep holes in the sloping 91
deep holes of the river 73
deep hours of the night 308
deep howling of the hyaena 40
deep layer of the fascia 203
deep layer of the medial 111
deep level of the human 55
deep longings of the human 114
deep marks on the minds 65
deep music of the rolling 230
deep needs of the human 153
deep needs of the people 41
deep night of the truly 50
deep notch in the lower 40
deep notch in the outer 60
deep notch in the upper 85
deep notch of the upper 42
deep notch on the outer 92
deep notes of an organ 426
deep notes of the organ 451
deep oceans of the world 149
deep parts of the basin 128
deep parts of the brain 329
deep parts of the crust 90
deep parts of the gland 77
deep parts of the heather 91
deep parts of the oceans 141
deep parts of the orbit 51
deep parts of the river 169
deep parts of the stream 43
deep parts of the wound 471
deep pathos of the scene 44
deep place in the creek 69
deep place in the river 228
deep pleats at the waist 46
deep pools in the river 211
deep pools in the stream 42
deep pools of the river 163
deep probing of the human 44
deep purring of my motor 47
deep quiet of the hotel 46
deep quiet of the night 111
deep ranks of the swiss 48
deep reader of the human 43
deep roots in the bible 56
deep roots in the black 150
deep roots in the hearts 188
deep roots in the hindu 135
deep roots in the human 290
deep roots in the indian 557
deep roots in the labor 41
deep roots in the local 258
deep roots in the minds 268
deep roots in the nation 421
deep roots in the party 88
deep roots in the people 173
deep roots in the region 675
deep roots in the roman 105
deep roots in the rural 112
deep roots in the social 310
deep roots in the state 209
deep roots in the trade 49
deep roots in the whole 111
deep roots in the working 257
deep roots in the world 203
deep roots of the trees 62
deep seated in the minds 40
deep seated to be easily 52
deep sense of my moral 108
deep sense of the abiding 109
deep sense of the awful 237
deep sense of the beauty 261
deep sense of the danger 151
deep sense of the evils 134
deep sense of the guilt 129
deep sense of the honor 246
deep sense of the human 182
deep sense of the inner 48
deep sense of the moral 245
deep sense of the noble 85
deep sense of the power 175
deep sense of the social 127
deep sense of the truths 40
deep sense of the unity 204
deep sense of the utter 62
deep sense of the value 1415
deep sense of the vital 52
deep sense of the words 55
deep sense of the world 143
deep sense of the wrongs 213
deep setting in the woods 59
deep shade of the front 46
deep shade of the grove 51
deep shade of the jungle 60
deep shade of the pines 107
deep shade of the porch 48
deep shade of the rocks 40
deep shade of the trees 538
deep shade of the woods 433
deep sleep by the noise 59
deep sleep by the sound 480
deep sleep by the voice 62
deep sleep in the first 66
deep sleep of the night 145
