dame she 49 daring for 42
data they 46 data being 41
data not 427 data all 84
data both 67 data each 47
data and 51 data are 65
data all 165 data are 509
data may 95 data may 149
data was 124 data are 51
data are 58 data are 126
data may 50 data may 94
data was 70 data with 87
date death 43 date are 175
dawn but 46 dealing own 65
debt year 61 deep and 159
deep son 40 deep and 194
deep old 69 deep own 122
deep son 166 deep and 52
deep man 111 deep for 50
deep for 65 deep had 45
deep god 56 deep who 45
deep not 69 deny real 163
died son 40 died had 44
died was 48 dome man 307
dome and 53 done and 68
done for 196 done and 45
done for 158 done for 61
done own 46 done did 48
done did 290 done did 40
door out 80 door she 41
door she 100 doting son 76
down she 46 down his 41
down his 88 down doing 98
down doing 40 dream two 78
drew art 41 drop doing 894
drop doing 966 drop doing 508
drug not 66 drug not 119
dull not 139 duly that 55
duly that 45 duly with 46
duly can 124 during age 743
during age 151 during age 240
dust get 206 dust try 125
