declaration made under this act 71
deductible even though they are 97
deductible even though they may 61
defendants even though they did 46
defendants were liable for all 45
degeneracy into which they had 41
degradation from which all who 49
degradation from which they had 68
degradation into which she had 144
degradation into which she has 60
degradation into which they are 94
degradation into which they had 406
department from which they are 88
department from which they had 76
dependence into which they had 40
derangement ever since she had 121
description just given does not 48
description will serve for all 163
description will serve for both 155
detachment from earthly things and 52
detectives were waiting for him 58
determined from within and not 42
determined more often than not 75
determined young woman who had 43
determined young woman who was 44
difference what color you are 46
difference when women see one 43
difficulty even though they are 41
difficulty into which she had 44
difficulty into which they had 116
diminished life which was now 52
diminutive body which she had 113
disappeared from sight and she 43
disappeared from sight and then 120
disappeared from sight and was 90
disappeared soon after his death 62
discharges more water than any 43
discipline from which they are 44
discipline more rigid than had 135
discounted cash flows for each 113
discovered only after her death 85
discovered only after his death 260
discovered only after they had 55
discovered some moral and not 42
discovered till after her death 45
discovered till after his death 98
discovered years after his death 73
discussions were under way and 97
discussions were under way for 76
discussions were under way with 135
disposition will prove all that 63
dissipated life which they had 109
distinguishing those which had not 68
distraction into which amy had 41
distressed last night and this 40
distressed some mother who had 44
