dame take warning from the 111
damn well feels like it 87
damn what people think of 205
damp cloth until ready to 107
damp dish towel over the 45
dams were built along the 91
dams were built during the 64
dark bird glide into the 45
dark blue color from the 51
dark blue shirt open at 67
dark cloth thrown over the 49
dark days which were to 57
dark eyes bored into me 44
dark eyes fixed upon me 109
dark eyes fixed upon the 234
dark eyes looking back at 52
dark eyes looking down at 82
dark eyes looking into the 81
dark eyes never left the 69
dark eyes shone like the 48
dark eyes staring back at 128
dark eyes staring down at 53
dark eyes staring into the 61
dark eyes swept over the 68
dark fate which runs in 82
dark hair curling over the 61
dark hair drawn back in 89
dark hair falling over the 99
dark hair piled high on 156
dark hair spread over the 90
dark hair swept back in 47
dark hair which fell in 59
dark line running along the 106
dark line running down the 146
dark line running from the 118
dark line would rise on 46
dark mass moved from the 55
dark mass spread over the 74
dark road which leads me 46
dark rock which rose on 93
dark room where there is 177
dark spot passing over the 47
dark void which lies to 53
dart from heaven into my 533
dash cold water into the 46
dash cold water over the 265
dash cold water upon it 342
dash cold water upon the 169
data base could also be 40
data base which will be 239
data base would have to 161
data even though there is 63
data from falling into the 67
data from getting into the 63
data from sites such as 55
data from which many of 59
data from which most of 40
data from which will be 76
data have given rise to 160
data have value only in 44
data link layer uses the 61
data mining tasks such as 84
data mining tools such as 63
data over large areas of 41
data sets drawn from the 154
data sets taken from the 94
data sets which will be 91
data take place only to 40
data upon which many of 47
data upon which most of 51
data upon which much of 80
data upon which such an 48
data were based only on 52
data were based upon the 111
data were drawn from an 57
data were drawn from the 1157
data were first used to 66
data were input into the 75
data were later used to 65
data were missing from the 84
data were taken during the 235
data were taken from an 258
data were taken from the 5649
data were taken over the 48
data were taken when the 53
date from times when the 53
date from which time is 68
dating back fifty years or 63
dating from times when the 58
dating were taken from the 57
dawn came stealing over the 50
days during which there is 152
days during which time he 488
days during which time it 183
days during which time no 65
days during which time the 1404
days during which time we 152
days from sandy hook to 122
days have drawn forth the 94
days have given rise to 47
days have swept over me 42
days into carting from the 51
days like today when the 48
days news would come of 95
days were given over to 855
days were often lost in 71
days were spent amid the 123
days were spent among the 155
days were spent here in 171
days were spent there in 124
days were spent trying to 259
days were spent upon the 160
days were still ahead of 62
days were still left to 53
days were taken from the 73
days when people came to 54
days when people used to 339
days when people went to 72
days when ships were so 49
dealing blow after blow to 46
dealt blow after blow at 113
dealt blow after blow on 66
dealt blow after blow to 70
