dad was born and raised 62
day and also any forces 62
day and cold that numbed 42
day and come off better 42
day and done its office 49
day and hour and minute 464
day and hour and moment 117
day and leaving all further 47
day and said she wanted 128
day and said they wanted 48
day and there was always 52
day and there was little 151
day and there was plenty 72
day and those who suffer 48
day being very wet indeed 84
day for male and female 121
day for more than twelve 85
day for more than twenty 631
day for taking this affair 62
day for those who regard 111
day for those who should 51
day for those who wanted 43
day for those who wished 49
day for those who worked 43
day had been bad enough 85
day had been long enough 121
day had been too exciting 57
day had spun its tangled 76
day has been long enough 46
day hath ever had joined 47
day her hair was turned 58
day his body was buried 72
day how some one treated 59
day long there was prayer 58
day may have had something 127
day nor more than twenty 121
day not less than twenty 115
day not more than twenty 145
day old male and female 64
day our road lay through 106
day she left off visiting 54
day she lost her temper 76
day she said she wanted 205
day she took her little 88
day that adam was created 80
day that peace was signed 114
day that their own little 55
day that there was another 113
day that there was little 130
day that there was something 406
day that were not wholly 60
day they were our family 47
day things will get better 137
day was calm and bright 161
day was calm and cloudy 40
day was clear and bright 993
day was clear and frosty 247
day was clear and serene 59
day was cold and bright 107
day was cold and cloudy 392
day was cold and frosty 135
day was cold and gloomy 98
day was cold and stormy 861
day was cold but bright 46
day was cool and breezy 58
day was cool and bright 65
day was cool and cloudy 487
day was damp and chilly 84
day was dark and cloudy 369
day was dark and dismal 82
day was dark and gloomy 364
day was dark and lowering 194
day was dark and stormy 94
day was done and tapers 74
day was done they played 52
day was dull and cloudy 234
day was dull and gloomy 102
day was ever long enough 54
day was fair and bright 78
day was fine and bright 208
day was fine and frosty 44
day was gray and gloomy 73
day was mild and bright 48
day was more than enough 227
day was soft and bright 58
day was warm and bright 655
day was warm and charming 48
day was warm and cloudy 191
day was warm and mellow 87
day was warm and sultry 164
day was what was called 71
day was wild and gloomy 42
day was wild and stormy 57
day with pick and shovel 131
day you have not smiled 87
day you said you wanted 43
day you will not impart 45
dead and bare and bleaching 81
dead and cast out demons 49
dead and cast out devils 67
dead and give them decent 41
dead and give them orders 68
dead and gone and buried 155
dead and gone ere robert 93
dead and gone had passed 51
dead and gone long before 270
dead and more than twenty 98
dead and there was nobody 51
dead and those yet unborn 78
dead and will not return 340
dead for less than twenty 59
dead for more than twelve 81
dead for more than twenty 747
dead his soul yet exists 115
dead man only was without 74
dead six days and dismal 63
dead they will not matter 169
dead with cold and fright 61
dead with cold and misery 50
dead with cold and terror 68
dead with food and weapons 55
dead with pain and terror 44
deaf and dumb and idiotic 112
deaf and dumb are taught 138
deaf and dumb was opened 68
deaf man will not object 57
deal had been put through 41
deal not only with issues 164
deal with bits and pieces 127
deal with health and disease 123
deal with health and safety 770
deal with home and family 103
deal with ideas and issues 45
deal with just one aspect 98
deal with just one person 54
deal with land use issues 51
deal with male and female 176
deal with many and varied 98
deal with more than twenty 45
deal with more than wonted 104
deal with only one agency 82
deal with only one aspect 1256
deal with only one object 41
deal with only one person 413
deal with past and future 134
deal with race and gender 46
deal with race and racism 41
deal with their own feelings 2728
deal with their own issues 682
deal with their own racism 152
deal with their own sexual 221
deal with their own special 149
deal with their own stress 201
deal with their own unique 98
deal with these new issues 150
deal with these two groups 207
deal with these two issues 579
deal with these two periods 56
deal with these two points 408
deal with these two topics 167
deal with those that remain 145
deal with those who betray 40
deal with those who commit 159
deal with those who insist 96
deal with those who oppose 151
deal with those who refuse 134
deal with those who reject 159
deal with those who should 81
deal with those who violate 160
deal with what are called 543
deal with what are termed 46
deal with what had become 268
deal with what has already 131
deal with what has become 273
deal with what she called 116
deal with what they called 215
deal with what they regard 127
deal with what they thought 62
deal with what was called 154
deal with what was clearly 55
deal with what was thought 44
deal with whom they pleased 70
deal with work and family 45
deal with your own faults 99
deal with your own feelings 765
deal with your own issues 130
dean was among his clergy 49
dear and loving and cheery 63
dear and very old friend 92
dear for what you bought 54
death all good men lament 59
death all those who should 67
death and birth and sudden 93
death and pain and sorrow 56
death and what lay beyond 122
death but just them tattoo 42
death for days and nights 80
death for more than twenty 48
death for rape and murder 47
death for their own safety 43
death for those who should 57
death had been doing through 43
death had come and rested 56
death had left him without 62
death had made him realize 40
death has lost its terror 99
death his body was buried 70
death his body was placed 77
death hung upon our speedy 43
death may have had something 90
death may make that person 78
death they were not parted 156
dew and torn with briers 143
did all along run before 146
did all these men perish 56
did all these things before 85
did all these things happen 88
did all these things matter 43
did all these things without 204
did and felt and thought 45
did and said and thought 572
did and what she thought 44
did and what they failed 88
did and what they learned 107
did and what they should 47
did and what they thought 223
did and what they wanted 56
did and what you learned 189
did any good and caused 133
did but give new energy 45
did but hate sir daniel 41
did but know how little 70
did but love and desire 51
did but meet with greater 40
did but play this little 72
did but play with hamlet 91
did but take her revenge 100
did can have any effect 64
did death make them afraid 70
did far more than anyone 61
did far more than effect 47
did far more than merely 461
did far more than simply 787
did far more than supply 40
did for more than twenty 66
did get away with murder 59
did get what she wanted 59
did get what they wanted 79
did get what you wanted 47
did hang over our heavens 42
did her good but prayer 79
did her hair and makeup 140
did her lips and cheeks 49
did him nothing but credit 44
did his duty and danced 49
did his love and bounty 135
did his wife and family 41
did his work with brutal 43
did leap down our stairs 41
did man give with better 53
did nor ever can enlist 54
did nor said nor thought 41
did not base his actions 46
did not base his opinion 137
did not base its findings 42
did not bend low enough 53
did not bite long enough 136
