daring exploits had made him 77
dark descending and most art 185
data analysis was done using 80
data indicate not only that 233
data indicate that during this 53
data indicate that less than 236
data indicate that more than 612
data indicate that only one 185
data indicate that there are 2179
data indicate that there can 41
data indicate that there has 402
data indicate that there may 331
data indicate that there was 883
data indicate that these are 97
data indicate that these two 213
data indicate that those who 184
data indicate that very few 74
data indicating that more than 74
data indicating that there are 136
data indicating that there was 53
data obtained are used for 54
data obtained with these two 40
data suggesting that there are 94
data suggesting that there may 55
data suggests that more than 52
data suggests that there are 473
data suggests that there has 91
data suggests that there may 242
data suggests that there was 149
data suggests that these two 43
data supporting this view are 80
date indicate that there are 56
date suggests that there are 321
days followed each other and 49
days followed each other with 61
dealing directly with their own 66
dealing directly with those who 55
dealt directly with those who 65
dealt severely with those who 155
deep affection and love for 93
deep affection for those who 44
deep affection she felt for 49
deep capacity for love and 47
deep contempt for those who 45
deep interest and love for 70
deep interest for those who 66
deep trenches had been cut 71
deep trenches had been dug 89
deny entirely that there can 50
deny entirely that there was 60
desk suitable for lady with 71
died suddenly and left her 86
died suddenly and left him 46
died suddenly and left his 56
died suddenly two years ago 150
diet compared with those fed 45
diet containing not more than 64
diet contains too much fat 187
diving accident that left her 92
dogs performing with these and 139
door connecting her room with 49
door connecting his room with 44
door neighbor and owns and 49
door startled her from her 209
door startled him from his 64
dots indicate that there are 54
down chimneys and gnaw men 106
down compared with last year 93
down entirely and wept with 63
down opposite each other and 414
down whatever they were doing 92
dread foreboding that some day 43
drop whatever they were doing 1244
drop whatever you were doing 106
dull receipts how poems may 182
duly convened and held and 197
duly convened and held for 63
duly surveyed and laid out 57
dumb creatures who know that 79
during lifetime for less than 54
