dainties be cast to them 107
dampened the back of her 44
dampened the back of his 55
dangerous as none at all 53
dangerous as soon as they 95
dangerous as those of any 40
dangerous as well as being 53
dangerous as when he was 40
dangerous by some of our 83
dangerous if there is any 101
dangerous in life as fear 78
dangerous in time of war 223
dangerous in view of his 59
dangerous in view of its 71
dangerous it must be for 51
dangerous it will be for 120
dangerous to fall in with 75
dangerous to give up this 68
dangerous to health or that 52
dangerous to land on them 87
dangerous to make me too 79
dangerous to rely on any 91
dangerous to rely on his 48
dangerous to rely on one 167
dangerous to rely on them 104
dangerous to rely on this 110
dangerous to rome as his 55
dangerous to sell the bear 55
dangerous to speak of one 124
dangerous to speak of them 45
dangerous to speak to him 94
dangerous to speak to them 78
dangerous to stem in its 96
dangerous to talk to him 49
dangerous to treat in this 45
darkened the blue of her 44
darkened the door of any 69
darkened the rest of his 121
darkness as deep as that 89
darkness as soon as they 48
darkness as well as for 50
darkness as well as its 63
darkness as well as with 43
darkness is coming on with 48
darkness is from the sun 173
darkness is laid up for 63
darkness is ready at his 116
darkness the door of her 49
darkness to hide me and 60
database as part of its 57
database as soon as they 68
database as soon as you 62
database as well as all 42
database as well as any 75
database as well as for 99
database as well as its 55
database is ready to use 54
database to come up with 41
daughter as lost to him 52
daughter as much as his 50
daughter as much as she 196
daughter as much as they 40
daughter as much as you 83
daughter as part of her 169
daughter as soon as she 483
daughter as soon as they 97
daughter as soon as you 60
daughter as well as for 193
daughter as well as her 425
daughter as well as his 586
daughter as well as she 115
daughter as well as son 167
daughter as well as with 54
daughter as well as you 67
daughter by reading king lear 137
daughter by whom he had 48
daughter is born to her 44
daughter is born to him 99
daughter is born to them 125
daughter is come of age 82
daughter is home to see 43
daughter is trying to get 47
daughter of eric the red 585
daughter of erik the red 231
daughter of mine if she 44
daughter of mine is going 777
daughter of nine or ten 50
daughter of such an one 136
daughter of whom he had 100
daughter of whom he was 330
daughter of zeus is ate 99
daughter on whom he had 49
daughter or wife of one 69
daughter so well in all 128
daughter the name of her 59
daughter the rest of her 130
daughter to come in and 41
daughter to come to her 221
daughter to come to him 171
daughter to come to his 63
daughter to come to see 57
daughter to fall so low 60
daughter to give up her 232
daughter to grow up and 107
daughter to grow up with 113
daughter to hate the man 60
daughter to keep an eye 55
daughter to learn the new 44
daughter to learn to read 68
daughter to live in her 64
daughter to look at her 47
daughter to make up for 151
daughter to move in with 74
daughter to pick up her 61
daughter to speak to her 100
daughter to stay in her 41
daughter to talk to her 67
daughter to whom he had 243
daughter to whom he has 53
daughter to whom he was 323
daylight at home if you 45
daylight we were on our 115
daylight we were up and 97
debarred the means of doing 59
decamped as soon as they 57
decamped by break of day 43
decedent at date of death 345
decedent at time of death 826
decedent at time of his 176
decedent is part of his 59
deceived as even to act 40
deceived as much as any 59
deceived as much as you 46
deceived by some of his 54
deceived by those he had 72
deceived by what he saw 46
deceived by what we say 55
deceived by what we see 99
deceived in fact by his 77
deceived in what is not 76
deceives the mind in its 53
deciders we think we are 42
decipher the meaning of all 52
decipher the meaning of each 55
decipher the meaning of her 64
decipher the meaning of his 199
decipher the meaning of that 96
decipher the meaning of this 308
decisions as best we can 50
decisions as much as any 46
decisions as much as they 103
decisions as part of its 51
decisions as soon as they 202
decisions as well as all 81
decisions as well as any 53
decisions as well as being 56
decisions as well as for 558
decisions as well as his 117
decisions as well as how 66
decisions as well as its 84
decisions as well as our 44
decisions as well as with 83
decisions he made in his 106
decisions in time of war 108
decisions of life or death 123
decisions of many of our 55
decisions of peace or war 131
decisions of some of our 74
decisions of what to buy 58
decisions on peace or war 53
decisions on what to buy 327
decisions on what to say 50
decisions on what to wear 63
decisions on when to buy 80
decisions on when to use 59
decisions or lack of them 57
decisions to have or not 74
decisions to join or not 48
decisions to make as they 45
decisions to make as you 43
decisions to make at this 65
decisions to make in this 82
decisions to make or buy 254
decisions to move to new 52
decisions to seek the death 145
decisions to those of his 54
decisions to treat or not 185
decisions to work or not 121
decisions we make in our 485
decisions we make in this 86
decisive in bringing the war 49
decisive in ending the war 218
decisive thing here is not 59
declared as much to his 83
declared as part of its 43
declared as soon as they 87
declared by some of his 63
declared by some or all 53
declared he held it for 47
declared he must be put 63
declared he must go and 56
declared it must be she 56
declared my love to her 45
declared or paid on any 57
declared the duty of all 45
declared the love of god 95
declared the mind of god 57
declared the name of god 53
declared the same as and 90
declared the same in his 123
declared the truth of god 58
declared the truth to them 60
declared the will of god 683
declared the word of god 265
declared to some of his 181
declared to those of our 43
declares the love of god 68
declares the will of god 239
declares the word of god 193
declares the wrath of god 40
declined as much as they 83
declined as soon as they 67
declined it when it was 110
declined so much so that 44
declined the most of them 71
declined the only thing that 123
declined to call it his 97
declined to come to any 129
declined to come to her 42
declined to come to his 65
declined to fall in with 390
declined to give it any 76
declined to give it his 88
declined to give me any 150
declined to give me his 63
declined to give up any 45
declined to give up her 84
declined to give up his 585
declined to give up its 54
declined to give us any 99
declined to join in any 247
declined to join in this 189
declined to join the new 296
declined to learn to read 86
declined to look at him 50
declined to look at them 77
declined to obey the law 58
declined to pass on this 64
declined to rule on that 65
declined to rule on this 209
declined to seek the aid 74
declined to show up for 41
declined to sign it and 45
declined to sign the new 51
declined to speak at all 47
declined to speak to her 46
declined to speak to him 126
declined to speak to his 53
declined to take an oath 233
declined to take it and 55
declined to take no for 56
declined to take the job 59
declined to take the lead 239
declined to take the new 78
declined to take the oath 1457
declined to take up any 45
declined to take up his 168
declined to take up this 70
declined to talk to him 59
declined to throw in his 43
declined to vote at all 279
declines as more of that 50
declines to give up his 53
declines to rely on its 59
declines to take an oath 42
declines to take the oath 177
decorate the hall of his 43
decreased as much as one 44
decreased as much as that 47
decreased in depth as they 93
decreased in size as they 75
decreased in size so that 131
decreased the risk of death 108
decreased the size of his 53
decreased the size of its 45
decreased to half of its 161
decreases in size as its 47
decreases the rate of heat 173
decreases the rate of its 43
decreases the risk of being 44
decreases the risk of death 127
decreases the risk of hiv 42
decreases the risk of lung 95
decreases the risk of this 53
decreases the size of each 79
decreases the size of its 42
decreases to half of its 117
dedicate an hour or two 88
dedicate my book to him 94
dedicate my book to you 168
dedicate my life to god 391
dedicate my life to her 75
dedicate my life to him 196
dedicate my life to that 109
dedicate my life to this 181
dedicate my life to you 448
dedicate my part of this 74
dedicate my play to you 43
dedicate my time to this 69
dedicate my work in this 58
dedicate my work on this 164
dedicate my work to you 180
dedicate the book to all 99
dedicate the book to her 553
dedicate the book to him 646
dedicate the book to his 181
dedicate the book to our 158
dedicate the book to them 338
dedicate the book to you 221
dedicate the rest of her 735
dedicate the rest of his 1301
dedicate the rest of our 52
dedicate the rest of this 82
dedicate the same to any 50
dedicate the work to her 167
dedicate the work to him 419
dedicate the work to his 68
dedicate the work to you 69
dedicating my life to god 46
dedicating the book to her 151
dedicating the book to him 157
dedicating the book to his 131
dedicating the book to them 71
dedicating the book to you 44
dedicating the rest of her 43
dedicating the rest of his 153
dedicating the work to her 49
dedicating the work to him 95
dedicating the work to his 113
deducted the cost of all 51
deducted the cost of any 59
deducted the cost of his 100
deducted to give the net 95
deduction in lieu of any 45
deduction is made on this 40
deduction of what is due 51
deepened by what he had 44
deepened the blue of her 179
deepened the blue of his 65
defection of many of his 238
defection of many of its 190
defection of most of his 70
defection of most of its 41
defection of part of his 42
defection of some of her 58
defection of some of his 428
defection of some of its 495
defection of some of them 63
defection or ruin of his 93
defended as well as that 71
defended at length in his 59
defended by many of its 49
defended by some of his 112
defended by some of its 41
defended in case of war 129
defended in time of war 342
