day future 118 dead future 114
deal number 71 deal member 40
deal without 57 deal without 64
deal issues 87 deal crisis 221
deal system 150 deal should 71
deal through 105 deal effect 198
deal aspect 163 deal events 112
deal reality 107 deal changes 187
deal stress 121 deal amount 82
deal number 121 deal issues 173
deal matter 206 deal desert 61
deal simple 161 deal causes 59
deal changes 127 deal events 82
deal points 178 deal amount 116
deal issues 136 death events 41
death policy 71 death nature 64
death injury 132 death effect 54
death result 107 death traits 45
did better 102 did through 46
did repine 70 did defend 47
does extend 91 does around 47
does through 180 does attack 129
does strike 94 does affect 62
does amount 124 does simply 58
does itself 76 dog figure 65
