dam had been settled by 47
day and also because of 40
day and find herself in 62
day and from perishing by 67
day and gave herself to 72
day and gave himself up 93
day and look forward to 415
day and swap guesses as 53
day and were allowed to 68
day and were greeted by 54
day and were obliged to 98
day are just beginning to 45
day are only beginning to 46
day are very inferior to 96
day are very similar to 124
day for five minutes at 76
day for five minutes to 75
day for hearing parties or 107
day for their failure to 60
day had been allowed to 125
day had been brought to 108
day had been carried by 48
day had been devoted to 313
day had been obliged to 43
day had been preparing in 63
day had been reduced to 163
day had been ushered in 104
day had gone against the 53
day had gone against us 127
day had just appeared as 100
day has been adopted by 83
day has been allowed to 140
day has been brought to 94
day has been defined as 87
day has been devoted to 604
day has been reduced to 340
day has gone against us 108
day not only because of 115
day off from classes to 42
day she gave herself to 175
day she said goodbye to 47
day she shut herself up 79
day she took herself to 64
day that noah entered the 551
day they sold tickets to 62
day they went together by 40
day they went together to 869
day they were alarmed by 45
day they were allowed to 946
day they were brought in 135
day they were brought to 178
day they were brought up 89
day they were carried to 91
day they were defeated by 79
day they were expecting the 48
day they were exposed to 300
day they were gathered in 48
day they were invited to 289
day they were marched to 121
day they were married by 49
day they were married in 138
day they were married to 52
day they were nowhere to 41
day they were obliged to 394
day they were ordered to 540
day they were present at 41
day they were reduced to 85
day they were removed to 128
day they were returning to 129
day they were stopped by 72
day they were together at 61
day they were together in 62
day they were visited by 459
day they will succeed in 84
day was also devoted to 68
day was from sunrise to 119
day was just beginning to 849
day was very similar to 82
day who were skilful in 70
day with five minutes of 40
day with other members of 135
day with some friends at 148
day with some friends in 120
day with some friends of 108
day with your glasses to 49
day you must consent to 50
day you will forgive me 134
day you will receive the 118
dead and call millions of 57
dead and five wounded on 46
dead and living members of 175
dead and make offerings of 54
dead and many wounded in 51
dead and many wounded on 122
dead and three wounded in 80
dead and your members as 49
dead had been arrayed in 42
dead had been brought in 42
dead had been brought to 119
dead they meant bestowing the 41
dead with five bullets in 42
deaf and dumb express by 40
deaf and dumb language of 49
deaf and dumb masters of 54
deaf and dumb persons in 194
deaf and dumb persons to 187
deaf and dumb possess it 41
deal had been arranged by 68
deal had been written on 78
deal has been granted by 53
deal has been happening on 53
deal has been written as 271
deal has been written by 1139
deal has been written in 1882
deal has been written of 545
deal has been written on 5958
deal has been written to 294
deal too many samples in 43
deal too much against tea 45
deal too much potency to 45
deal was made between the 222
deal was made whereby the 97
deal with case studies of 44
deal with four aspects of 280
deal with great britain in 120
deal with great numbers of 87
deal with high degrees of 88
deal with high volumes of 97
deal with huge amounts of 288
deal with huge numbers of 157
deal with life outside the 127
deal with many aspects of 2182
deal with many matters of 240
deal with more aspects of 98
deal with most aspects of 380
