dare side 48 dark pine 56
dark come 53 dark roof 49
data tape 63 data from 1116
data only 243 data were 45
data tape 62 data data 107
data data 48 data from 132
data from 44 data years 78
data only 247 data from 42
data from 69 data take 55
data from 57 data from 170
date date 246 date some 96
days from 62 days such 52
days from 384 days home 197
days from 41 days there 72
days when 94 days flag 60
days fall 59 days month 51
days were 47 days date 84
days were 48 days date 92
days date 148 days were 116
days just 52 days were 60
days date 47 days date 103
days coup 180 days vote 85
days bite 99 days city 114
days from 166 days there 205
days were 72 days when 114
days date 99 days were 84
days date 89 days date 55
days date 85 days date 46
days have 184 days news 64
days were 316 days date 84
days from 247 days home 105
days hall 45 days over 117
days from 196 days news 71
days word 116 days from 100
days from 63 days home 203
days flag 45 days took 46
days were 89 days sent 46
days were 52 days were 53
days post 85 days word 71
days from 113 days away 41
days roof 700 dealt went 58
debt from 50 debt owes 94
deep life 44 deep life 81
deep soil 90 deep among 47
deep when 49 deep duty 53
deep from 46 deep loss 832
deep worth 207 deep wrong 66
deep duty 234 deep need 42
deep truth 52 deep soul 60
deep bone 168 deep lobe 411
depth during 78 died from 48
died were 249 diet rice 54
dine roof 50 dirt into 89
dogs when 95 done have 58
done wrong 41 done among 585
done eyes 130 done were 43
done time 232 done time 42
door ajar 42 down drum 321
down next 70 down rock 40
down nice 44 down were 42
draw from 60 dream tree 417
drew from 51 drew from 55
drew from 80 drew urns 48
drop used 45 drying lamp 53
during when 43 during boom 93
during threat 47 during need 129
during calm 173 during peace 142
during must 55 during much 59
during some 47 during over 345
during many 47 during some 109
during three 43 during many 48
during from 245 during great 75
during many 59 during much 278
during kept 43 during girl 54
during will 52 during have 63
during were 454 during will 77
during were 47 during were 61
during dies 44 during were 40
during were 125 during earns 68
during must 157 during must 51
during were 51 during rate 79
during rate 96 during were 76
during were 49 during were 40
during writ 65 during were 238
during were 80 during were 77
during acts 40 during made 60
during tomb 54 during were 234
during will 41 during were 71
during were 94 during lost 185
during were 86 during acts 161
during must 41 during have 63
during were 238 during will 45
during were 364 during held 446
during were 57 during much 105
dusk pale 72 duty upon 93
