dam will also serve as 46
day came there would be 64
day came upon which the 44
day care home under the 60
day five years after the 86
day forth those wishing to 55
day from early morning to 557
day from nine hours to 74
day from their homes in 58
day from their homes to 57
day have been found in 196
day have been found to 390
day have been given to 106
day have been known to 273
day have been shown to 710
day have been sitting in 64
day have been spent in 398
day have been taken up 49
day have great vigor of 73
day have their roots in 59
day have your share of 41
day having been fixed by 48
day having been spent in 192
day jury trial ended on 48
day laid some money by 123
day miss mary would be 78
day send post cards to 96
day some time after the 78
day soon there would be 65
day take their place in 60
day taking more pains to 47
day there took place the 72
day there were added to 272
day there were signs of 328
day there will again be 72
day these three weeks to 64
day took great pains to 58
day upon such terms as 48
day upon those hills of 43
day were just below the 43
day were well aware of 56
day when india would be 109
day when nothing seems to 72
day when some judge of 49
day when their taste is 69
day when there could be 64
day when there might be 181
day when there seems to 41
day when there shall be 1068
day when there would be 3733
day when wars shall be 41
day when your child is 156
day will give place to 46
day will rise again to 111
day word went about the 62
dead ages hide under the 53
dead body from which the 124
dead body will float in 48
dead bone upon which he 59
dead came from beneath the 90
dead fish were found in 82
dead form their ranks at 46
dead have been found in 93
dead have been known to 48
dead load plus twice the 62
dead rats were found in 83
dead three days after the 44
dead time during which the 45
dead tree from which he 54
dead tree from which the 51
dead wife came about the 43
dead will also raise us 221
dead will rise again in 42
dead will take place at 114
dead will take place in 115
deal more said about it 92
deal more time would be 63
deal more work could be 49
deal more work needs to 763
deal more work would be 47
deal these days about the 370
dear must sink beneath the 41
dear ones gone above me 42
dear wife pass twice by 257
death among young people in 131
death blow from which it 73
death five days after the 56
death five years later he 63
death four years later at 61
death four years later he 60
death four years later in 58
death four years later the 40
death from mere greed of 62
death have been found in 48
death have been found to 85
death have been given by 50
death have been known to 145
death have been shown to 97
death into their ranks on 43
death many years after the 75
death many years later in 40
death over their wives as 156
death rate among males is 62
death rate among women in 56
death rate among women is 50
death rate from asthma in 63
death rate from falls in 44
death some time after the 45
death some years after the 41
death some years later in 40
death there were found in 133
death there were signs of 84
death three days after the 59
death three years later at 75
death three years later he 73
death three years later in 78
death three years later the 57
death toll will never be 151
death very soon after the 41
death will take place at 59
death will take place in 157
dew left upon herbs or 54
dew lies thick beneath the 64
did bathe their hands in 303
did cast some doubt on 41
did come from within the 59
did come there would be 54
did come very close to 285
did fall much short of 61
did feel good about the 50
did feel some sense of 68
did feel very close to 42
did gain great power in 54
did have good cause to 42
did have good reason to 232
did have good taste in 107
did have some basis in 277
did have some cause to 60
did have some claim to 44
did have some inkling of 101
did have some money in 57
did have some money to 43
did have some notion of 120
did have some power to 61
did have some reason to 243
did have some sense of 265
did have some share in 68
did have some value in 53
did have some voice in 48
did have their roots in 50
did have their share of 105
did have what might be 42
did hope there would be 133
did know more about it 44
did know more about the 144
did know much about the 40
did know there would be 45
did learn more about the 75
did learn much about the 85
did lose their lives in 67
did make much sense to 46
did make some gains in 62
did make some sense to 46
did make their offer in 46
did many other kinds of 99
did many other parts of 49
did many other people in 82
did many other signs in 1008
did many other women of 43
did many years later in 45
did most other parts of 117
did move many within the 48
did nothing else about it 48
did nothing else until the 44
did nothing from morning to 60
did nothing more about it 299
did nothing more about the 94
did nothing much about it 46
did nothing worth speaking of 75
did open their doors to 48
did rise even above the 52
did risk their lives to 63
did shed some light on 201
did shew like roses in 122
did show some signs of 317
did some deep breathing to 42
did some fast talking to 49
did some reading about the 53
did some time after go 72
did some work about the 109
did some years later in 40
did take great pains to 89
did take great pride in 92
did take much stock in 72
did take some action to 68
did take some pains to 131
did take some pride in 63
