daft about the meaning but 62
damn about so many things 45
damn about the fact that 166
damn anything or damn all 106
damn lucky to have her 126
damn lucky to have him 120
damn lucky to have you 133
damn right it will not 194
damp cloths to keep them 40
damp sponge to wipe off 41
damp streak of hair lay 52
damp sugar in odds and 42
damp towel to keep them 56
dare appeal to those who 143
dare appeal to your own 42
dare appear is work and 267
dare engage to have all 55
dare repeat the same sad 112
dare stand in their way 42
daring action to show that 50
dark about so many things 77
dark about the fact that 273
dark again at four and 43
dark brown on back and 51
dark brown or dark red 138
dark brown to dark red 64
dark cloud of dust and 96
dark green of pine and 57
dark green or dark red 137
dark holds of tears and 52
dark lines of hill and 45
dark night to look for 83
dark shaft of dirt and 133
dark soever the race that 86
dark thrust of peace and 69
dark under the eyes and 62
dark under the roof and 72
dark women in your own 84
dark woods of pine and 56
dash where no risk was 52
data about the health and 97
data about the life and 73
data about the need for 48
data about the past and 151
data about the size and 242
data about the time and 57
data about the type and 74
data about the user and 61
data after the data has 54
data appear to rule out 61
data appear to show that 778
data based on more than 83
data based on their own 100
data began to show that 46
data could be used for 916
data could be used with 83
data easier to work with 60
data exist to show that 440
data exist to test this 49
data favor the view that 97
data field is less than 46
data files in their own 44
data flows in only one 123
data given in these two 50
data makes it clear that 908
data might be used for 179
data model is used for 78
data point is less than 49
data rates of less than 102
data rates of more than 100
data refer to only one 60
data reveal the fact that 203
data seems to show that 416
data shall be used for 55
data tending to show that 257
data tends to show that 65
data types in java are 66
data value is less than 71
data where the data are 50
data which is used for 109
data which the mind has 42
data which we have are 52
data which we have for 78
data which we have not 47
data which we have now 44
data which we will use 43
data would be used and 66
data would be used for 269
date after the time that 92
date makes it clear that 191
date seems to show that 169
date which is more than 128
date which we have now 319
date within the last two 111
date within the next few 117
date within the next two 135
date within the plan year 325
date would be more than 40
dawn began to break and 214
dawn began to break they 72
dawn broke the next day 167
dawn would be upon them 42
days about the need for 150
days after he came out 98
days after he fell ill 57
days after he left for 86
days after he left her 73
days after he left his 91
days after he left new 60
days after he left she 58
days after he left that 90
days after he lost his 85
days after he lost that 44
days after he made his 211
days after he made this 83
days after he sent for 104
days after he sent his 120
days after he sent this 51
days after he took his 305
days after it came out 134
days after it fell due 54
days after my baby was 50
days after my talk with 309
days after the army had 220
days after the army was 49
days after the baby had 52
days after the baby has 58
days after the baby was 558
days after the bill had 370
days after the bill has 226
days after the bill was 900
days after the bird was 70
days after the birth and 302
days after the birth she 87
days after the bite and 73
days after the body had 46
days after the body has 54
days after the body was 250
days after the bomb had 58
days after the bomb was 127
days after the bond was 60
days after the book was 154
days after the boss was 47
days after the boys had 48
days after the call for 223
days after the call was 48
days after the camp was 73
days after the case had 75
days after the case has 178
days after the case was 213
days after the city had 202
days after the city was 198
days after the coup and 112
days after the coup that 69
days after the date due 106
days after the date for 258
days after the date set 656
days after the date that 2270
days after the date they 254
days after the date this 548
days after the date you 369
days after the debt was 189
days after the deed was 74
days after the dose was 45
days after the drug had 65
days after the drug has 398
days after the drug was 373
days after the duke had 140
days after the eggs are 679
days after the eggs had 71
days after the filing and 264
days after the filing with 162
days after the film was 94
days after the fire and 123
days after the fire had 139
days after the fire has 51
days after the fire that 76
days after the fire was 179
days after the flag was 47
days after the flow has 81
days after the fort had 63
days after the fort was 78
days after the full and 99
days after the gale had 43
days after the great war 111
days after the gulf war 70
days after the half year 41
days after the hearing and 56
days after the jury had 107
days after the jury has 210
days after the jury was 137
days after the keel was 199
days after the last day 4378
days after the last death 44
days after the last egg 118
days after the last one 113
days after the last use 97
days after the lease was 40
days after the list has 69
days after the loan was 136
days after the making and 150
days after the moon has 40
days after the nest was 56
days after the news had 252
days after the news that 87
days after the news was 126
days after the note was 105
days after the other two 150
days after the pact was 97
days after the pain has 95
days after the peace was 45
days after the pigs are 60
days after the plan has 70
days after the plan was 147
days after the plan year 152
days after the play was 59
days after the plot was 59
days after the pope had 75
days after the raid and 40
days after the rain had 59
days after the rain has 56
days after the rash and 47
days after the rash has 299
days after the rice has 54
days after the risk has 63
days after the said day 90
days after the sale and 174
days after the sale has 110
days after the sale was 84
days after the same are 317
days after the same has 766
days after the same may 64
days after the same was 114
days after the seed has 51
days after the seed was 92
days after the ship had 296
days after the ship has 76
days after the ship was 157
days after the show was 59
days after the snow has 65
days after the soil has 44
days after the suit was 123
days after the taking and 59
days after the talk with 111
days after the tenth day 51
days after the term had 44
days after the test was 74
days after the third and 52
days after the tick has 50
days after the time for 733
days after the time set 96
days after the time that 251
days after the time they 62
days after the town had 155
days after the town was 206
days after the trial and 88
days after the trial had 170
days after the trial was 153
days after the tube was 51
days after the union had 43
days after the vote for 74
days after the vote was 73
days after the well was 54
days after the will was 103
days after the work had 73
days after the work has 146
days after the work was 220
days after the young are 152
days after the young had 65
days after the young man 116
days after we find him 42
days after we heard that 101
days after we left new 119
days after we left this 47
days after we made our 41
days after we sent you 147
days after we were all 50
days after we were out 44
days after we were put 58
days anything of what they 80
days appear to have had 42
days began to give way 47
days began to warn them 45
days begin to love them 72
days could be like this 45
days could be used for 58
days getting to know each 109
days growth of beard and 157
days later as there are 91
days later by saying that 115
days later he came and 117
days later he came out 212
days later he came with 72
days later he died and 169
days later he fell ill 192
days later he felt that 98
days later he gave her 66
days later he gave his 175
days later he heard that 1122
days later he held his 44
days later he left for 901
days later he left his 70
days later he left with 62
days later he lost his 116
days later he made his 537
days later he paid his 41
days later he rode out 53
days later he said that 718
days later he says that 90
days later he sent for 395
days later he sent her 176
days later he sent him 67
days later he sent his 226
days later he sent off 49
days later he sent out 50
days later he sent them 41
days later he sent two 42
days later he told her 285
days later he told him 54
days later he told his 256
days later he told them 47
days later he took her 116
days later he took him 52
days later he took his 307
days later he took off 142
days later he went for 61
days later he went off 114
days later he went out 236
days later he went with 120
days later it came out 128
days later my wife and 137
days later the army was 95
days later the baby was 163
days later the bill was 312
days later the boat was 56
days later the body was 249
days later the book was 45
days later the camp was 94
days later the case was 128
days later the city was 207
days later the crew was 41
days later the duke and 57
days later the duke was 66
days later the fort was 93
days later the girl was 56
days later the moon that 61
days later the nest was 88
days later the news that 46
days later the news was 340
days later the other two 49
days later the plan was 51
days later the play was 54
days later the poor man 47
days later the road was 59
days later the same man 132
days later the same two 44
days later the ship goes 50
days later the ship was 333
days later the three men 65
days later the town was 190
days later the unit was 47
days later the vote was 43
days later the work was 74
days later the young man 415
days later to find her 44
days later to find out 320
days later to find that 472
days later to learn that 119
days later to look for 87
days later to meet with 85
days later to pick them 60
days later to tell her 95
days later to tell him 150
days later to thank him 51
days later we find him 386
days later we find that 125
days later we heard that 1319
days later we learn that 115
days later we left for 304
days later we made our 68
days later we went out 191
days later we were all 550
days later we were both 56
days later we were going 52
days later we were off 189
days later we were out 52
days later we were put 41
days makes it clear that 49
days might be worn out 57
days seems to have had 67
days since he last saw 68
days since on their own 55
days since the file was 55
days since the last one 43
days since the note was 50
days since we have had 97
days since we last met 44
days since we last saw 90
days since we left new 88
days since we left our 75
days since we were all 41
days under the lash with 52
days under the open sky 51
days until at last they 46
days waiting in vain for 45
days where my youth was 120
days which is less than 47
days which the bill has 127
days which ye will not 95
days while the good man 52
days while the ship was 86
days would be more than 122
days would be over and 54
days would it take for 123
days would it take them 53
days would it take you 71
deals could be made with 147
deals would be made with 43
dealt withal at their own 52
debt could be paid off 426
debt could be paid out 50
debt could be paid with 48
debt might be paid off 139
debt shall be paid off 44
debt shall be paid out 139
debt stood at more than 146
debt which he owed her 145
debt which he owed him 98
debt which he owed his 83
debt which he owed them 49
debt which he owes him 85
debt which he owes his 41
debt which is more than 53
debt which we must all 198
debt within the meaning and 41
debt would be less than 58
debt would be more than 56
debt would be paid and 81
debt would be paid off 537
deck under the awning and 43
deck under the open sky 40
deck until the boat had 45
