darkness light 401 daughter harry 50
deadliest which 61 decanter water 47
decisive place 56 defended voted 42
definite given 58 definite found 46
definite given 127 definite given 57
definite point 153 delicate ponce 56
describe taken 61 describe never 73
describe place 99 describe place 240
describing place 40 describing place 224
deserves first 115 deserves given 46
deserves shown 41 deserves taken 181
detailed given 42 detained under 58
detection which 42 diffused minds 78
direction which 45 direction bound 116
directly flows 101 discount forms 185
discover would 45 discover still 78
discover enter 46 distance times 61
distance miles 64 distance times 47
distance state 782 distinct based 49
district local 153 district known 50
district helps 173 district months 46
document words 65 domestic goods 53
domestic goods 108 domestic goods 74
doubtful given 41 doubtful could 40
doubtful would 46 doubtful leader 55
doubtful nation 72 doubtful people 87
doubtful would 40 doubtful rally 41
doubtful could 45 doubtful would 40
doubtful known 46 doubtful quite 163
doubtful really 113 doubtful prove 55
doubtful would 67 doubtful would 45
downward where 62 dramatic place 327
dramatic place 50 dramatic place 43
dramatic place 58 dramatic swept 41
dramatic taken 1246 dramatic place 155
dramatic place 537 dramatic taken 46
dramatic place 42 dramatic place 359
dramatic about 41 dramatic taken 49
