dagger to plunge it into 74
damage by flood or fire 161
damage by gnawing the bark 49
damage by light in rats 201
damage by reason of giving 79
damage by reason of said 64
damage by reason of such 692
damage by reason of their 73
damage by water or other 82
damage in order to make 62
damage in terms of loss 193
damage in terms of lost 87
damage is known to have 106
damage is shown to have 67
damage or delay of part 183
damage the author of some 70
damage the enemy as much 50
damage the owner of such 45
damage to crops as well 41
damage to crops by hail 97
damage to crops by wild 93
damage to crops or other 58
damage to either of these 307
damage to either the left 101
damage to goods in their 45
damage to goods or loss 200
damage to ships or other 59
damaging or lethal to many 50
damned king george up hill 85
damped my hopes so soon 40
damped the ardor of many 42
dampen the ardor of many 46
dampen the ardor of some 48
dampen the ardor of their 46
dampen the ardor of these 41
dampen the ardor of those 219
damsel it would be such 41
danced as though he were 40
danced in front of their 83
danced the dance of life 49
dances in front of their 50
dances in honor of their 129
dances of which we have 53
dangers by which the step 55
dangers by which we were 187
dangers in order to make 59
dangers in order to reach 55
dangers in order to work 44
dangers of failing to take 40
dangers of falling in love 168
dangers of relying on such 41
dangers of smoking to health 66
dangers of which we have 179
dangers of which we must 55
dangers to deter me from 50
dangers to which he must 169
dangers to which he will 105
dangers to which it must 61
dangers to which it will 49
dangers to which my life 102
dangers to which so many 41
dangers to which the army 69
dangers to which the best 92
dangers to which the city 157
dangers to which the early 65
dangers to which the great 48
dangers to which the life 44
dangers to which the three 51
dangers to which the young 205
dangers to which we have 528
dangers to which we must 40
dangers to which we were 650
dangled in front of their 220
dangled in front of your 65
darken the house of life 121
darken the light of truth 43
darken the minds of many 93
darken the reason of your 43
darker the color the more 164
darker the night the more 255
darker the shade of gray 227
dashed on after the band 119
dashed the hopes of many 279
dashed the hopes of some 44
dashed the hopes of those 362
dashed to atoms on crag 168
dazzle the girls in some 69
dazzle the world by their 42
deadening the sound of their 54
dealers in order to make 64
dealers to carry on their 147
debate as though it were 89
debate in order to find 44
debate in order to gain 40
debate in order to give 56
debate in order to make 188
debate in order to reach 91
debate in order to show 173
debate in terms of their 144
debate in terms of what 138
debate in which he took 236
debate in which the duke 42
debate in which the most 72
debate in which we have 69
debate is still in full 49
debate on which of these 51
debate on women at work 45
debate the issue of what 167
debate the right of self 141
debate the right or wrong 41
debate the terms of their 121
debate to which it gave 205
debate to which we have 127
debate to which we will 59
debris in order to make 56
debtor in fraud of their 51
debtor is about to leave 296
debtor is bound to make 70
debtor is found to have 48
debtor is shown to have 47
debtor the right to more 41
debtor to avoid the fixing 62
debtor to repay the debt 161
debtor to repay the loan 155
decade he seems to have 83
