damn what i do as 43
dark line a of the 53
dark line d in the 152
dark line d of the 228
data from a pc to 85
days such a thing as 64
days were a thing of 219
days when i am at 80
days when i am in 152
days when i am so 95
days when i go to 160
deed must i do to 581
deep into a sea of 328
deny such a thing as 45
dive into a sea of 164
diving into a sea of 179
done like a thing of 88
done such a thing as 2275
done such a thing at 177
done such a thing by 55
done such a thing he 79
done such a thing if 563
done such a thing in 4326
done such a thing is 50
done such a thing it 102
done such a thing of 59
done such a thing on 233
done such a thing or 65
done such a thing so 122
done such a thing to 1627
done when i am up 146
door when i go to 67
down into a sea of 871
down like a pea on 54
down over a sea of 71
down such a thing on 49
down upon a sea of 1221
