dame she bids ye all 61
dame was wont to say 59
dame who drew the pay 67
dame with anger in her 50
damn near bled to death 92
damp and clinging to her 114
damp and clinging to his 82
damp and clung to her 93
damp and clung to his 51
damp and cold of his 88
damp hung upon the low 115
damp this time of year 41
dare ask what it was 44
dare but what it can 155
dare each other to get 43
dare each other to run 65
dare not call to him 149
dare not come to any 44
dare not come to bring 113
dare not come to him 54
dare not come to this 41
dare not come to you 171
dare not even do this 55
dare not fail to see 143
dare not four of them 51
dare not give it for 86
dare not give it now 56
dare not give my bag 49
dare not give us bad 46
dare not hope to see 90
dare not look at each 61
dare not look at her 166
dare not look at him 189
dare not look at his 94
dare not look at one 52
dare not look at them 190
dare not look at you 180
dare not look on thee 103
dare not look on them 53
dare not look on war 141
dare not look to see 180
dare not look up for 50
dare not meet by day 44
dare not move my dim 117
dare not name to you 182
dare not pray to god 60
dare not rely on his 46
dare not show the man 85
dare not speak it out 69
dare not speak of her 63
dare not speak of him 64
dare not speak of them 146
dare not speak of this 60
dare not speak or act 108
dare not speak to her 221
dare not speak to him 452
dare not speak to one 60
dare not speak to thee 89
dare not speak to them 109
dare not speak to you 303
dare not take it for 162
dare not take my oath 141
dare not take the oath 46
dare not take up any 43
dare not talk to him 41
dare not tell it you 72
dare not tell me that 99
dare not think of all 51
dare not think of any 138
dare not think of doing 54
dare not think of god 45
dare not think of going 51
dare not think of her 114
dare not think of him 83
dare not think of his 114
dare not think of that 272
dare not think of thee 131
dare not think of them 187
dare not think of this 46
dare not think of you 69
dare not tread at all 47
dare not turn my art 69
dare not turn my head 47
dare not wait to see 40
dare now call my own 94
dare say many of them 132
dare say many of you 449
dare say most of them 94
dare say most of you 142
dare say none of you 47
dare say some of our 94
dare say some of them 307
dare say some of you 600
dare say there is not 752
dare say there is one 43
dare set foot in this 78
dare set foot on this 48
dare she speak to him 45
dare you call me that 442
dare you come to this 112
dare you once to say 46
dare you speak in that 127
dare you speak in this 44
dare you speak of her 69
dare you speak of him 93
dare you speak to her 74
dare you speak to him 62
dare you talk in that 154
dare you talk in this 42
dare you talk to him 42
dare you tell me how 128
dare you tell me that 986
dare you tell me this 49
dare you tell me you 80
dare you treat me this 111
dare you treat me with 143
dare you urge the son 77
daring each other to get 47
daring not even to try 132
daring than those of any 41
dark and cold as any 75
dark and cold it was 75
dark and dark to day 95
dark and fine as you 50
dark and full of fear 43
dark and hard to see 330
dark and loving as her 43
dark and made my way 43
dark and prim the red 52
dark and there is not 56
dark and went to bed 166
dark and when it was 45
dark for what the day 59
dark head bent to her 70
dark head down to her 43
dark red next the sun 115
dark than during the day 72
dark that there is not 70
dark this time of year 87
dark with pain as she 45
data and came up with 196
data and come up with 480
data and coming up with 69
data and find the mean 53
data and make it easy 42
data and send it out 63
data and some of them 52
data and theory is not 41
data and those of his 78
data and what is not 79
data are from my own 85
data are from the imf 413
data are from the mid 93
data are from the new 118
data are from the two 97
data are hard to get 142
data are made to fit 40
data are seen to lie 48
data are used in all 60
data are used in both 87
data are used in each 48
data are used in our 56
data are used in this 916
data are used in two 142
data are used to fit 110
data are used to map 67
data are used to see 51
data are used to set 159
data being used in this 95
data but also on its 41
data can also be fit 54
data can also be read 130
data can flow in both 246
data can only be read 359
data can take on any 47
data can tell us how 44
data for most of our 41
data for most of them 61
data for most of this 55
data for much of this 48
data for some of our 54
data for some of them 73
data for some or all 61
