deductible since it is a 40
deficiency seems to be a 140
deficiency shows up as a 57
definitely ceased to be a 174
definitely known to be a 303
definitely needs to be a 65
definitely prove to be a 86
definitely seems to be a 305
definitely shown to be a 159
definitely state it as a 41
definitely wants to be a 42
department asked me if i 61
department seems to be a 45
department store or at a 46
department store or in a 94
department store or of a 48
department which is in a 44
department would be in a 136
dependence seems to be a 65
deprivation ceases to be a 40
deprivation seems to be a 40
description given me by a 74
description seems to be a 175
destruction seems to be a 63
determined never to be a 362
difference arising as to a 193
difference seems to be a 1321
difference would be in a 44
difficulty holding on to a 44
difficulty letting go of a 66
difficulty seems to be a 278
dimensional motion in the x 41
dimensional space on to a 42
diplomatic agent or by a 180
discharges tends to be a 41
discipline seems to be a 87
discovered drawn up in a 51
discovered later to be a 125
disorderly irish as to a 66
disposition seems to be a 65
disposition tends to be a 47
dissociation seems to be a 40
distinction seems to be a 378
distinction seems to me a 92
domineered above me as i 64
dysfunction seems to be a 62
