damn fool thing like that 441
damn glad to have you 115
damn good at what she 179
damn good at what they 139
damn good at what you 164
damn good at your job 45
damn sure he will not 41
damn well he will not 79
damp cloth to keep them 124
damp cloth to wipe off 112
damp from the rain and 445
damp from the rain that 172
damp lock of hair off 40
damp upon the true and 346
dare cast an evil eye 117
dare come in here and 89
dare deny the fact that 51
dare fall in love with 60
dare look at their own 92
dare open my mouth for 54
dare swear it will not 150
dare take my eyes off 526
dare tell me what you 45
dare tell the jury that 62
dare think of your own 51
dare treat me like this 95
dare what no other man 69
daring blow to back her 67
daring even to send out 90
dark areas of mars are 58
dark areas on mars are 56
dark base of their aery 43
dark blue or dark red 170
dark book to make new 217
dark cell on bread and 150
dark days of trial and 50
dark even in full day 49
dark eyes so like her 57
dark eyes so like his 50
dark eyes to meet his 43
dark gems of eyes that 51
dark gods of hell are 58
dark hair of their own 70
dark hall the room was 45
dark hole to seek his 77
dark hour of trial and 67
dark land of dark men 58
dark land of gins and 106
dark line of hair that 119
dark lock of hair that 132
dark mark of fate and 48
dark side of life and 521
dark side of life that 272
dark side of life was 53
dark side of love and 47
dark side of love with 92
dark side of self and 47
dark side of their own 157
dark till the poor old 71
dark veil of ages and 50
dark view of life and 51
dark view of their own 75
dark when at last they 83
dark when he came out 145
dark when he left his 68
dark when he went out 47
dark when the door was 68
dark when we came out 384
dark when we made our 98
dark when we took off 105
dark when we went out 123
dark wine or dark meat 84
dark word he threw out 111
dart into the mind with 174
dart into the soul with 60
dash down the hall and 47
dash down the hill and 61
dash into the room and 109
dash into the town and 118
dash made by their own 131
data bank of more than 56
data base is used for 159
data base of more than 679
data base to find out 49
data bearing on these two 40
data during the last few 49
data during the last two 47
data fail to show any 109
data fail to show that 135
data from at least one 568
data from at least two 990
data from the bank for 121
data from the base year 71
data from the best fit 44
data from the card and 55
data from the data bus 958
data from the data set 305
data from the disk and 251
data from the early and 61
data from the file and 418
data from the file using 53
data from the file with 43
data from the file you 41
data from the food and 266
data from the form and 147
data from the health and 430
data from the host and 58
data from the last few 105
data from the last ten 103
data from the last two 360
data from the left and 67
data from the more than 54
data from the north and 45
data from the other end 125
data from the other two 905
data from the past and 309
data from the past are 158
data from the past can 47
data from the past few 67
data from the past may 47
data from the past six 49
data from the past that 129
data from the past two 91
data from the past year 69
data from the prior year 80
data from the same area 214
data from the same set 149
data from the same two 138
data from the same year 92
data from the site and 71
data from the tape and 64
data from the test and 61
data from the test are 66
data from the third and 64
data from the third year 45
