dairyman will supply you with 43
darkened eyes opened and she 80
declared high treason for any 42
declined more slowly than that 59
declines more slowly than that 83
declines more slowly with age 41
decorate their houses with them 51
decreases more slowly than that 254
decreases much faster than that 119
deducted from income for tax 202
deduction from income for tax 91
defended from shocks now for 53
degraded into something she was 50
delivering into prison both men 65
departed from warsaw and that 59
departed leaving behind him not 49
depended upon whether they had 50
depleted much faster than they 46
describe have pained you too 60
desertion most keenly for all 41
deserved great credit for his 428
deserved great praise and did 42
deserved great praise for his 66
deserved more credit for his 57
deserved more credit than they 47
deserved much better than that 58
deserved much credit for his 95
deserved some credit for his 68
deserved some credit for that 43
deserved some credit for this 51
deserved some reward for his 90
deserves full credit for his 230
deserves full credit for its 52
deserves full credit for this 86
deserves great credit for being 126
deserves great credit for her 149
deserves great credit for his 1731
deserves great credit for its 309
deserves great credit for not 45
deserves great credit for this 214
deserves great praise for her 67
deserves great praise for his 479
deserves great praise for its 71
deserves high credit for his 69
deserves high praise for her 65
deserves high praise for his 275
deserves high praise for its 246
deserves high praise for one 45
deserves high praise for this 57
deserves more credit for his 155
deserves more credit for its 48
deserves more credit for this 116
deserves more credit than all 72
deserves more credit than any 218
deserves more credit than has 71
deserves more credit than she 71
deserves more credit than that 86
deserves more praise for his 55
deserves most highly for his 48
deserves most praise for his 77
deserves much credit for being 49
deserves much credit for her 182
deserves much credit for his 869
deserves much credit for its 215
deserves much credit for this 209
deserves much praise for her 66
deserves much praise for his 214
deserves much praise for its 68
deserves some credit for being 57
deserves some credit for his 198
deserves some credit for its 75
deserves some credit for not 55
deserves some credit for that 77
deserves some credit for this 141
deserves some praise for his 42
designer must ensure that all 88
detached from reality that they 44
detailed moon tables are too 41
deterred from carrying out his 258
developing wheat grains and its 56
develops more slowly than does 41
develops more slowly than that 100
develops more slowly than with 76
deviations from normal are not 44
deviations from normal that may 53
devotees were engaged day and 83
devoured what spoils they had 42
dictated just before his death 50
directed gene therapy for ada 359
direction from whence she had 65
direction from whence they had 369
directly from christ and not 46
directly from christ and that 120
directly from glacial ice and 81
disabled from managing them with 212
discover nothing farther but our 91
discover nothing further but our 69
discussing these issues with her 40
discussing these issues with them 41
disgrace more signal than his 66
disguise from myself that they 109
disguise from myself that this 53
disorder more deeply than any 43
disorder went through all its 43
distance from europe and asia 53
distance from london that you 41
distance from philip and his 50
distance much greater than that 105
distance tiny voices and then 110
distinct from matter and its 74
distinct from spirit and idea 142
distress ever reached his ears 41
divisions from corinth and two 81
divorced from reality and that 40
divorced from reality that they 82
document also points out that 155
document will comply with all 49
