deficiencies only 71 deficiencies made 46
deliberately sake 47 deliberately much 90
deliberately full 71 deliberately their 55
deliberately these 46 deliberately road 125
deliberately break 289 deliberately cheat 67
deliberately find 396 deliberately form 74
deliberately gain 57 deliberately give 198
deliberately harm 103 deliberately have 102
deliberately help 47 deliberately hurt 362
deliberately keep 70 deliberately kill 261
deliberately learn 133 deliberately live 49
deliberately look 80 deliberately lose 58
deliberately make 1532 deliberately meet 48
deliberately play 65 deliberately ruin 196
deliberately seek 50 deliberately show 129
deliberately steal 84 deliberately take 113
deliberately teach 137 deliberately tell 48
deliberately test 113 deliberately trap 59
deliberately turn 56 deliberately work 43
deliberations vote 101 demonstrated these 78
demonstrated these 44 demonstrated these 308
demonstrated these 158 demonstrated these 258
demonstrated these 469 demonstrated least 46
demonstrated most 136 demonstrated same 75
demonstrated good 74 demonstrated these 217
demonstrated more 215 demonstrated least 88
demonstrated also 81 demonstrated true 226
demonstrated what 120 demonstrated these 46
demonstrated more 100 demonstrated three 45
demonstrated these 41 demonstrated help 46
demonstrates these 97 demonstrates have 123
demonstrates done 358 demonstrates these 103
demonstrates these 73 demonstrates these 178
demonstrates most 128 demonstrates same 40
demonstrates more 115 demonstrates able 58
demonstrates also 58 demonstrates true 165
demonstrates case 46 demonstration very 41
demonstration must 214 demonstration made 140
demonstration used 45 demonstration hand 138
demonstration these 40 demonstration made 40
demonstration these 58 demonstration more 159
demonstration true 51 demonstration take 52
demonstration more 192 demonstration take 83
denominators same 96 denominators same 449
determinants used 42 determination done 59
determination left 55 determination made 1628
determination used 166 determination made 160
determination made 129 determination used 62
determination other 40 determination more 132
determination made 164 determination used 44
determination made 43 determination more 167
determination down 456 determination more 153
developments more 267 developments most 127
developments much 94 developments only 90
developments true 82 developments come 76
developments seen 75 developments come 47
developments seen 87 developments used 54
developments these 51 dictatorship means 44
dictatorship last 151 differentials great 77
differentials only 77 differentials same 43
difficulties used 42 difficulties make 44
difficulties sell 59 difficulties make 57
difficulties more 163 difficulties part 112
difficulties lack 66 difficulties their 42
difficulties most 73 difficulties great 111
difficulties great 521 difficulties much 544
difficulties cost 46 difficulties only 242
difficulties same 101 difficulties their 47
difficulties great 125 difficulties said 79
difficulties away 91 difficulties their 56
difficulties your 65 difficulties much 58
difficulties much 97 difficulties able 150
difficulties making 55 difficulties trying 55
difficulties face 126 difficulties face 281
difficulties other 50 difficulties case 42
difficulties once 50 difficulties their 133
difficulties their 51 difficulties their 67
difficulties wait 207 difficulties your 40
difficulties felt 118 difficulties cope 61
difficulties face 1069 difficulties meet 101
difficulties facing 56 difficulties having 216
difficulties these 107 difficulties these 53
difficulties these 138 difficulties these 302
difficulties more 536 difficulties facing 50
difficulties having 147 disabilities only 80
disabilities same 50 disabilities able 334
disabilities risk 46 disabilities need 157
disagreement much 112 disagreement other 47
disagreement these 42 disagreement these 63
disagreement some 53 disagreement more 118
disappointed find 63 discontinued three 111
discretionary trial 90 dishonorable have 57
disinfectant used 211 disinfectant used 43
dispensations from 127 disproportion great 93
disqualified part 118 disqualified post 46
disqualified task 127 disqualified work 40
dissatisfied these 44 dissatisfied rest 135
dissatisfied these 118 dissatisfied other 70
dissatisfied more 306 dissemination data 46
dissemination such 53 dissemination these 56
distributions used 58 distributions same 49
distributions same 426 distributions made 162
distributions used 114 distributions used 70
distributions these 148 distributions more 111
distributions made 118 distributions least 82
distributions made 70 distributions used 350
distributions made 70 distributions used 72
distributions more 46 disturbances most 104
disturbances only 51 disturbances hand 42
documentation these 43 documentation these 84
documentation used 335 documentation used 46
