dark blue discoloration of the 63
data from participants in the 108
data type specification in the 51
data were communicated to the 47
data were extrapolated to the 87
data were incorporated in the 90
data were interpolated to the 50
data were supplemented by the 142
date have concentrated on the 472
days from commencement of the 134
deaths from tuberculosis in the 431
deaths from tuberculosis of the 122
deaths were attributable to the 293
deaths were concentrated in the 56
deny their participation in the 94
died from complications of an 62
died from complications of the 261
died from tuberculosis at the 201
died from tuberculosis in the 113
died from tuberculosis of the 106
done more conveniently in the 75
done more economically by the 47
done more economically in the 59
done more expeditiously by the 41
done most conveniently by the 85
done most successfully in the 92
done very successfully in the 102
down some recollections of the 42
down their recollections of the 82
draw down chastisement on the 46
drug when administered at the 121
during great vicissitudes in the 47
during oral presentations to the 110
during their collaboration on the 64
during their consideration of the 122
during their deliberations on the 86
during their imprisonment in the 174
during their incarceration in the 90
during their interrogation by the 52
during their investigation of the 306
during their participation in an 45
during their participation in the 954
during your investigation of the 47
during your participation in the 63
