dark flatness against the sky 42
dark foreboding gathered on his 59
dark interval between the two 43
dark tranquil features of his 51
data exchanged between the two 90
data processing systems is that 89
data transfer between the cpu 381
data transfer between the two 413
deep affection between the two 155
deep affinity between the two 99
deep armchair propped up with 48
deep conflict between the two 56
deep distrust between the two 97
deep divisions between the two 160
deep interest excited by them 44
deep mistrust between the two 45
deep solitude reigned in that 48
diet consisting chiefly of meat 55
diet consisting largely of meat 131
done essential service to both 64
done strictly according to law 48
door suddenly yielded to her 139
down barriers between the two 100
down barriers between us and 110
down gigantic quavers of its 73
draw somewhat largely on this 46
drear autumnal cadence in his 41
drew attention because of its 72
drug treatment according to age 82
duly affirmed according to law 127
duly executed according to law 220
duly licensed according to law 69
duly punished according to law 40
duly recorded according to law 50
duty formerly payable on teas 112
duty otherwise imposed by law 71
