day sun 106 day sun 89
day was 46 day jew 52
day had 69 day was 57
day ads 76 day any 99
day was 51 day had 71
day our 51 day his 84
dead her 41 dead all 59
dead dead 67 dead way 100
deaf not 191 deal and 42
deal east 68 deal end 189
deal head 117 deal kings 48
deal men 327 deal new 362
deal oil 118 deal plo 392
deal real 398 deal top 108
deal two 93 deal use 109
deal war 371 deal way 87
deal lad 105 dear and 80
death his 59 death had 52
death her 212 death her 77
death his 493 death that 62
death this 63 death his 45
death was 40 death his 90
death his 90 death her 53
death his 308 death that 50
death his 40 death his 106
death old 45 death two 45
death new 44 death end 79
death may 42 death was 70
death was 42 death long 50
did far 46 did had 50
did was 65 did was 42
did all 63 did had 52
did was 79 did was 54
did was 88 did being 53
did had 66 did was 78
did was 82 did end 49
did had 186 did was 243
did was 242 did was 45
did was 92 did had 47
did was 46 did had 323
did was 108 did had 62
did was 121 did his 47
did them 71 did each 50
did her 151 did him 55
did his 72 did them 60
did you 86 did his 78
did his 70 dig this 68
dim had 53 dim was 48
dim had 119 does you 66
does had 74 does has 54
does was 156 does has 44
does may 46 does was 210
does two 169 does use 42
does are 67 does you 41
does you 56 does was 46
does was 57 does with 55
doing not 48 doing year 45
doing not 43 doing for 75
doing big 41 doing east 149
doing man 61 doing new 120
doing old 43 doing prc 163
doing and 48 doing for 113
doing her 47 doing them 52
doing each 40 doing her 98
doing his 47 doing doing 105
doing with 47 dry wet 47
