do all other sayings against 354
do all poets write because 42
do all your human friends 43
do him some fatal violence 77
do him some small service 50
do him such ample justice 156
do not blow glass bottles 53
do not burn until brought 61
do not call anything justice 200
do not care about animals 112
do not care about anybody 1229
do not care about anymore 69
do not care about because 54
do not care about captain 56
do not care about college 59
do not care about country 87
do not care about cricket 78
do not care about details 101
do not care about dimples 50
do not care about flowers 43
do not care about foreign 116
do not care about fortune 131
do not care about freedom 161
do not care about geometry 58
do not care about history 150
do not care about improving 82
do not care about increasing 45
do not care about ireland 56
do not care about justice 141
do not care about knuckling 53
do not care about liberty 52
do not care about marriage 94
do not care about material 119
do not care about national 70
do not care about opinions 97
do not care about privacy 67
do not care about process 91
do not care about profits 46
do not care about quality 601
do not care about receiving 86
do not care about religion 251
do not care about research 81
do not care about science 58
do not care about service 54
do not care about society 233
do not care about spiders 61
do not care about success 69
do not care about workers 50
do not care which happens 180
do not care whose marriage 49
do not cast sharp shadows 48
do not come about because 243
do not come close together 68
do not come neatly labeled 85
do not come under article 74
do not come under control 64
do not come under federal 79
do not come under medical 64
do not draw lines between 41
do not even bother answering 40
do not even bother anymore 47
do not even cover operating 41
do not even exist anymore 293
do not even offer courses 43
do not even really believe 125
do not even sleep together 75
do not even write letters 68
do not even write sonnets 62
do not fall apart because 53
do not fall below certain 64
do not fall under article 938
do not fall under federal 80
do not fall under popular 58
do not fall within article 382
do not fall within certain 42
do not feel alone anymore 123
do not feel anything anymore 271
do not feel anything because 121
do not feel anything unusual 54
do not feel drawn towards 79
do not feel hungry anymore 65
do not feel quite certain 667
do not feel right anymore 49
do not feel tired anymore 43
do not file joint returns 54
do not find anything pleasant 73
do not find anything similar 45
do not find anything unusual 53
do not find later writers 53
do not find strong support 59
do not gain hearty respect 145
do not give every gracious 48
do not give exact figures 40
do not give exact results 66
do not give strong support 136
do not give surer pledges 63
do not give women control 44
do not grow close together 137
do not have adobe acrobat 183
do not have anything against 5291
do not have anything anymore 88
do not have anything because 59
do not have anything between 69
do not have anything planned 1419
do not have anything similar 82
do not have anything smaller 103
do not have anything stronger 148
do not have anything tangible 73
do not have anything written 136
do not have blood vessels 58
do not have cheek pouches 141
do not have civil service 123
do not have close contact 144
do not have close friends 357
do not have daily contact 165
do not have equal ability 107
do not have equal amounts 92
do not have equal chances 224
do not have equal effects 71
do not have equal numbers 165
do not have equal variance 50
do not have exact figures 534
do not have exact numbers 93
do not have fifty dollars 85
do not have fifty thousand 103
do not have final answers 130
do not have final control 42
do not have flush toilets 83
do not have growth hormone 44
do not have human emotions 47
do not have joint custody 53
do not have large amounts 349
do not have large budgets 90
do not have large capital 55
do not have large effects 88
do not have large incomes 43
do not have large numbers 418
do not have lasting effects 108
do not have legal control 49
do not have legal counsel 56
do not have legal custody 143
do not have major effects 127
do not have major medical 42
do not have money because 87
do not have panic attacks 234
do not have phone numbers 92
do not have phone service 71
do not have plans tonight 40
do not have power because 41
