damn churches 42 damn cerberus 152
dare servants 70 dare messages 40
dare publicly 67 dare judgment 50
dare interest 55 dare describe 43
dare majority 40 dare ignatius 60
dare approach 116 dare judgment 56
daring suddenly 78 dark guidance 43
data accessed 63 data analysis 42
data calendar 104 data abundant 44
data accurate 121 data complete 268
data detailed 108 data complete 103
data conflict 109 data complete 85
data extension 50 data erroneous 108
data problems 42 data accepted 243
data accessed 533 data achieved 77
data acquired 90 data adjusted 45
data analyzed 328 data assessed 100
data assigned 67 data captured 85
data combined 98 data compared 843
data compiled 41 data detected 43
data directly 723 data employed 73
data examined 52 data exchanged 69
data excluded 52 data expected 392
data extended 84 data improved 51
data included 146 data inserted 47
data modified 248 data observed 62
data obtained 2171 data procured 45
data produced 45 data properly 134
data provided 155 data recorded 148
data regarded 495 data rejected 64
data replaced 50 data reported 50
data resolved 61 data restored 94
data supplied 91 data supposed 41
data tampered 57 data utilized 91
data verified 121 data accessed 77
data compared 55 data obtained 137
data accessed 148 data analyzed 493
data combined 177 data compared 472
data computed 160 data examined 56
data exported 50 data imported 57
data obtained 81 data recorded 48
data reviewed 50 data utilized 49
data obtained 51 data elements 42
data relevant 41 data students 44
data subjects 76 data variables 233
data original 48 data analysis 71
data computer 95 data developing 183
data estimating 92 data evaluating 148
data predicting 45 data treatment 49
data conclude 63 data conclude 57
data conclude 240 data conclude 127
data erroneous 157 data accurate 277
data adequate 156 data complete 153
data directly 257 data entirely 190
data normally 81 data obtained 42
data possible 116 data properly 44
data recorded 58 data relevant 150
data reported 46 data required 68
data specific 44 data strictly 149
data suitable 93 data obtained 55
data analyzed 66 data compared 70
data analysis 46 data variables 45
data accessed 96 data acquired 98
data analyzed 82 data compared 95
data obtained 250 data analysis 154
data purposes 74 data composed 42
data obtained 202 data accurate 67
data interest 796 data accepted 66
data accessed 1234 data achieved 50
data acquired 286 data analyzed 1253
data assessed 53 data assigned 90
data captured 165 data combined 149
data compared 888 data compiled 77
data computed 54 data directly 284
data elicited 55 data embedded 60
data employed 178 data examined 158
data exchanged 159 data expected 109
data imported 68 data included 168
data inferred 49 data inserted 136
data modified 201 data observed 199
data obtained 2867 data operated 43
data produced 177 data provided 199
data received 128 data recorded 399
data referred 60 data regarded 59
data reported 75 data retained 47
data returned 94 data selected 58
data supplied 70 data usefully 51
data utilized 306 data verified 220
data potential 48 data accessed 121
data analyzed 78 data compared 67
data included 113 data obtained 376
data recorded 68 data regarded 40
data relevant 376 data required 602
data valuable 51 date accepted 165
date assigned 673 date entirely 54
date excluded 175 date extended 49
date obtained 53 date regarded 96
date verified 100 date included 44
date assembling 53 date ceremony 143
date delivery 53 date elections 62
date execution 343 date operation 71
date original 93 date proposed 190
date transfer 66 date assigned 713
date extended 82 date coincide 41
days extended 93 days extended 350
days followed 153 days followed 41
days extended 67 days extended 96
days prolonged 99 days compared 75
days expected 55 days holidays 40
days religious 41 days selected 46
days enormous 48 days symptoms 51
days melville 43 dealing colonies 49
dealing isolated 46 dealing ordinary 53
dealing liability 174 dealing elements 208
dealing emotional 43 dealing possible 371
dealing problems 754 dealing questions 132
dealing relevant 48 dealing subjects 90
dealing internal 41 dealing physical 89
dealing problems 57 dealing appetite 293
dealing imagined 53 dealing isolation 40
dealing practice 46 dealing separate 57
dealing essential 42 dealing therefore 61
deals branches 41 deals elements 170
deals essential 51 deals possible 53
deals problems 592 deals questions 157
deals relevant 52 deals subjects 98
deals physical 122 deals organize 136
deals honestly 60 deals otherwise 90
dealt branches 72 dealt business 46
dealt possible 59 dealt problems 324
dealt questions 198 dealt relevant 43
dealt subjects 70 dealt numerous 49
dealt relations 61 dealt original 120
dealt purposes 116 dealt business 42
dealt washington 84 dealt tenderly 49
dealt children 53 deaths coronary 113
deaths infection 56 deaths pneumonia 191
deaths developing 40 deaths children 72
debt interest 69 debt proceeds 166
debt proceeds 213 debt assigned 86
debt deducted 105 debt enforced 91
debt increased 48 debt otherwise 50
debt regarded 63 debt serviced 87
debt purchase 161 debt incurred 179
debt serviced 70 debt original 127
debt incurred 201 debt enormous 61
deck struggle 49 deed recorded 42
deed enforced 52 deed executed 60
deed impeached 41 deed produced 72
deed recorded 104 deed regarded 61
deem immediate 89 deem transfer 67
